WP_004753574.1	lcl|NZ_AFLN01000138.1_cds_WP_000340715.1_1199	94.186	86	106
WP_004766657.1	lcl|NZ_AFLN01000138.1_cds_WP_000410273.1_1198	96.497	314	314
WP_004766657.1	lcl|NZ_AFLN01000138.1_cds_WP_000093099.1_1178	46.988	83	314
WP_004766657.1	lcl|NZ_AFLN01000060.1_cds_WP_000744700.1_2171	25.076	331	314
WP_004766657.1	lcl|NZ_AFLN01000138.1_cds_WP_000646250.1_1195	26.022	269	314
WP_004766657.1	lcl|NZ_AFLN01000138.1_cds_WP_000723090.1_1116	23.024	291	314
WP_004766657.1	lcl|NZ_AFLN01000138.1_cds_WP_000600889.1_1169	23.118	186	314
WP_262052077.1	lcl|NZ_AFLN01000138.1_cds_WP_000604524.1_1197	97.534	365	365
WP_000884059.1	lcl|NZ_AFLN01000138.1_cds_WP_000884059.1_1196	100.000	185	185
WP_000884059.1	lcl|NZ_AFLN01000028.1_cds_WP_000351733.1_3065	40.000	140	185
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000646250.1_1195	99.392	329	329
WP_000646251.1	lcl|NZ_AFLN01000060.1_cds_WP_000744700.1_2171	32.063	315	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000723090.1_1116	31.045	335	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000600889.1_1169	31.677	322	329
WP_000646251.1	lcl|NZ_AFLN01000035.1_cds_WP_001984071.1_2730	31.803	305	329
WP_000646251.1	lcl|NZ_AFLN01000022.1_cds_WP_000649925.1_3391	30.183	328	329
WP_000646251.1	lcl|NZ_AFLN01000193.1_cds_WP_000709511.1_417	29.730	333	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000601375.1_1142	24.415	299	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_001067557.1_1192	28.990	307	329
WP_000646251.1	lcl|NZ_AFLN01000035.1_cds_WP_000688695.1_2750	29.329	283	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000475904.1_1133	27.372	274	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000410273.1_1198	25.705	319	329
WP_000646251.1	lcl|NZ_AFLN01000059.1_cds_WP_001074785.1_2209	29.434	265	329
WP_000646251.1	lcl|NZ_AFLN01000128.1_cds_WP_001003555.1_1336	25.148	338	329
WP_000646251.1	lcl|NZ_AFLN01000138.1_cds_WP_000487322.1_1144	27.077	325	329
WP_000774262.1	lcl|NZ_AFLN01000138.1_cds_WP_000774262.1_1194	99.625	267	267
WP_000774262.1	lcl|NZ_AFLN01000138.1_cds_WP_000859505.1_1145	26.639	244	267
WP_000774262.1	lcl|NZ_AFLN01000138.1_cds_WP_000800438.1_1164	25.328	229	267
WP_000774262.1	lcl|NZ_AFLN01000138.1_cds_WP_000842260.1_1115	26.316	190	267
WP_000774262.1	lcl|NZ_AFLN01000173.1_cds_WP_000667727.1_608	31.818	110	267
WP_000774262.1	lcl|NZ_AFLN01000006.1_cds_WP_000805357.1_3630	33.645	107	267
WP_000602734.1	lcl|NZ_AFLN01000138.1_cds_WP_000612797.1_1193	97.839	509	509
WP_000602734.1	lcl|NZ_AFLN01000029.1_cds_WP_000291591.1_3021	26.911	327	509
WP_000602734.1	lcl|NZ_AFLN01000029.1_cds_WP_000364507.1_3020	31.111	90	509
WP_000602734.1	lcl|NZ_AFLN01000138.1_cds_WP_000612797.1_1193	97.839	509	509
WP_000602734.1	lcl|NZ_AFLN01000029.1_cds_WP_000291591.1_3021	26.911	327	509
WP_000602734.1	lcl|NZ_AFLN01000029.1_cds_WP_000364507.1_3020	31.111	90	509
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_001067557.1_1192	99.697	330	330
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_000600889.1_1169	26.692	266	330
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_000646250.1_1195	28.990	307	330
WP_004766696.1	lcl|NZ_AFLN01000035.1_cds_WP_001984071.1_2730	25.735	272	330
WP_004766696.1	lcl|NZ_AFLN01000060.1_cds_WP_000744700.1_2171	26.812	276	330
WP_004766696.1	lcl|NZ_AFLN01000128.1_cds_WP_001003555.1_1336	28.395	243	330
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_000723090.1_1116	23.724	333	330
WP_004766696.1	lcl|NZ_AFLN01000022.1_cds_WP_000649925.1_3391	28.854	253	330
WP_004766696.1	lcl|NZ_AFLN01000035.1_cds_WP_000688695.1_2750	25.681	257	330
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_000601375.1_1142	26.740	273	330
WP_004766696.1	lcl|NZ_AFLN01000138.1_cds_WP_000410273.1_1198	25.305	328	330
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_001198107.1_1191	98.907	366	366
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_000608295.1_1190	40.000	365	366
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_000575178.1_1122	34.540	359	366
WP_004766691.1	lcl|NZ_AFLN01000079.1_cds_WP_001281953.1_1836	27.704	379	366
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_000346036.1_1161	28.090	356	366
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_000582222.1_1180	31.389	360	366
WP_004766691.1	lcl|NZ_AFLN01000184.1_cds_WP_000538752.1_482	29.412	357	366
WP_004766691.1	lcl|NZ_AFLN01000138.1_cds_WP_000947844.1_1168	26.667	345	366
WP_004766691.1	lcl|NZ_AFLN01000071.1_cds_WP_001982414.1_1981	31.579	190	366
