WP_004753574.1	lcl|NZ_RQFB01000093.1_cds_WP_135590643.1_3258	84.884	86	106
WP_004766657.1	lcl|NZ_RQFB01000093.1_cds_WP_135590644.1_3257	78.526	312	314
WP_004766657.1	lcl|NZ_RQFB01000102.1_cds_WP_135593681.1_419	25.155	322	314
WP_004766657.1	lcl|NZ_RQFB01000093.1_cds_WP_135590646.1_3255	21.856	334	314
WP_004766657.1	lcl|NZ_RQFB01000146.1_cds_WP_135590671.1_2367	26.404	178	314
WP_000884059.1	lcl|NZ_RQFB01000140.1_cds_WP_135590804.1_3594	38.095	147	185
WP_000646251.1	lcl|NZ_RQFB01000093.1_cds_WP_135590646.1_3255	29.874	318	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135593681.1_419	29.524	315	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135593996.1_175	32.362	309	329
WP_000646251.1	lcl|NZ_RQFB01000146.1_cds_WP_135590671.1_2367	28.435	313	329
WP_000646251.1	lcl|NZ_RQFB01000071.1_cds_WP_135595207.1_3579	27.679	336	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135593453.1_294	30.032	313	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135591407.1_65	29.429	333	329
WP_000646251.1	lcl|NZ_RQFB01000069.1_cds_WP_135590287.1_3149	23.754	341	329
WP_000646251.1	lcl|NZ_RQFB01000093.1_cds_WP_135590644.1_3257	25.079	315	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135593870.1_510	26.205	332	329
WP_000646251.1	lcl|NZ_RQFB01000037.1_cds_WP_135592711.1_1499	28.030	264	329
WP_000646251.1	lcl|NZ_RQFB01000075.1_cds_WP_135590112.1_1096	23.504	234	329
WP_000646251.1	lcl|NZ_RQFB01000102.1_cds_WP_135591491.1_15	28.063	253	329
WP_000646251.1	lcl|NZ_RQFB01000146.1_cds_WP_246057566.1_2366	28.834	163	329
WP_000774262.1	lcl|NZ_RQFB01000093.1_cds_WP_135590652.1_3249	28.099	242	267
WP_000774262.1	lcl|NZ_RQFB01000146.1_cds_WP_135593078.1_2365	25.121	207	267
WP_000774262.1	lcl|NZ_RQFB01000130.1_cds_WP_135594705.1_1466	27.461	193	267
WP_000774262.1	lcl|NZ_RQFB01000071.1_cds_WP_210412877.1_3578	28.571	189	267
WP_000774262.1	lcl|NZ_RQFB01000096.1_cds_WP_135594508.1_1667	27.619	210	267
WP_000602734.1	lcl|NZ_RQFB01000117.1_cds_WP_135594136.1_924	28.750	320	509
WP_000602734.1	lcl|NZ_RQFB01000117.1_cds_WP_135594138.1_923	28.889	90	509
WP_000602734.1	lcl|NZ_RQFB01000117.1_cds_WP_135594136.1_924	28.750	320	509
WP_000602734.1	lcl|NZ_RQFB01000117.1_cds_WP_135594138.1_923	28.889	90	509
WP_004766696.1	lcl|NZ_RQFB01000102.1_cds_WP_135593996.1_175	29.032	279	330
WP_004766696.1	lcl|NZ_RQFB01000102.1_cds_WP_135593681.1_419	27.174	276	330
WP_004766696.1	lcl|NZ_RQFB01000102.1_cds_WP_135593870.1_510	25.692	253	330
WP_004766696.1	lcl|NZ_RQFB01000093.1_cds_WP_135590646.1_3255	24.715	263	330
WP_004766696.1	lcl|NZ_RQFB01000102.1_cds_WP_135593453.1_294	29.577	284	330
