WP_004753574.1	lcl|NZ_NPDM01000006.1_cds_WP_100727283.1_3164	64.865	74	106
WP_004766657.1	lcl|NZ_NPDM01000006.1_cds_WP_100727191.1_3165	82.803	314	314
WP_004766657.1	lcl|NZ_NPDM01000001.1_cds_WP_100725791.1_1270	23.765	324	314
WP_004766657.1	lcl|NZ_NPDM01000005.1_cds_WP_100715920.1_2900	22.543	173	314
WP_004766657.1	lcl|NZ_NPDM01000006.1_cds_WP_100727154.1_3202	24.312	218	314
WP_262052077.1	lcl|NZ_NPDM01000006.1_cds_WP_100727187.1_3169	54.144	362	365
WP_000884059.1	lcl|NZ_NPDM01000002.1_cds_WP_100726709.1_1838	31.783	129	185
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725791.1_1270	30.255	314	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725412.1_675	31.803	305	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_100727146.1_3210	31.132	318	329
WP_000646251.1	lcl|NZ_NPDM01000005.1_cds_WP_100715920.1_2900	29.326	341	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_100727154.1_3202	28.391	317	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725767.1_1243	30.063	316	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725525.1_853	27.950	322	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_207762693.1_3183	25.478	314	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_100727191.1_3165	26.101	318	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100766308.1_910	27.092	251	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_165780347.1_3205	25.649	308	329
WP_000646251.1	lcl|NZ_NPDM01000006.1_cds_WP_100727149.1_3207	25.076	331	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725556.1_901	24.275	276	329
WP_000646251.1	lcl|NZ_NPDM01000005.1_cds_WP_207762726.1_2911	24.595	309	329
WP_000646251.1	lcl|NZ_NPDM01000001.1_cds_WP_100725980.1_1322	28.514	249	329
WP_000646251.1	lcl|NZ_NPDM01000009.1_cds_WP_100727895.1_3570	24.364	275	329
WP_000646251.1	lcl|NZ_NPDM01000007.1_cds_WP_100720563.1_3328	26.257	179	329
WP_000774262.1	lcl|NZ_NPDM01000006.1_cds_WP_100727166.1_3190	25.500	200	267
WP_000774262.1	lcl|NZ_NPDM01000006.1_cds_WP_100727147.1_3209	26.415	212	267
WP_000774262.1	lcl|NZ_NPDM01000009.1_cds_WP_100766560.1_3509	23.755	261	267
WP_000774262.1	lcl|NZ_NPDM01000001.1_cds_WP_100725479.1_783	27.011	174	267
WP_000774262.1	lcl|NZ_NPDM01000005.1_cds_WP_100727919.1_2899	29.016	193	267
WP_000602734.1	lcl|NZ_NPDM01000002.1_cds_WP_100726724.1_1816	25.378	331	509
WP_000602734.1	lcl|NZ_NPDM01000002.1_cds_WP_100717065.1_1815	32.759	58	509
WP_000602734.1	lcl|NZ_NPDM01000002.1_cds_WP_100726724.1_1816	25.378	331	509
WP_000602734.1	lcl|NZ_NPDM01000002.1_cds_WP_100717065.1_1815	32.759	58	509
WP_004766696.1	lcl|NZ_NPDM01000006.1_cds_WP_207762693.1_3183	32.704	318	330
WP_004766696.1	lcl|NZ_NPDM01000006.1_cds_WP_100727149.1_3207	33.333	309	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725412.1_675	24.101	278	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100766308.1_910	27.547	265	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725791.1_1270	27.899	276	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725767.1_1243	25.472	318	330
WP_004766696.1	lcl|NZ_NPDM01000006.1_cds_WP_165780347.1_3205	25.652	230	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725556.1_901	24.046	262	330
WP_004766696.1	lcl|NZ_NPDM01000006.1_cds_WP_100727154.1_3202	26.339	224	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725980.1_1322	25.118	211	330
WP_004766696.1	lcl|NZ_NPDM01000005.1_cds_WP_100715920.1_2900	22.742	299	330
WP_004766696.1	lcl|NZ_NPDM01000007.1_cds_WP_100720563.1_3328	26.033	242	330
WP_004766696.1	lcl|NZ_NPDM01000001.1_cds_WP_100725525.1_853	27.333	150	330
WP_004766691.1	lcl|NZ_NPDM01000001.1_cds_WP_100725593.1_972	29.167	384	366
WP_004766691.1	lcl|NZ_NPDM01000006.1_cds_WP_100727185.1_3171	32.312	359	366
WP_004766691.1	lcl|NZ_NPDM01000006.1_cds_WP_100727164.1_3192	40.741	243	366
WP_004766691.1	lcl|NZ_NPDM01000001.1_cds_WP_100718929.1_21	28.612	353	366
WP_004766691.1	lcl|NZ_NPDM01000006.1_cds_WP_100727172.1_3184	33.186	226	366
WP_004766691.1	lcl|NZ_NPDM01000001.1_cds_WP_100715612.1_361	23.958	288	366
WP_004766642.1	lcl|NZ_NPDM01000006.1_cds_WP_100727164.1_3192	37.500	264	367
WP_004766642.1	lcl|NZ_NPDM01000006.1_cds_WP_100727185.1_3171	30.874	366	367
WP_004766642.1	lcl|NZ_NPDM01000001.1_cds_WP_100718929.1_21	28.912	377	367
WP_004766642.1	lcl|NZ_NPDM01000001.1_cds_WP_100725593.1_972	28.836	378	367
WP_004766642.1	lcl|NZ_NPDM01000006.1_cds_WP_100727172.1_3184	30.976	297	367
WP_004766642.1	lcl|NZ_NPDM01000001.1_cds_WP_100715612.1_361	26.891	357	367
WP_004766642.1	lcl|NZ_NPDM01000003.1_cds_WP_100726956.1_2548	33.019	106	367
