WP_004753574.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000340715.1_659	94.186	86	106
WP_004766657.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000410273.1_660	96.497	314	314
WP_004766657.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000093099.1_680	46.988	83	314
WP_004766657.1	lcl|NZ_JAGGCR010000007.1_cds_WP_000744700.1_1360	25.076	331	314
WP_004766657.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000646250.1_663	26.022	269	314
WP_004766657.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000723090.1_742	23.024	291	314
WP_004766657.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000600889.1_689	23.118	186	314
WP_262052077.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000604524.1_661	97.534	365	365
WP_000884059.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000884059.1_662	100.000	185	185
WP_000884059.1	lcl|NZ_JAGGCR010000002.1_cds_WP_000351733.1_518	40.000	140	185
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000646250.1_663	99.392	329	329
WP_000646251.1	lcl|NZ_JAGGCR010000007.1_cds_WP_000744700.1_1360	32.063	315	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000723090.1_742	31.045	335	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000600889.1_689	31.677	322	329
WP_000646251.1	lcl|NZ_JAGGCR010000027.1_cds_WP_001984071.1_2896	31.803	305	329
WP_000646251.1	lcl|NZ_JAGGCR010000009.1_cds_WP_000649925.1_1588	30.183	328	329
WP_000646251.1	lcl|NZ_JAGGCR010000060.1_cds_WP_000709511.1_3683	29.730	333	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000601375.1_716	24.415	299	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_001067557.1_666	28.990	307	329
WP_000646251.1	lcl|NZ_JAGGCR010000027.1_cds_WP_000688695.1_2916	29.329	283	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000475904.1_725	27.372	274	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000410273.1_660	25.705	319	329
WP_000646251.1	lcl|NZ_JAGGCR010000002.1_cds_WP_001074785.1_313	29.434	265	329
WP_000646251.1	lcl|NZ_JAGGCR010000018.1_cds_WP_001003555.1_2411	25.148	338	329
WP_000646251.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000487322.1_714	27.077	325	329
WP_000774262.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000774262.1_664	99.625	267	267
WP_000774262.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000859505.1_713	26.639	244	267
WP_000774262.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000800438.1_694	25.328	229	267
WP_000774262.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000842260.1_743	26.316	190	267
WP_000774262.1	lcl|NZ_JAGGCR010000024.1_cds_WP_000667727.1_2787	31.818	110	267
WP_000774262.1	lcl|NZ_JAGGCR010000021.1_cds_WP_000805357.1_2608	33.645	107	267
WP_000602734.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000612797.1_665	97.839	509	509
WP_000602734.1	lcl|NZ_JAGGCR010000019.1_cds_WP_000291591.1_2448	26.911	327	509
WP_000602734.1	lcl|NZ_JAGGCR010000019.1_cds_WP_000364507.1_2449	31.111	90	509
WP_000602734.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000612797.1_665	97.839	509	509
WP_000602734.1	lcl|NZ_JAGGCR010000019.1_cds_WP_000291591.1_2448	26.911	327	509
WP_000602734.1	lcl|NZ_JAGGCR010000019.1_cds_WP_000364507.1_2449	31.111	90	509
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_001067557.1_666	99.697	330	330
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000600889.1_689	26.692	266	330
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000646250.1_663	28.990	307	330
WP_004766696.1	lcl|NZ_JAGGCR010000027.1_cds_WP_001984071.1_2896	25.735	272	330
WP_004766696.1	lcl|NZ_JAGGCR010000007.1_cds_WP_000744700.1_1360	26.812	276	330
WP_004766696.1	lcl|NZ_JAGGCR010000018.1_cds_WP_001003555.1_2411	28.395	243	330
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000723090.1_742	23.724	333	330
WP_004766696.1	lcl|NZ_JAGGCR010000009.1_cds_WP_000649925.1_1588	28.854	253	330
WP_004766696.1	lcl|NZ_JAGGCR010000027.1_cds_WP_000688695.1_2916	25.681	257	330
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000601375.1_716	26.740	273	330
WP_004766696.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000410273.1_660	25.305	328	330
WP_004766691.1	lcl|NZ_JAGGCR010000003.1_cds_WP_001198107.1_667	98.907	366	366
WP_004766691.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000608295.1_668	40.000	365	366
WP_004766691.1	lcl|NZ_JAGGCR010000003.1_cds_WP_000575178.1_736	34.540	359	366
