WP_004753574.1	lcl|NZ_AFMJ01000185.1_cds_WP_000340715.1_1875	94.186	86	106
WP_004766657.1	lcl|NZ_AFMJ01000185.1_cds_WP_000410273.1_1874	96.497	314	314
WP_004766657.1	lcl|NZ_AFMJ01000185.1_cds_WP_000093099.1_1854	46.988	83	314
WP_004766657.1	lcl|NZ_AFMJ01000263.1_cds_WP_000744700.1_1181	25.076	331	314
WP_004766657.1	lcl|NZ_AFMJ01000185.1_cds_WP_000646250.1_1871	26.022	269	314
WP_004766657.1	lcl|NZ_AFMJ01000473.1_cds_WP_000723090.1_29	23.024	291	314
WP_004766657.1	lcl|NZ_AFMJ01000185.1_cds_WP_000600889.1_1845	23.118	186	314
WP_262052077.1	lcl|NZ_AFMJ01000185.1_cds_WP_000604524.1_1873	97.534	365	365
WP_000884059.1	lcl|NZ_AFMJ01000185.1_cds_WP_000884059.1_1872	100.000	185	185
WP_000884059.1	lcl|NZ_AFMJ01000095.1_cds_WP_000351733.1_3285	40.000	140	185
WP_000646251.1	lcl|NZ_AFMJ01000185.1_cds_WP_000646250.1_1871	99.392	329	329
WP_000646251.1	lcl|NZ_AFMJ01000263.1_cds_WP_000744700.1_1181	32.063	315	329
WP_000646251.1	lcl|NZ_AFMJ01000473.1_cds_WP_000723090.1_29	31.045	335	329
WP_000646251.1	lcl|NZ_AFMJ01000185.1_cds_WP_000600889.1_1845	31.677	322	329
WP_000646251.1	lcl|NZ_AFMJ01000133.1_cds_WP_001984071.1_2434	31.803	305	329
WP_000646251.1	lcl|NZ_AFMJ01000114.1_cds_WP_000649925.1_2783	30.183	328	329
WP_000646251.1	lcl|NZ_AFMJ01000106.1_cds_WP_000709511.1_2975	29.730	333	329
WP_000646251.1	lcl|NZ_AFMJ01000031.1_cds_WP_000601375.1_3546	24.415	299	329
WP_000646251.1	lcl|NZ_AFMJ01000185.1_cds_WP_001067557.1_1868	28.990	307	329
WP_000646251.1	lcl|NZ_AFMJ01000200.1_cds_WP_000688695.1_1615	29.329	283	329
WP_000646251.1	lcl|NZ_AFMJ01000156.1_cds_WP_000475904.1_2145	27.372	274	329
WP_000646251.1	lcl|NZ_AFMJ01000185.1_cds_WP_000410273.1_1874	25.705	319	329
WP_000646251.1	lcl|NZ_AFMJ01000445.1_cds_WP_001074785.1_175	29.434	265	329
WP_000646251.1	lcl|NZ_AFMJ01000206.1_cds_WP_001003555.1_1547	25.148	338	329
WP_000646251.1	lcl|NZ_AFMJ01000031.1_cds_WP_000487322.1_3548	27.077	325	329
WP_000774262.1	lcl|NZ_AFMJ01000185.1_cds_WP_000774262.1_1870	99.625	267	267
WP_000774262.1	lcl|NZ_AFMJ01000031.1_cds_WP_000859505.1_3549	26.639	244	267
WP_000774262.1	lcl|NZ_AFMJ01000185.1_cds_WP_000800438.1_1840	25.328	229	267
WP_000774262.1	lcl|NZ_AFMJ01000473.1_cds_WP_000842260.1_30	26.316	190	267
WP_000774262.1	lcl|NZ_AFMJ01000135.1_cds_WP_000667727.1_2394	31.818	110	267
WP_000774262.1	lcl|NZ_AFMJ01000017.1_cds_WP_000805357.1_3764	33.645	107	267
WP_000602734.1	lcl|NZ_AFMJ01000185.1_cds_WP_000612797.1_1869	97.839	509	509
WP_000602734.1	lcl|NZ_AFMJ01000475.1_cds_WP_000291591.1_23	26.911	327	509
