WP_004462903.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000340715.1_1406	95.402	87	106
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000410275.1_1407	90.852	317	319
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000744700.1_45	25.382	327	319
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000723078.1_1457	21.377	276	319
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000723090.1_1477	23.368	291	319
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000567887.1_1459	23.478	230	319
WP_004472299.1	lcl|NZ_JAKUHM010000001.1_cds_WP_001984071.1_3254	21.678	286	319
WP_004472170.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000351733.1_1754	39.286	140	185
WP_004472170.1	lcl|NZ_JAKUHM010000001.1_cds_WP_001047905.1_1438	35.028	177	185
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000723078.1_1457	30.841	321	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000744700.1_45	31.429	315	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000723090.1_1477	29.552	335	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_001984071.1_3254	30.945	307	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000649923.1_203	29.721	323	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000567887.1_1459	28.947	304	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000709511.1_3264	29.429	333	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000688696.1_3234	28.720	289	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000410275.1_1407	27.465	284	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_001074785.1_1987	29.779	272	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000460023.1_1461	25.271	277	329
WP_004479538.1	lcl|NZ_JAKUHM010000001.1_cds_WP_001003557.1_3467	25.984	254	329
WP_282974014.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000043898.1_1458	26.293	232	267
WP_282974014.1	lcl|NZ_JAKUHM010000001.1_cds_WP_000842260.1_1478	28.421	190	267
