WP_004462903.1	lcl|NZ_AOUV01000133.1_cds_WP_000340715.1_3313	95.402	87	106
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_000712240.1_3312	92.258	310	319
WP_004472299.1	lcl|NZ_AOUV01000139.1_cds_WP_000744700.1_3594	25.382	327	319
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_000646251.1_3309	26.667	270	319
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_000600886.1_3281	23.118	186	319
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_000723084.1_3225	23.711	291	319
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_000025488.1_3287	22.601	323	319
WP_004472299.1	lcl|NZ_AOUV01000053.1_cds_WP_001984071.1_897	21.678	286	319
WP_004472299.1	lcl|NZ_AOUV01000133.1_cds_WP_001067556.1_3306	24.012	329	319
WP_004479563.1	lcl|NZ_AOUV01000133.1_cds_WP_000604524.1_3311	83.562	365	365
WP_004472170.1	lcl|NZ_AOUV01000133.1_cds_WP_000884057.1_3310	94.054	185	185
WP_004472170.1	lcl|NZ_AOUV01000110.1_cds_WP_000351733.1_2542	39.286	140	185
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000646251.1_3309	93.902	328	329
WP_004479538.1	lcl|NZ_AOUV01000139.1_cds_WP_000744700.1_3594	31.429	315	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000600886.1_3281	31.629	313	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000723084.1_3225	29.851	335	329
WP_004479538.1	lcl|NZ_AOUV01000053.1_cds_WP_001984071.1_897	30.945	307	329
WP_004479538.1	lcl|NZ_AOUV01000139.1_cds_WP_000649927.1_3433	29.721	323	329
WP_004479538.1	lcl|NZ_AOUV01000023.1_cds_WP_000709512.1_282	29.429	333	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_001067556.1_3306	29.316	307	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000601375.1_3252	25.632	277	329
WP_004479538.1	lcl|NZ_AOUV01000053.1_cds_WP_000688700.1_877	28.374	289	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000707057.1_3285	29.630	270	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000025488.1_3287	25.857	321	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000475906.1_3242	26.642	274	329
WP_004479538.1	lcl|NZ_AOUV01000133.1_cds_WP_000712240.1_3312	27.138	269	329
WP_004479538.1	lcl|NZ_AOUV01000109.1_cds_WP_001074785.1_2304	29.779	272	329
WP_004479538.1	lcl|NZ_AOUV01000035.1_cds_WP_001003550.1_589	26.378	254	329
