WP_004462903.1	lcl|NZ_JADDWR010000021.1_cds_WP_002725873.1_991	95.402	87	106
WP_004472299.1	lcl|NZ_JADDWR010000021.1_cds_WP_011669917.1_990	89.590	317	319
WP_004472299.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669955.1_2422	21.379	290	319
WP_004472299.1	lcl|NZ_JADDWR010000022.1_cds_WP_011671202.1_1044	22.936	327	319
WP_004472299.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669957.1_2420	25.789	190	319
WP_004472299.1	lcl|NZ_JADDWR010000060.1_cds_WP_011669973.1_2545	22.867	293	319
WP_004472299.1	lcl|NZ_JADDWR010000071.1_cds_WP_011670961.1_2825	23.397	312	319
WP_004472299.1	lcl|NZ_JADDWR010000091.1_cds_WP_011670813.1_3198	23.392	171	319
WP_004472170.1	lcl|NZ_JADDWR010000001.1_cds_WP_002750963.1_808	35.616	146	185
WP_004472170.1	lcl|NZ_JADDWR010000021.1_cds_WP_011669938.1_959	35.028	177	185
WP_004479538.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669955.1_2422	31.661	319	329
WP_004479538.1	lcl|NZ_JADDWR010000022.1_cds_WP_011671202.1_1044	29.524	315	329
WP_004479538.1	lcl|NZ_JADDWR010000060.1_cds_WP_011669973.1_2545	30.149	335	329
WP_004479538.1	lcl|NZ_JADDWR010000071.1_cds_WP_011670961.1_2825	31.190	311	329
WP_004479538.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669957.1_2420	28.289	304	329
WP_004479538.1	lcl|NZ_JADDWR010000020.1_cds_WP_011671143.1_914	29.781	319	329
WP_004479538.1	lcl|NZ_JADDWR010000071.1_cds_WP_002754065.1_2822	28.182	330	329
WP_004479538.1	lcl|NZ_JADDWR010000091.1_cds_WP_011670813.1_3198	26.100	341	329
WP_004479538.1	lcl|NZ_JADDWR010000003.1_cds_WP_011671074.1_1798	24.412	340	329
WP_004479538.1	lcl|NZ_JADDWR010000021.1_cds_WP_011669917.1_990	27.309	249	329
WP_004479538.1	lcl|NZ_JADDWR010000012.1_cds_WP_017859386.1_250	26.217	267	329
WP_004479538.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669959.1_2418	25.632	277	329
WP_004479538.1	lcl|NZ_JADDWR010000056.1_cds_WP_011669202.1_2363	23.442	337	329
WP_004479538.1	lcl|NZ_JADDWR010000240.1_cds_WP_193824268.1_1096	28.889	90	329
WP_282974014.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669956.1_2421	27.391	230	267
WP_282974014.1	lcl|NZ_JADDWR010000060.1_cds_WP_011669974.1_2544	28.042	189	267
WP_282974014.1	lcl|NZ_JADDWR010000085.1_cds_WP_002766579.1_3073	27.568	185	267
WP_282974014.1	lcl|NZ_JADDWR010000032.1_cds_WP_011670832.1_1512	33.708	89	267
WP_282974014.1	lcl|NZ_JADDWR010000091.1_cds_WP_011670812.1_3199	25.926	189	267
WP_004472307.1	lcl|NZ_JADDWR010000016.1_cds_WP_011670269.1_519	27.551	294	509
WP_004472307.1	lcl|NZ_JADDWR010000016.1_cds_WP_002751286.1_520	28.889	90	509
WP_004472307.1	lcl|NZ_JADDWR010000016.1_cds_WP_011670269.1_519	27.551	294	509
WP_004472307.1	lcl|NZ_JADDWR010000016.1_cds_WP_002751286.1_520	28.889	90	509
WP_004479660.1	lcl|NZ_JADDWR010000071.1_cds_WP_011670961.1_2825	27.473	273	330
WP_004479660.1	lcl|NZ_JADDWR010000059.1_cds_WP_011669955.1_2422	23.985	271	330
WP_004479660.1	lcl|NZ_JADDWR010000022.1_cds_WP_011671202.1_1044	26.846	298	330
