WP_004462903.1	lcl|NZ_JQPV01000062.1_cds_WP_000340715.1_1672	95.402	87	106
WP_004472299.1	lcl|NZ_JQPV01000062.1_cds_WP_000410267.1_1671	92.258	310	319
WP_004472299.1	lcl|NZ_JQPV01000032.1_cds_WP_000744698.1_755	25.382	327	319
WP_004472299.1	lcl|NZ_JQPV01000062.1_cds_WP_000646251.1_1668	26.667	270	319
WP_004472299.1	lcl|NZ_JQPV01000034.1_cds_WP_000723090.1_811	23.368	291	319
WP_004472299.1	lcl|NZ_JQPV01000067.1_cds_WP_001984071.1_1760	21.678	286	319
WP_004472299.1	lcl|NZ_JQPV01000062.1_cds_WP_001067557.1_1665	24.012	329	319
WP_004479563.1	lcl|NZ_JQPV01000062.1_cds_WP_000604522.1_1670	83.014	365	365
WP_004472170.1	lcl|NZ_JQPV01000062.1_cds_WP_000884059.1_1669	94.595	185	185
WP_004472170.1	lcl|NZ_JQPV01000040.1_cds_WP_000351733.1_1038	39.286	140	185
WP_004479538.1	lcl|NZ_JQPV01000062.1_cds_WP_000646251.1_1668	93.902	328	329
WP_004479538.1	lcl|NZ_JQPV01000032.1_cds_WP_000744698.1_755	31.429	315	329
WP_004479538.1	lcl|NZ_JQPV01000034.1_cds_WP_000723090.1_811	29.552	335	329
WP_004479538.1	lcl|NZ_JQPV01000067.1_cds_WP_001984071.1_1760	30.945	307	329
WP_004479538.1	lcl|NZ_JQPV01000009.1_cds_WP_000649924.1_162	29.721	323	329
WP_004479538.1	lcl|NZ_JQPV01000030.1_cds_WP_000709511.1_708	29.429	333	329
WP_004479538.1	lcl|NZ_JQPV01000062.1_cds_WP_001067557.1_1665	29.316	307	329
WP_004479538.1	lcl|NZ_JQPV01000067.1_cds_WP_000688695.1_1780	28.720	289	329
WP_004479538.1	lcl|NZ_JQPV01000168.1_cds_WP_000475904.1_3349	27.536	276	329
WP_004479538.1	lcl|NZ_JQPV01000062.1_cds_WP_000410267.1_1671	27.138	269	329
WP_004479538.1	lcl|NZ_JQPV01000165.1_cds_WP_001074781.1_3266	30.292	274	329
