WP_004462903.1	lcl|NZ_AKWL02000022.1_cds_WP_004753574.1_2636	93.103	87	106
WP_004472299.1	lcl|NZ_AKWL02000022.1_cds_WP_004761722.1_2635	92.581	310	319
WP_004472299.1	lcl|NZ_AKWL02000051.1_cds_WP_004753565.1_206	25.688	327	319
WP_004472299.1	lcl|NZ_AKWL02000022.1_cds_WP_004755430.1_2632	25.316	316	319
WP_004472299.1	lcl|NZ_AKWL02000022.1_cds_WP_004763603.1_2563	22.867	293	319
WP_004479563.1	lcl|NZ_AKWL02000022.1_cds_WP_004777161.1_2634	83.288	365	365
WP_004472170.1	lcl|NZ_AKWL02000022.1_cds_WP_004753627.1_2633	94.595	185	185
WP_004472170.1	lcl|NZ_AKWL02000041.1_cds_WP_004752075.1_1069	40.000	140	185
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_004755430.1_2632	93.293	328	329
WP_004479538.1	lcl|NZ_AKWL02000051.1_cds_WP_004753565.1_206	30.794	315	329
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_004763603.1_2563	29.552	335	329
WP_004479538.1	lcl|NZ_AKWL02000050.1_cds_WP_004751543.1_495	32.039	309	329
WP_004479538.1	lcl|NZ_AKWL02000012.1_cds_WP_004776871.1_3281	30.530	321	329
WP_004479538.1	lcl|NZ_AKWL02000050.1_cds_WP_004751412.1_484	29.730	333	329
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_004755319.1_2629	29.642	307	329
WP_004479538.1	lcl|NZ_AKWL02000012.1_cds_WP_004754991.1_3426	27.353	340	329
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_004761722.1_2635	26.493	268	329
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_002733698.1_2580	26.642	274	329
WP_004479538.1	lcl|NZ_AKWL02000039.1_cds_WP_004751780.1_1675	29.259	270	329
WP_004479538.1	lcl|NZ_AKWL02000041.1_cds_WP_004750263.1_1314	25.769	260	329
WP_004479538.1	lcl|NZ_AKWL02000027.1_cds_WP_004777239.1_2382	28.333	180	329
WP_004479538.1	lcl|NZ_AKWL02000048.1_cds_WP_004768293.1_636	27.572	243	329
WP_004479538.1	lcl|NZ_AKWL02000022.1_cds_WP_004777131.1_2610	25.000	172	329
WP_282974014.1	lcl|NZ_AKWL02000022.1_cds_WP_004758405.1_2631	90.262	267	267
WP_282974014.1	lcl|NZ_AKWL02000022.1_cds_WP_004754191.1_2562	27.513	189	267
WP_282974014.1	lcl|NZ_AKWL02000012.1_cds_WP_004758023.1_3448	25.397	252	267
WP_282974014.1	lcl|NZ_AKWL02000016.1_cds_WP_004758210.1_3058	37.647	85	267
WP_004472307.1	lcl|NZ_AKWL02000022.1_cds_WP_004777106.1_2630	88.189	508	509
WP_004472307.1	lcl|NZ_AKWL02000039.1_cds_WP_004751764.1_1747	26.786	336	509
WP_004472307.1	lcl|NZ_AKWL02000039.1_cds_WP_004767754.1_1746	28.889	90	509
WP_004472307.1	lcl|NZ_AKWL02000002.1_cds_WP_004753706.1_3890	29.752	121	509
