WP_004462903.1	lcl|NZ_AKXD02000024.1_cds_WP_004753574.1_1513	93.103	87	106
WP_004472299.1	lcl|NZ_AKXD02000024.1_cds_WP_004782132.1_1512	92.581	310	319
WP_004472299.1	lcl|NZ_AKXD02000014.1_cds_WP_004753565.1_2696	25.688	327	319
WP_004472299.1	lcl|NZ_AKXD02000024.1_cds_WP_004782145.1_1508	22.442	303	319
WP_004472299.1	lcl|NZ_AKXD02000024.1_cds_WP_004782086.1_1499	21.942	278	319
WP_004472299.1	lcl|NZ_AKXD02000021.1_cds_WP_004781747.1_1802	22.526	293	319
WP_004472170.1	lcl|NZ_AKXD02000046.1_cds_WP_004752075.1_223	40.000	140	185
WP_004479538.1	lcl|NZ_AKXD02000024.1_cds_WP_004782145.1_1508	31.304	345	329
WP_004479538.1	lcl|NZ_AKXD02000014.1_cds_WP_004753565.1_2696	30.794	315	329
WP_004479538.1	lcl|NZ_AKXD02000024.1_cds_WP_004782086.1_1499	30.769	299	329
WP_004479538.1	lcl|NZ_AKXD02000021.1_cds_WP_004781747.1_1802	29.851	335	329
WP_004479538.1	lcl|NZ_AKXD02000047.1_cds_WP_004751543.1_180	32.039	309	329
WP_004479538.1	lcl|NZ_AKXD02000014.1_cds_WP_004755135.1_2544	30.368	326	329
WP_004479538.1	lcl|NZ_AKXD02000047.1_cds_WP_004751412.1_168	29.730	333	329
WP_004479538.1	lcl|NZ_AKXD02000014.1_cds_WP_004781102.1_2394	27.353	340	329
WP_004479538.1	lcl|NZ_AKXD02000024.1_cds_WP_004782132.1_1512	26.119	268	329
WP_004479538.1	lcl|NZ_AKXD02000024.1_cds_WP_004782127.1_1468	25.496	353	329
WP_004479538.1	lcl|NZ_AKXD02000001.1_cds_WP_004751780.1_3533	29.259	270	329
WP_004479538.1	lcl|NZ_AKXD02000003.1_cds_WP_004750263.1_3219	25.769	260	329
WP_004479538.1	lcl|NZ_AKXD02000014.1_cds_WP_004768084.1_2823	28.333	180	329
WP_004479538.1	lcl|NZ_AKXD02000024.1_cds_WP_000048849.1_1489	25.306	245	329
WP_004479538.1	lcl|NZ_AKXD02000018.1_cds_WP_004781356.1_2155	27.572	243	329
WP_282974014.1	lcl|NZ_AKXD02000024.1_cds_WP_000432841.1_1494	30.901	233	267
WP_282974014.1	lcl|NZ_AKXD02000021.1_cds_WP_004781743.1_1801	27.513	189	267
WP_282974014.1	lcl|NZ_AKXD02000014.1_cds_WP_004781013.1_2373	25.397	252	267
WP_282974014.1	lcl|NZ_AKXD02000024.1_cds_WP_000869621.1_1469	21.912	251	267
WP_282974014.1	lcl|NZ_AKXD02000019.1_cds_WP_004758210.1_2037	37.647	85	267
WP_004472307.1	lcl|NZ_AKXD02000001.1_cds_WP_004780398.1_3461	27.273	330	509
WP_004472307.1	lcl|NZ_AKXD02000001.1_cds_WP_004752264.1_3462	28.889	90	509
WP_004472307.1	lcl|NZ_AKXD02000040.1_cds_WP_004782893.1_642	29.752	121	509
WP_004472307.1	lcl|NZ_AKXD02000001.1_cds_WP_004780398.1_3461	27.273	330	509
WP_004472307.1	lcl|NZ_AKXD02000001.1_cds_WP_004752264.1_3462	28.889	90	509
WP_004472307.1	lcl|NZ_AKXD02000040.1_cds_WP_004782893.1_642	29.752	121	509
WP_004479660.1	lcl|NZ_AKXD02000047.1_cds_WP_004751543.1_180	25.830	271	330
WP_004479660.1	lcl|NZ_AKXD02000024.1_cds_WP_004782086.1_1499	25.000	276	330
WP_004479660.1	lcl|NZ_AKXD02000014.1_cds_WP_004753565.1_2696	27.174	276	330
WP_004479660.1	lcl|NZ_AKXD02000021.1_cds_WP_004781747.1_1802	26.627	338	330
WP_004479660.1	lcl|NZ_AKXD02000014.1_cds_WP_004768084.1_2823	26.749	243	330
WP_004479660.1	lcl|NZ_AKXD02000024.1_cds_WP_004782145.1_1508	25.000	256	330
WP_004479660.1	lcl|NZ_AKXD02000024.1_cds_WP_000048849.1_1489	26.354	277	330
WP_004479660.1	lcl|NZ_AKXD02000014.1_cds_WP_004755135.1_2544	29.804	255	330
WP_004479660.1	lcl|NZ_AKXD02000014.1_cds_WP_004781102.1_2394	26.432	227	330
WP_004479660.1	lcl|NZ_AKXD02000024.1_cds_WP_004782124.1_1466	24.409	254	330
WP_004479660.1	lcl|NZ_AKXD02000003.1_cds_WP_004750263.1_3219	27.344	128	330
WP_004479660.1	lcl|NZ_AKXD02000047.1_cds_WP_004751412.1_168	30.464	151	330
WP_004472322.1	lcl|NZ_AKXD02000021.1_cds_WP_004781782.1_1808	32.353	340	366
WP_004472322.1	lcl|NZ_AKXD02000014.1_cds_WP_004754030.1_2379	27.704	379	366
WP_004472322.1	lcl|NZ_AKXD02000024.1_cds_WP_025177922.1_1487	31.854	383	366
WP_004472322.1	lcl|NZ_AKXD02000037.1_cds_WP_004752829.1_742	29.972	357	366
