WP_004462903.1	lcl|NZ_JQRE01000057.1_cds_WP_004421256.1_753	94.253	87	106
WP_004472299.1	lcl|NZ_JQRE01000057.1_cds_WP_004421326.1_754	92.903	310	319
WP_004472299.1	lcl|NZ_JQRE01000057.1_cds_WP_004434477.1_779	21.805	266	319
WP_004472299.1	lcl|NZ_JQRE01000057.1_cds_WP_004421375.1_757	25.397	315	319
WP_004472299.1	lcl|NZ_JQRE01000181.1_cds_WP_004419974.1_2030	25.076	327	319
WP_004472299.1	lcl|NZ_JQRE01000052.1_cds_WP_004455914.1_725	23.549	293	319
WP_004472299.1	lcl|NZ_JQRE01000168.1_cds_WP_004439553.1_1920	22.182	275	319
WP_004479563.1	lcl|NZ_JQRE01000057.1_cds_WP_061244416.1_755	84.658	365	365
WP_004472170.1	lcl|NZ_JQRE01000057.1_cds_WP_004421442.1_756	95.676	185	185
WP_004472170.1	lcl|NZ_JQRE01000199.1_cds_WP_004424034.1_2212	40.000	140	185
WP_004479538.1	lcl|NZ_JQRE01000057.1_cds_WP_004421375.1_757	94.207	328	329
WP_004479538.1	lcl|NZ_JQRE01000052.1_cds_WP_004455914.1_725	30.448	335	329
WP_004479538.1	lcl|NZ_JQRE01000181.1_cds_WP_004419974.1_2030	30.159	315	329
WP_004479538.1	lcl|NZ_JQRE01000168.1_cds_WP_004439553.1_1920	31.270	307	329
WP_004479538.1	lcl|NZ_JQRE01000019.1_cds_WP_061244227.1_306	29.268	328	329
WP_004479538.1	lcl|NZ_JQRE01000352.1_cds_WP_002148036.1_3139	29.730	333	329
WP_004479538.1	lcl|NZ_JQRE01000057.1_cds_WP_004421253.1_760	29.316	307	329
WP_004479538.1	lcl|NZ_JQRE01000138.1_cds_WP_061244961.1_1598	26.471	340	329
WP_004479538.1	lcl|NZ_JQRE01000057.1_cds_WP_004421326.1_754	26.119	268	329
WP_004479538.1	lcl|NZ_JQRE01000010.1_cds_WP_004421384.1_104	26.812	276	329
WP_004479538.1	lcl|NZ_JQRE01000057.1_cds_WP_004434477.1_779	26.129	310	329
WP_004479538.1	lcl|NZ_JQRE01000180.1_cds_WP_004455252.1_1988	28.782	271	329
WP_004479538.1	lcl|NZ_JQRE01000284.1_cds_WP_004432019.1_2786	24.771	327	329
WP_004479538.1	lcl|NZ_JQRE01000101.1_cds_WP_004449697.1_1305	24.419	258	329
WP_004479538.1	lcl|NZ_JQRE01000177.1_cds_WP_061245179.1_1954	26.749	243	329
WP_004479538.1	lcl|NZ_JQRE01000057.1_cds_WP_053522888.1_769	23.750	240	329
WP_282974014.1	lcl|NZ_JQRE01000057.1_cds_WP_004421408.1_758	90.637	267	267
WP_282974014.1	lcl|NZ_JQRE01000052.1_cds_WP_004434622.1_726	28.042	189	267
WP_282974014.1	lcl|NZ_JQRE01000263.1_cds_WP_004422352.1_2649	32.283	127	267
WP_282974014.1	lcl|NZ_JQRE01000057.1_cds_WP_053522889.1_768	24.286	210	267
WP_282974014.1	lcl|NZ_JQRE01000260.1_cds_WP_002146975.1_2627	37.647	85	267
WP_004472307.1	lcl|NZ_JQRE01000057.1_cds_WP_004420971.1_759	87.033	509	509
WP_004472307.1	lcl|NZ_JQRE01000066.1_cds_WP_061244512.1_916	27.576	330	509
WP_004472307.1	lcl|NZ_JQRE01000066.1_cds_WP_002148203.1_917	28.889	90	509
WP_004472307.1	lcl|NZ_JQRE01000057.1_cds_WP_004420971.1_759	87.033	509	509
WP_004472307.1	lcl|NZ_JQRE01000066.1_cds_WP_061244512.1_916	27.576	330	509
WP_004472307.1	lcl|NZ_JQRE01000066.1_cds_WP_002148203.1_917	28.889	90	509
WP_004479660.1	lcl|NZ_JQRE01000057.1_cds_WP_004421253.1_760	92.727	330	330
WP_004479660.1	lcl|NZ_JQRE01000057.1_cds_WP_004421375.1_757	29.470	302	330
WP_004479660.1	lcl|NZ_JQRE01000168.1_cds_WP_004439553.1_1920	25.830	271	330
WP_004479660.1	lcl|NZ_JQRE01000052.1_cds_WP_004455914.1_725	26.126	333	330
WP_004479660.1	lcl|NZ_JQRE01000181.1_cds_WP_004419974.1_2030	27.517	298	330
WP_004479660.1	lcl|NZ_JQRE01000019.1_cds_WP_061244227.1_306	31.325	249	330
WP_004479660.1	lcl|NZ_JQRE01000138.1_cds_WP_061244961.1_1598	26.457	223	330
WP_004479660.1	lcl|NZ_JQRE01000284.1_cds_WP_004432019.1_2786	27.160	243	330
WP_004479660.1	lcl|NZ_JQRE01000101.1_cds_WP_004449697.1_1305	26.562	128	330
WP_004479660.1	lcl|NZ_JQRE01000177.1_cds_WP_061245179.1_1954	25.338	296	330
WP_004479660.1	lcl|NZ_JQRE01000180.1_cds_WP_004455252.1_1988	25.417	240	330
