WP_004462903.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352101.1_2808	62.821	78	106
WP_004472299.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352100.1_2809	80.511	313	319
WP_004472299.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350398.1_318	27.937	315	319
WP_004472299.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350373.1_291	24.540	326	319
WP_004472299.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350875.1_863	23.839	323	319
WP_004472299.1	lcl|NZ_JAMQPP010000003.1_cds_WP_265351842.1_2055	23.529	187	319
WP_004472170.1	lcl|NZ_JAMQPP010000002.1_cds_WP_265351247.1_1802	35.345	116	185
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350373.1_291	30.255	314	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350875.1_863	29.032	310	329
WP_004479538.1	lcl|NZ_JAMQPP010000003.1_cds_WP_265351842.1_2055	27.059	340	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350726.1_695	26.946	334	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350398.1_318	29.236	301	329
WP_004479538.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352082.1_2830	27.037	270	329
WP_004479538.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352100.1_2809	25.786	318	329
WP_004479538.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352071.1_2842	27.092	251	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350671.1_630	26.772	254	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350327.1_237	30.723	166	329
WP_004479538.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352040.1_2873	26.119	268	329
WP_004479538.1	lcl|NZ_JAMQPP010000003.1_cds_WP_265351852.1_2066	24.028	283	329
WP_004479538.1	lcl|NZ_JAMQPP010000013.1_cds_WP_265353373.1_1377	24.581	179	329
WP_004479538.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350679.1_638	21.661	277	329
WP_004479538.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352209.1_2837	27.848	158	329
WP_282974014.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352008.1_2934	24.806	258	267
WP_282974014.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352074.1_2839	24.519	208	267
WP_282974014.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350644.1_602	37.168	113	267
WP_282974014.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350781.1_756	26.257	179	267
WP_282974014.1	lcl|NZ_JAMQPP010000003.1_cds_WP_265351841.1_2054	29.534	193	267
WP_282974014.1	lcl|NZ_JAMQPP010000009.1_cds_WP_265352871.1_3841	32.231	121	267
WP_004472307.1	lcl|NZ_JAMQPP010000002.1_cds_WP_265351228.1_1780	24.484	339	509
WP_004472307.1	lcl|NZ_JAMQPP010000002.1_cds_WP_265351228.1_1780	24.484	339	509
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350875.1_863	25.899	278	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350671.1_630	28.788	264	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350373.1_291	27.174	276	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350398.1_318	26.606	327	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350679.1_638	25.283	265	330
WP_004479660.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352082.1_2830	26.407	231	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350736.1_707	33.333	111	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350327.1_237	28.019	207	330
WP_004479660.1	lcl|NZ_JAMQPP010000013.1_cds_WP_265353373.1_1377	27.374	179	330
WP_004479660.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350726.1_695	28.477	151	330
WP_004479660.1	lcl|NZ_JAMQPP010000003.1_cds_WP_265351842.1_2055	24.658	146	330
WP_004472322.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350976.1_567	28.989	376	366
WP_004472322.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352096.1_2813	30.952	378	366
WP_004472322.1	lcl|NZ_JAMQPP010000008.1_cds_WP_265352689.1_3534	29.745	353	366
WP_004472322.1	lcl|NZ_JAMQPP010000011.1_cds_WP_265353155.1_1182	26.178	191	366
WP_004472364.1	lcl|NZ_JAMQPP010000005.1_cds_WP_265352096.1_2813	31.026	390	367
WP_004472364.1	lcl|NZ_JAMQPP010000008.1_cds_WP_265352689.1_3534	29.255	376	367
WP_004472364.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350976.1_567	28.571	378	367
WP_004472364.1	lcl|NZ_JAMQPP010000011.1_cds_WP_265353155.1_1182	25.905	359	367
WP_004472364.1	lcl|NZ_JAMQPP010000006.1_cds_WP_265352439.1_2994	32.353	102	367
WP_004470185.1	lcl|NZ_JAMQPP010000011.1_cds_WP_265353203.1_1131	41.152	243	265
WP_020783869.1	lcl|NZ_JAMQPP010000001.1_cds_WP_265350158.1_54	35.161	310	310
