WP_004462903.1	lcl|NZ_AFLZ02000005.1_cds_WP_000340715.1_3777	95.402	87	106
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_002079029.1_3776	92.258	310	319
WP_004472299.1	lcl|NZ_AFLZ02000024.1_cds_WP_000744700.1_1752	25.382	327	319
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_000646249.1_3773	26.667	270	319
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_000600886.1_3743	23.118	186	319
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_000723090.1_3691	23.368	291	319
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_000025487.1_3749	23.220	323	319
WP_004472299.1	lcl|NZ_AFLZ02000024.1_cds_WP_001984071.1_1545	21.678	286	319
WP_004472299.1	lcl|NZ_AFLZ02000005.1_cds_WP_001067557.1_3770	24.012	329	319
WP_004479563.1	lcl|NZ_AFLZ02000005.1_cds_WP_000604524.1_3775	83.562	365	365
WP_004472170.1	lcl|NZ_AFLZ02000005.1_cds_WP_000884059.1_3774	94.595	185	185
WP_004472170.1	lcl|NZ_AFLZ02000006.1_cds_WP_000351733.1_3568	39.286	140	185
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000646249.1_3773	93.902	328	329
WP_004479538.1	lcl|NZ_AFLZ02000024.1_cds_WP_000744700.1_1752	31.429	315	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000600886.1_3743	31.629	313	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000723090.1_3691	29.552	335	329
WP_004479538.1	lcl|NZ_AFLZ02000024.1_cds_WP_001984071.1_1545	30.945	307	329
WP_004479538.1	lcl|NZ_AFLZ02000024.1_cds_WP_000649924.1_1910	29.721	323	329
WP_004479538.1	lcl|NZ_AFLZ02000024.1_cds_WP_000709511.1_1556	29.429	333	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_001067557.1_3770	29.316	307	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000601375.1_3717	25.632	277	329
WP_004479538.1	lcl|NZ_AFLZ02000024.1_cds_WP_000688696.1_1525	28.720	289	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_002079020.1_3747	30.000	270	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000025487.1_3749	25.545	321	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_000475901.1_3708	27.132	258	329
WP_004479538.1	lcl|NZ_AFLZ02000005.1_cds_WP_002079029.1_3776	27.273	275	329
WP_004479538.1	lcl|NZ_AFLZ02000006.1_cds_WP_001074785.1_3360	29.779	272	329
