WP_004462903.1	lcl|NZ_LIHE01000147.1_cds_WP_000340715.1_865	95.402	87	106
WP_004472299.1	lcl|NZ_LIHE01000147.1_cds_WP_000410273.1_864	92.581	310	319
WP_004472299.1	lcl|NZ_LIHE01000147.1_cds_WP_000646255.1_861	27.037	270	319
WP_004472299.1	lcl|NZ_LIHE01000021.1_cds_WP_000744695.1_1616	25.382	327	319
WP_004472299.1	lcl|NZ_LIHE01000006.1_cds_WP_000649929.1_3077	28.485	330	319
WP_004472299.1	lcl|NZ_LIHE01000180.1_cds_WP_000600891.1_1273	23.118	186	319
WP_004472299.1	lcl|NZ_LIHE01000139.1_cds_WP_000723081.1_730	23.368	291	319
WP_004472299.1	lcl|NZ_LIHE01000147.1_cds_WP_001067557.1_858	24.012	329	319
WP_004472299.1	lcl|NZ_LIHE01000010.1_cds_WP_002064390.1_114	22.093	258	319
WP_004479563.1	lcl|NZ_LIHE01000147.1_cds_WP_000604524.1_863	83.562	365	365
WP_004472170.1	lcl|NZ_LIHE01000147.1_cds_WP_000884059.1_862	94.595	185	185
WP_004472170.1	lcl|NZ_LIHE01000126.1_cds_WP_000351733.1_564	39.286	140	185
WP_004479538.1	lcl|NZ_LIHE01000147.1_cds_WP_000646255.1_861	92.988	328	329
WP_004479538.1	lcl|NZ_LIHE01000021.1_cds_WP_000744695.1_1616	31.429	315	329
WP_004479538.1	lcl|NZ_LIHE01000180.1_cds_WP_000600891.1_1273	31.949	313	329
WP_004479538.1	lcl|NZ_LIHE01000139.1_cds_WP_000723081.1_730	29.552	335	329
WP_004479538.1	lcl|NZ_LIHE01000010.1_cds_WP_002064390.1_114	30.619	307	329
WP_004479538.1	lcl|NZ_LIHE01000006.1_cds_WP_000649929.1_3077	29.721	323	329
WP_004479538.1	lcl|NZ_LIHE01000010.1_cds_WP_000709511.1_124	29.429	333	329
WP_004479538.1	lcl|NZ_LIHE01000147.1_cds_WP_001067557.1_858	29.316	307	329
WP_004479538.1	lcl|NZ_LIHE01000111.1_cds_WP_000601375.1_334	25.632	277	329
WP_004479538.1	lcl|NZ_LIHE01000034.1_cds_WP_000688698.1_2359	28.720	289	329
WP_004479538.1	lcl|NZ_LIHE01000179.1_cds_WP_000475897.1_1220	27.132	258	329
