WP_004462903.1	lcl|NZ_JQRM01000057.1_cds_WP_004462903.1_2656	100.000	87	106
WP_004472299.1	lcl|NZ_JQRM01000057.1_cds_WP_017863560.1_2655	98.107	317	319
WP_004472299.1	lcl|NZ_JQRM01000016.1_cds_WP_004461583.1_1064	25.309	324	319
WP_004472299.1	lcl|NZ_JQRM01000057.1_cds_WP_004464967.1_2604	21.053	285	319
WP_004472299.1	lcl|NZ_JQRM01000057.1_cds_WP_004465002.1_2602	21.452	303	319
WP_004472299.1	lcl|NZ_JQRM01000057.1_cds_WP_004476514.1_2583	22.867	293	319
WP_004472299.1	lcl|NZ_JQRM01000058.1_cds_WP_004461234.1_2660	22.145	289	319
WP_004472299.1	lcl|NZ_JQRM01000115.1_cds_WP_004468319.1_3421	23.392	171	319
WP_004472170.1	lcl|NZ_JQRM01000003.1_cds_WP_004460143.1_334	34.932	146	185
WP_004472170.1	lcl|NZ_JQRM01000057.1_cds_WP_004494299.1_2621	36.158	177	185
WP_004479538.1	lcl|NZ_JQRM01000057.1_cds_WP_004464967.1_2604	31.153	321	329
WP_004479538.1	lcl|NZ_JQRM01000058.1_cds_WP_004461234.1_2660	32.476	311	329
WP_004479538.1	lcl|NZ_JQRM01000016.1_cds_WP_004461583.1_1064	29.524	315	329
WP_004479538.1	lcl|NZ_JQRM01000057.1_cds_WP_004476514.1_2583	29.940	334	329
WP_004479538.1	lcl|NZ_JQRM01000057.1_cds_WP_004465002.1_2602	29.605	304	329
WP_004479538.1	lcl|NZ_JQRM01000005.1_cds_WP_004487738.1_466	30.341	323	329
WP_004479538.1	lcl|NZ_JQRM01000058.1_cds_WP_004461242.1_2663	28.485	330	329
WP_004479538.1	lcl|NZ_JQRM01000115.1_cds_WP_004468319.1_3421	26.190	336	329
WP_004479538.1	lcl|NZ_JQRM01000042.1_cds_WP_017863440.1_2199	25.588	340	329
WP_004479538.1	lcl|NZ_JQRM01000057.1_cds_WP_017863560.1_2655	28.044	271	329
