WP_004462903.1	lcl|NZ_JQRS01000042.1_cds_WP_061249343.1_1944	96.552	87	106
WP_004472299.1	lcl|NZ_JQRS01000042.1_cds_WP_061249344.1_1945	86.901	313	319
WP_004472299.1	lcl|NZ_JQRS01000002.1_cds_WP_020771927.1_131	25.617	324	319
WP_004472299.1	lcl|NZ_JQRS01000042.1_cds_WP_061249345.1_1948	24.281	313	319
WP_004472299.1	lcl|NZ_JQRS01000042.1_cds_WP_061249358.1_1968	23.043	230	319
WP_004472299.1	lcl|NZ_JQRS01000042.1_cds_WP_061249410.1_2034	23.448	290	319
WP_004472299.1	lcl|NZ_JQRS01000020.1_cds_WP_017808832.1_1304	24.537	216	319
WP_004472299.1	lcl|NZ_JQRS01000097.1_cds_WP_020775260.1_3318	22.485	169	319
WP_004479563.1	lcl|NZ_JQRS01000042.1_cds_WP_020774721.1_1946	82.192	365	365
WP_004472170.1	lcl|NZ_JQRS01000042.1_cds_WP_020774732.1_1947	91.892	185	185
WP_004472170.1	lcl|NZ_JQRS01000009.1_cds_WP_020772754.1_641	36.986	146	185
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249345.1_1948	89.024	328	329
WP_004479538.1	lcl|NZ_JQRS01000002.1_cds_WP_020771927.1_131	30.159	315	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249356.1_1962	31.657	338	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249410.1_2034	28.743	334	329
WP_004479538.1	lcl|NZ_JQRS01000020.1_cds_WP_017808832.1_1304	32.692	312	329
WP_004479538.1	lcl|NZ_JQRS01000037.1_cds_WP_061249289.1_1827	31.003	329	329
WP_004479538.1	lcl|NZ_JQRS01000097.1_cds_WP_020775260.1_3318	26.488	336	329
WP_004479538.1	lcl|NZ_JQRS01000020.1_cds_WP_036042477.1_1294	28.571	322	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249347.1_1951	28.525	305	329
WP_004479538.1	lcl|NZ_JQRS01000008.1_cds_WP_061248231.1_444	26.471	340	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249344.1_1945	28.253	269	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_020772548.1_2017	26.250	240	329
WP_004479538.1	lcl|NZ_JQRS01000042.1_cds_WP_061249358.1_1968	27.244	312	329
WP_004479538.1	lcl|NZ_JQRS01000012.1_cds_WP_020773134.1_829	25.836	329	329
WP_004479538.1	lcl|NZ_JQRS01000005.1_cds_WP_020772455.1_264	26.154	260	329
WP_004479538.1	lcl|NZ_JQRS01000119.1_cds_WP_061250030.1_3492	29.388	245	329
WP_004479538.1	lcl|NZ_JQRS01000063.1_cds_WP_061249631.1_2539	25.298	336	329
WP_282974014.1	lcl|NZ_JQRS01000042.1_cds_WP_021064582.1_1949	76.404	267	267
WP_282974014.1	lcl|NZ_JQRS01000042.1_cds_WP_061249411.1_2035	26.455	189	267
WP_282974014.1	lcl|NZ_JQRS01000017.1_cds_WP_020773607.1_1183	28.796	191	267
WP_282974014.1	lcl|NZ_JQRS01000097.1_cds_WP_081605152.1_3309	26.486	185	267
WP_282974014.1	lcl|NZ_JQRS01000097.1_cds_WP_082761020.1_3317	28.283	198	267
WP_004472307.1	lcl|NZ_JQRS01000042.1_cds_WP_061249346.1_1950	84.283	509	509
WP_004472307.1	lcl|NZ_JQRS01000012.1_cds_WP_061248543.1_754	27.640	322	509
WP_004472307.1	lcl|NZ_JQRS01000042.1_cds_WP_061249346.1_1950	84.283	509	509
WP_004472307.1	lcl|NZ_JQRS01000012.1_cds_WP_061248543.1_754	27.640	322	509
WP_004479660.1	lcl|NZ_JQRS01000042.1_cds_WP_061249347.1_1951	91.818	330	330
WP_004479660.1	lcl|NZ_JQRS01000042.1_cds_WP_061249345.1_1948	28.477	302	330
WP_004479660.1	lcl|NZ_JQRS01000020.1_cds_WP_017808832.1_1304	26.740	273	330
WP_004479660.1	lcl|NZ_JQRS01000002.1_cds_WP_020771927.1_131	27.899	276	330
WP_004479660.1	lcl|NZ_JQRS01000042.1_cds_WP_061249410.1_2034	26.190	336	330
WP_004479660.1	lcl|NZ_JQRS01000042.1_cds_WP_061249356.1_1962	29.767	215	330
WP_004479660.1	lcl|NZ_JQRS01000008.1_cds_WP_061248231.1_444	27.149	221	330
WP_004479660.1	lcl|NZ_JQRS01000063.1_cds_WP_061249631.1_2539	25.714	245	330
WP_004479660.1	lcl|NZ_JQRS01000037.1_cds_WP_061249289.1_1827	29.719	249	330
WP_004479660.1	lcl|NZ_JQRS01000097.1_cds_WP_020775260.1_3318	26.056	142	330
WP_004479660.1	lcl|NZ_JQRS01000005.1_cds_WP_020772455.1_264	27.344	128	330
WP_004479660.1	lcl|NZ_JQRS01000012.1_cds_WP_020773134.1_829	27.692	130	330
WP_004479660.1	lcl|NZ_JQRS01000020.1_cds_WP_036042477.1_1294	30.464	151	330
