WP_002725873.1	lcl|NZ_ANMY01000082.1_cds_WP_002614501.1_1842	97.561	82	106
WP_061209188.1	lcl|NZ_ANMY01000082.1_cds_WP_004494857.1_1843	97.097	310	314
WP_061209188.1	lcl|NZ_ANMY01000074.1_cds_WP_002615921.1_1641	24.224	322	314
WP_061209188.1	lcl|NZ_ANMY01000057.1_cds_WP_020781931.1_1315	21.300	277	314
WP_061209188.1	lcl|NZ_ANMY01000131.1_cds_WP_016759276.1_2848	23.132	281	314
WP_061209188.1	lcl|NZ_ANMY01000057.1_cds_WP_002614506.1_1317	24.324	185	314
WP_061209188.1	lcl|NZ_ANMY01000159.1_cds_WP_004495474.1_3392	25.723	311	314
WP_061208759.1	lcl|NZ_ANMY01000149.1_cds_WP_004497075.1_3268	42.105	228	594
WP_061208759.1	lcl|NZ_ANMY01000055.1_cds_WP_016760306.1_1097	40.000	230	594
WP_061208759.1	lcl|NZ_ANMY01000133.1_cds_WP_004502606.1_2890	31.282	390	594
WP_061208759.1	lcl|NZ_ANMY01000057.1_cds_WP_020781917.1_1293	32.895	228	594
WP_061208759.1	lcl|NZ_ANMY01000038.1_cds_WP_004500775.1_881	32.407	216	594
WP_061208759.1	lcl|NZ_ANMY01000003.1_cds_WP_004497687.1_42	27.189	217	594
WP_061208759.1	lcl|NZ_ANMY01000031.1_cds_WP_002623155.1_727	28.629	248	594
WP_061208759.1	lcl|NZ_ANMY01000149.1_cds_WP_002620949.1_3235	30.556	216	594
WP_061208759.1	lcl|NZ_ANMY01000065.1_cds_WP_002626620.1_1418	29.386	228	594
WP_061208759.1	lcl|NZ_ANMY01000055.1_cds_WP_004503386.1_1161	25.911	247	594
WP_061208759.1	lcl|NZ_ANMY01000055.1_cds_WP_004503386.1_1161	26.115	157	594
WP_061208759.1	lcl|NZ_ANMY01000121.1_cds_WP_002630438.1_2635	29.358	218	594
WP_061208759.1	lcl|NZ_ANMY01000032.1_cds_WP_020781683.1_739	31.553	206	594
WP_061208759.1	lcl|NZ_ANMY01000015.1_cds_WP_004496188.1_237	29.048	210	594
WP_061208759.1	lcl|NZ_ANMY01000085.1_cds_WP_002620193.1_1912	27.197	239	594
WP_061208759.1	lcl|NZ_ANMY01000003.1_cds_WP_002618789.1_74	28.261	230	594
