WP_002725873.1	lcl|NZ_AFLA01000081.1_cds_WP_000340715.1_1922	93.902	82	106
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_000410273.1_1923	92.971	313	314
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_000093099.1_1943	58.730	63	314
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_000646250.1_1926	27.711	249	314
WP_061209188.1	lcl|NZ_AFLA01000112.1_cds_WP_000744700.1_1518	23.385	325	314
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_000600889.1_1952	22.909	275	314
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_000723090.1_2005	23.875	289	314
WP_061209188.1	lcl|NZ_AFLA01000081.1_cds_WP_001067557.1_1929	24.540	326	314
WP_061208759.1	lcl|NZ_AFLA01000025.1_cds_WP_000667646.1_3062	32.412	398	594
WP_061208759.1	lcl|NZ_AFLA01000020.1_cds_WP_000172202.1_3276	39.130	230	594
WP_061208759.1	lcl|NZ_AFLA01000001.1_cds_WP_000828455.1_3706	36.863	255	594
WP_061208759.1	lcl|NZ_AFLA01000081.1_cds_WP_000834715.1_1946	37.553	237	594
WP_061208759.1	lcl|NZ_AFLA01000015.1_cds_WP_001161019.1_3525	32.407	216	594
WP_061208759.1	lcl|NZ_AFLA01000174.1_cds_WP_000510777.1_634	26.941	219	594
WP_061208759.1	lcl|NZ_AFLA01000048.1_cds_WP_001052498.1_2426	25.820	244	594
WP_061208759.1	lcl|NZ_AFLA01000020.1_cds_WP_000942282.1_3262	28.509	228	594
WP_061208759.1	lcl|NZ_AFLA01000168.1_cds_WP_000619175.1_681	29.098	244	594
WP_061208759.1	lcl|NZ_AFLA01000187.1_cds_WP_000666552.1_536	28.099	242	594
WP_061208759.1	lcl|NZ_AFLA01000046.1_cds_WP_000603361.1_2510	29.130	230	594
WP_061208759.1	lcl|NZ_AFLA01000073.1_cds_WP_001141158.1_2106	30.942	223	594
WP_061208759.1	lcl|NZ_AFLA01000106.1_cds_WP_000047473.1_1743	28.571	210	594
