WP_002725873.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002725873.1_2694	100.000	106	106
WP_061209188.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002733579.1_2695	100.000	313	314
WP_061209188.1	lcl|NZ_JADDWJ010000017.1_cds_WP_002722638.1_631	24.845	322	314
WP_061209188.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002733534.1_2698	26.908	249	314
WP_061209188.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002740024.1_2789	23.132	281	314
WP_061209188.1	lcl|NZ_JADDWJ010000006.1_cds_WP_002728309.1_3052	25.723	311	314
WP_061209188.1	lcl|NZ_JADDWJ010000030.1_cds_WP_002743770.1_1590	20.809	173	314
WP_061209188.1	lcl|NZ_JADDWJ010000005.1_cds_WP_016749081.1_2727	24.503	151	314
WP_061209188.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002740721.1_2701	24.848	330	314
WP_061208759.1	lcl|NZ_JADDWJ010000001.1_cds_WP_002723347.1_766	41.228	228	594
WP_061208759.1	lcl|NZ_JADDWJ010000005.1_cds_WP_002740724.1_2720	39.167	240	594
WP_061208759.1	lcl|NZ_JADDWJ010000067.1_cds_WP_002742222.1_2914	40.000	230	594
WP_061208759.1	lcl|NZ_JADDWJ010000031.1_cds_WP_002741286.1_1644	31.620	389	594
WP_061208759.1	lcl|NZ_JADDWJ010000005.1_cds_IQA80_RS03060_2731	35.115	262	594
WP_061208759.1	lcl|NZ_JADDWJ010000009.1_cds_WP_002726143.1_3378	33.333	216	594
WP_061208759.1	lcl|NZ_JADDWJ010000008.1_cds_WP_002739451.1_3309	25.806	217	594
WP_061208759.1	lcl|NZ_JADDWJ010000010.1_cds_WP_032854486.1_83	33.010	206	594
WP_061208759.1	lcl|NZ_JADDWJ010000002.1_cds_WP_002734207.1_1494	28.017	232	594
WP_061208759.1	lcl|NZ_JADDWJ010000008.1_cds_WP_002725984.1_3277	29.565	230	594
WP_061208759.1	lcl|NZ_JADDWJ010000003.1_cds_WP_002721827.1_1940	29.954	217	594
WP_061208759.1	lcl|NZ_JADDWJ010000003.1_cds_WP_002721914.1_1972	29.817	218	594
WP_061208759.1	lcl|NZ_JADDWJ010000028.1_cds_WP_002729296.1_1361	27.948	229	594
WP_061208759.1	lcl|NZ_JADDWJ010000004.1_cds_WP_002724285.1_2411	30.093	216	594
WP_061208759.1	lcl|NZ_JADDWJ010000010.1_cds_WP_002728388.1_67	29.048	210	594
WP_061208759.1	lcl|NZ_JADDWJ010000011.1_cds_WP_002752475.1_179	27.197	239	594
WP_061208759.1	lcl|NZ_JADDWJ010000054.1_cds_WP_002738485.1_2593	29.255	188	594
WP_061208759.1	lcl|NZ_JADDWJ010000032.1_cds_WP_032853264.1_1688	25.592	211	594
WP_061208759.1	lcl|NZ_JADDWJ010000032.1_cds_WP_032853264.1_1688	25.478	157	594
