WP_002725873.1	lcl|NZ_AOWZ01000141.1_cds_WP_000340715.1_2921	93.902	82	106
WP_061209188.1	lcl|NZ_AOWZ01000141.1_cds_WP_000410273.1_2920	92.971	313	314
WP_061209188.1	lcl|NZ_AOWZ01000141.1_cds_WP_000646253.1_2917	27.711	249	314
WP_061209188.1	lcl|NZ_AOWZ01000121.1_cds_WP_000744700.1_2432	23.385	325	314
WP_061209188.1	lcl|NZ_AOWZ01000033.1_cds_WP_001033107.1_422	22.180	266	314
WP_061209188.1	lcl|NZ_AOWZ01000146.1_cds_WP_000723090.1_3207	23.875	289	314
WP_061209188.1	lcl|NZ_AOWZ01000033.1_cds_WP_000723090.1_371	23.875	289	314
WP_061209188.1	lcl|NZ_AOWZ01000141.1_cds_WP_001067558.1_2914	24.540	326	314
WP_061208759.1	lcl|NZ_AOWZ01000033.1_cds_WP_001035839.1_415	54.355	574	594
WP_061208759.1	lcl|NZ_AOWZ01000098.1_cds_WP_000667646.1_1846	32.412	398	594
WP_061208759.1	lcl|NZ_AOWZ01000153.1_cds_WP_000172203.1_3352	39.565	230	594
WP_061208759.1	lcl|NZ_AOWZ01000108.1_cds_WP_000828458.1_2062	36.471	255	594
WP_061208759.1	lcl|NZ_AOWZ01000090.1_cds_WP_001161020.1_1660	32.127	221	594
WP_061208759.1	lcl|NZ_AOWZ01000049.1_cds_WP_000510777.1_847	26.941	219	594
WP_061208759.1	lcl|NZ_AOWZ01000009.1_cds_WP_001052498.1_97	25.820	244	594
WP_061208759.1	lcl|NZ_AOWZ01000153.1_cds_LEP2GSC027_RS01000000123245_3366	28.870	239	594
WP_061208759.1	lcl|NZ_AOWZ01000164.1_cds_WP_000619176.1_3674	29.098	244	594
WP_061208759.1	lcl|NZ_AOWZ01000131.1_cds_WP_000666552.1_2665	28.099	242	594
WP_061208759.1	lcl|NZ_AOWZ01000060.1_cds_WP_000603361.1_1208	29.130	230	594
WP_061208759.1	lcl|NZ_AOWZ01000158.1_cds_WP_001141162.1_3411	29.646	226	594
WP_061208759.1	lcl|NZ_AOWZ01000055.1_cds_WP_000047473.1_1088	28.571	210	594
WP_061208759.1	lcl|NZ_AOWZ01000116.1_cds_WP_001089498.1_2261	29.911	224	594
WP_061208759.1	lcl|NZ_AOWZ01000116.1_cds_WP_000433117.1_2229	32.927	164	594
WP_061208759.1	lcl|NZ_AOWZ01000164.1_cds_WP_000127308.1_3673	28.395	243	594
WP_061208759.1	lcl|NZ_AOWZ01000008.1_cds_WP_000052667.1_36	25.439	228	594
WP_061208759.1	lcl|NZ_AOWZ01000138.1_cds_WP_000184524.1_2854	26.728	217	594
WP_061208759.1	lcl|NZ_AOWZ01000162.1_cds_LEP2GSC027_RS0120840_3627	28.500	200	594
WP_061208759.1	lcl|NZ_AOWZ01000162.1_cds_LEP2GSC027_RS0120840_3627	26.957	230	594
WP_061208759.1	lcl|NZ_AOWZ01000160.1_cds_WP_001288326.1_3512	27.778	216	594
