WP_002725873.1	lcl|NZ_JADHZU010000048.1_cds_WP_000340715.1_2730	93.902	82	106
WP_061209188.1	lcl|NZ_JADHZU010000048.1_cds_WP_000410266.1_2731	92.971	313	314
WP_061209188.1	lcl|NZ_JADHZU010000013.1_cds_WP_000744698.1_309	23.385	325	314
WP_061209188.1	lcl|NZ_JADHZU010000048.1_cds_WP_000646254.1_2734	27.309	249	314
WP_061209188.1	lcl|NZ_JADHZU010000017.1_cds_WP_000723091.1_562	24.221	289	314
WP_061209188.1	lcl|NZ_JADHZU010000048.1_cds_WP_001067557.1_2737	24.540	326	314
WP_061208759.1	lcl|NZ_JADHZU010000027.1_cds_WP_002072224.1_1456	52.277	593	594
WP_061208759.1	lcl|NZ_JADHZU010000010.1_cds_WP_000667646.1_32	32.412	398	594
WP_061208759.1	lcl|NZ_JADHZU010000029.1_cds_WP_000172209.1_1569	39.565	230	594
WP_061208759.1	lcl|NZ_JADHZU010000041.1_cds_WP_000828456.1_2561	36.863	255	594
WP_061208759.1	lcl|NZ_JADHZU010000008.1_cds_WP_001161019.1_3758	32.407	216	594
WP_061208759.1	lcl|NZ_JADHZU010000025.1_cds_ISU89_RS12665_1371	26.606	218	594
WP_061208759.1	lcl|NZ_JADHZU010000004.1_cds_WP_001052496.1_2860	25.820	244	594
WP_061208759.1	lcl|NZ_JADHZU010000004.1_cds_WP_000619182.1_2815	29.098	244	594
WP_061208759.1	lcl|NZ_JADHZU010000029.1_cds_WP_002071818.1_1583	28.070	228	594
WP_061208759.1	lcl|NZ_JADHZU010000002.1_cds_WP_000666552.1_1759	28.099	242	594
WP_061208759.1	lcl|NZ_JADHZU010000023.1_cds_WP_000603361.1_1267	29.130	230	594
WP_061208759.1	lcl|NZ_JADHZU010000009.1_cds_WP_001141162.1_3919	29.646	226	594
WP_061208759.1	lcl|NZ_JADHZU010000005.1_cds_WP_000047473.1_3151	28.571	210	594
WP_061208759.1	lcl|NZ_JADHZU010000002.1_cds_WP_228003820.1_1739	29.911	224	594
WP_061208759.1	lcl|NZ_JADHZU010000002.1_cds_WP_000433117.1_1707	32.927	164	594
WP_061208759.1	lcl|NZ_JADHZU010000004.1_cds_WP_000218832.1_2814	28.112	249	594
WP_061208759.1	lcl|NZ_JADHZU010000042.1_cds_WP_000590871.1_2592	25.943	212	594
WP_061208759.1	lcl|NZ_JADHZU010000042.1_cds_WP_000590871.1_2592	24.841	157	594
WP_061208759.1	lcl|NZ_JADHZU010000003.1_cds_WP_155572125.1_2395	25.439	228	594
WP_061208759.1	lcl|NZ_JADHZU010000062.1_cds_WP_000184524.1_3318	26.728	217	594
WP_061208759.1	lcl|NZ_JADHZU010000049.1_cds_WP_001288322.1_2759	28.241	216	594
WP_061208759.1	lcl|NZ_JADHZU010000017.1_cds_WP_000651462.1_607	26.104	249	594
WP_061208759.1	lcl|NZ_JADHZU010000011.1_cds_WP_001049212.1_129	28.500	200	594
