WP_002725873.1	lcl|NZ_AFJR01000109.1_cds_WP_000340715.1_2506	93.902	82	106
WP_061209188.1	lcl|NZ_AFJR01000109.1_cds_WP_000410273.1_2507	92.971	313	314
WP_061209188.1	lcl|NZ_AFJR01000098.1_cds_WP_000093099.1_2754	58.730	63	314
WP_061209188.1	lcl|NZ_AFJR01000109.1_cds_WP_000646252.1_2510	27.711	249	314
WP_061209188.1	lcl|NZ_AFJR01000218.1_cds_WP_000744700.1_1538	23.385	325	314
WP_061209188.1	lcl|NZ_AFJR01000098.1_cds_WP_000600889.1_2745	22.909	275	314
WP_061209188.1	lcl|NZ_AFJR01000429.1_cds_WP_000723090.1_110	23.875	289	314
WP_061209188.1	lcl|NZ_AFJR01000109.1_cds_WP_001067557.1_2513	24.540	326	314
WP_061208759.1	lcl|NZ_AFJR01000087.1_cds_WP_000667646.1_2956	32.412	398	594
WP_061208759.1	lcl|NZ_AFJR01000076.1_cds_WP_000172202.1_3318	39.130	230	594
WP_061208759.1	lcl|NZ_AFJR01000098.1_cds_WP_000834715.1_2751	37.553	237	594
WP_061208759.1	lcl|NZ_AFJR01000010.1_cds_WP_000828453.1_3787	35.326	184	594
WP_061208759.1	lcl|NZ_AFJR01000234.1_cds_WP_001161019.1_1296	32.407	216	594
WP_061208759.1	lcl|NZ_AFJR01000174.1_cds_WP_000510777.1_1770	26.941	219	594
WP_061208759.1	lcl|NZ_AFJR01000245.1_cds_WP_000441535.1_1042	43.421	76	594
WP_061208759.1	lcl|NZ_AFJR01000347.1_cds_WP_001052498.1_425	25.820	244	594
WP_061208759.1	lcl|NZ_AFJR01000076.1_cds_WP_000942282.1_3304	28.509	228	594
WP_061208759.1	lcl|NZ_AFJR01000071.1_cds_WP_000619175.1_3423	29.098	244	594
WP_061208759.1	lcl|NZ_AFJR01000451.1_cds_WP_000666552.1_12	28.099	242	594
WP_061208759.1	lcl|NZ_AFJR01000292.1_cds_WP_000603361.1_662	29.130	230	594
WP_061208759.1	lcl|NZ_AFJR01000317.1_cds_WP_001141158.1_532	30.942	223	594
WP_061208759.1	lcl|NZ_AFJR01000026.1_cds_WP_000047473.1_3637	28.571	210	594
WP_061208759.1	lcl|NZ_AFJR01000411.1_cds_WP_001089500.1_329	29.911	224	594
