WP_002725873.1	lcl|NZ_AHML02000020.1_cds_WP_004753574.1_1931	91.463	82	106
WP_061209188.1	lcl|NZ_AHML02000020.1_cds_WP_004755091.1_1932	93.269	312	314
WP_061209188.1	lcl|NZ_AHML02000020.1_cds_WP_004755430.1_1935	27.309	249	314
WP_061209188.1	lcl|NZ_AHML02000003.1_cds_WP_004756623.1_3406	23.313	326	314
WP_061209188.1	lcl|NZ_AHML02000020.1_cds_WP_004755262.1_2010	22.776	281	314
WP_061209188.1	lcl|NZ_AHML02000020.1_cds_WP_004755319.1_1938	25.152	330	314
WP_061208759.1	lcl|NZ_AHML02000020.1_cds_WP_004758297.1_1957	54.392	592	594
WP_061208759.1	lcl|NZ_AHML02000029.1_cds_WP_004752998.1_701	32.061	393	594
WP_061208759.1	lcl|NZ_AHML02000035.1_cds_WP_004763548.1_141	40.000	230	594
WP_061208759.1	lcl|NZ_AHML02000003.1_cds_WP_004755367.1_3321	36.863	255	594
WP_061208759.1	lcl|NZ_AHML02000033.1_cds_WP_004759288.1_481	32.243	214	594
WP_061208759.1	lcl|NZ_AHML02000022.1_cds_WP_004751633.1_1687	28.689	244	594
WP_061208759.1	lcl|NZ_AHML02000033.1_cds_WP_004750725.1_574	26.977	215	594
WP_061208759.1	lcl|NZ_AHML02000003.1_cds_WP_004754759.1_3520	25.833	240	594
WP_061208759.1	lcl|NZ_AHML02000035.1_cds_WP_004754327.1_161	28.634	227	594
WP_061208759.1	lcl|NZ_AHML02000020.1_cds_WP_004753839.1_1835	29.565	230	594
WP_061208759.1	lcl|NZ_AHML02000027.1_cds_WP_004752570.1_1241	28.099	242	594
WP_061208759.1	lcl|NZ_AHML02000004.1_cds_WP_004753339.1_3233	30.942	223	594
WP_061208759.1	lcl|NZ_AHML02000027.1_cds_WP_016749953.1_1487	28.571	210	594
WP_061208759.1	lcl|NZ_AHML02000027.1_cds_WP_004752581.1_1188	34.356	163	594
WP_061208759.1	lcl|NZ_AHML02000027.1_cds_WP_004752322.1_1221	29.464	224	594
