WP_002725873.1	lcl|NZ_AFMG01000041.1_cds_WP_000340715.1_2919	93.902	82	106
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_000410273.1_2918	92.971	313	314
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_000093099.1_2898	58.730	63	314
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_000646250.1_2915	27.711	249	314
WP_061209188.1	lcl|NZ_AFMG01000123.1_cds_WP_000744700.1_1622	23.385	325	314
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_000600889.1_2889	22.909	275	314
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_000723090.1_2836	23.875	289	314
WP_061209188.1	lcl|NZ_AFMG01000041.1_cds_WP_001067557.1_2912	24.540	326	314
WP_061208759.1	lcl|NZ_AFMG01000072.1_cds_WP_000667646.1_2320	32.412	398	594
WP_061208759.1	lcl|NZ_AFMG01000044.1_cds_WP_000172202.1_2792	39.130	230	594
WP_061208759.1	lcl|NZ_AFMG01000006.1_cds_WP_000828455.1_3674	36.863	255	594
WP_061208759.1	lcl|NZ_AFMG01000041.1_cds_WP_000834715.1_2895	37.553	237	594
WP_061208759.1	lcl|NZ_AFMG01000023.1_cds_WP_001161019.1_3438	32.407	216	594
WP_061208759.1	lcl|NZ_AFMG01000085.1_cds_WP_000510777.1_2092	26.941	219	594
WP_061208759.1	lcl|NZ_AFMG01000037.1_cds_WP_001052498.1_3058	25.820	244	594
WP_061208759.1	lcl|NZ_AFMG01000044.1_cds_WP_000942282.1_2778	28.509	228	594
WP_061208759.1	lcl|NZ_AFMG01000087.1_cds_WP_000619175.1_2048	29.098	244	594
WP_061208759.1	lcl|NZ_AFMG01000140.1_cds_WP_000666552.1_1170	28.099	242	594
WP_061208759.1	lcl|NZ_AFMG01000061.1_cds_WP_000603361.1_2459	29.130	230	594
WP_061208759.1	lcl|NZ_AFMG01000057.1_cds_WP_001141158.1_2507	30.942	223	594
