WP_002725873.1	lcl|NZ_JQRG01000009.1_cds_WP_004462903.1_424	97.561	82	106
WP_061209188.1	lcl|NZ_JQRG01000009.1_cds_WP_017863560.1_423	91.613	310	314
WP_061209188.1	lcl|NZ_JQRG01000020.1_cds_WP_004461583.1_1079	23.913	322	314
WP_061209188.1	lcl|NZ_JQRG01000009.1_cds_WP_004464967.1_372	22.302	278	314
WP_061209188.1	lcl|NZ_JQRG01000009.1_cds_WP_004465002.1_370	25.683	183	314
WP_061209188.1	lcl|NZ_JQRG01000009.1_cds_WP_004476514.1_351	23.132	281	314
WP_061209188.1	lcl|NZ_JQRG01000053.1_cds_WP_004461234.1_2515	25.087	287	314
WP_061209188.1	lcl|NZ_JQRG01000071.1_cds_WP_004468319.1_2962	20.710	169	314
WP_061208759.1	lcl|NZ_JQRG01000008.1_cds_WP_017863782.1_294	32.061	393	594
WP_061208759.1	lcl|NZ_JQRG01000027.1_cds_WP_004457781.1_1399	41.304	230	594
WP_061208759.1	lcl|NZ_JQRG01000042.1_cds_WP_004459265.1_2079	31.620	389	594
WP_061208759.1	lcl|NZ_JQRG01000009.1_cds_WP_004494288.1_394	34.783	207	594
WP_061208759.1	lcl|NZ_JQRG01000044.1_cds_JG07_RS10970_2130	36.702	188	594
WP_061208759.1	lcl|NZ_JQRG01000091.1_cds_WP_004461439.1_3277	25.806	217	594
WP_061208759.1	lcl|NZ_JQRG01000004.1_cds_WP_004480113.1_129	29.258	229	594
WP_061208759.1	lcl|NZ_JQRG01000021.1_cds_WP_017863703.1_1184	32.039	206	594
WP_061208759.1	lcl|NZ_JQRG01000042.1_cds_WP_004473839.1_2050	26.891	238	594
WP_061208759.1	lcl|NZ_JQRG01000016.1_cds_WP_004460145.1_826	29.911	224	594
WP_061208759.1	lcl|NZ_JQRG01000101.1_cds_WP_004466161.1_3349	29.130	230	594
WP_061208759.1	lcl|NZ_JQRG01000023.1_cds_WP_004469508.1_1275	31.818	220	594
WP_061208759.1	lcl|NZ_JQRG01000016.1_cds_WP_004460182.1_807	29.386	228	594
WP_061208759.1	lcl|NZ_JQRG01000016.1_cds_WP_004481334.1_860	29.358	218	594
WP_061208759.1	lcl|NZ_JQRG01000015.1_cds_WP_004460645.1_650	29.048	210	594
WP_061208759.1	lcl|NZ_JQRG01000062.1_cds_WP_004464119.1_2761	31.746	189	594
WP_061208759.1	lcl|NZ_JQRG01000067.1_cds_WP_004480402.1_2836	26.609	233	594
WP_061208759.1	lcl|NZ_JQRG01000067.1_cds_WP_004480385.1_2857	30.357	224	594
WP_061208759.1	lcl|NZ_JQRG01000084.1_cds_WP_004461802.1_3174	23.984	246	594
WP_061208759.1	lcl|NZ_JQRG01000084.1_cds_WP_004461802.1_3174	26.115	157	594
WP_061208759.1	lcl|NZ_JQRG01000040.1_cds_WP_004459763.1_2009	26.442	208	594
WP_061208759.1	lcl|NZ_JQRG01000021.1_cds_WP_004474610.1_1258	26.190	252	594
WP_061208759.1	lcl|NZ_JQRG01000007.1_cds_WP_004467934.1_237	28.856	201	594
WP_061208759.1	lcl|NZ_JQRG01000007.1_cds_WP_004467934.1_237	27.869	183	594
WP_061208759.1	lcl|NZ_JQRG01000023.1_cds_WP_004467532.1_1276	26.378	254	594
WP_061208759.1	lcl|NZ_JQRG01000081.1_cds_WP_004466296.1_3093	24.658	219	594
WP_061208759.1	lcl|NZ_JQRG01000026.1_cds_WP_004479667.1_1376	22.727	220	594
WP_061208759.1	lcl|NZ_JQRG01000008.1_cds_WP_017863779.1_305	24.434	221	594
WP_061208759.1	lcl|NZ_JQRG01000008.1_cds_WP_017863779.1_305	22.490	249	594
WP_061208759.1	lcl|NZ_JQRG01000031.1_cds_WP_004459333.1_1645	27.000	200	594
WP_061208759.1	lcl|NZ_JQRG01000031.1_cds_WP_004459333.1_1645	22.043	186	594
WP_061208759.1	lcl|NZ_JQRG01000008.1_cds_WP_017863782.1_294	32.061	393	594
WP_061208759.1	lcl|NZ_JQRG01000027.1_cds_WP_004457781.1_1399	41.304	230	594
WP_061208759.1	lcl|NZ_JQRG01000042.1_cds_WP_004459265.1_2079	31.620	389	594
