WP_004421256.1	lcl|NZ_AOGZ02000008.1_cds_WP_040506276.1_3173	57.746	71	106
WP_004421326.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680127.1_3174	80.645	310	314
WP_004421326.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681154.1_2333	27.848	316	314
WP_004421326.1	lcl|NZ_AOGZ02000014.1_cds_WP_002988752.1_2359	22.840	324	314
WP_004421326.1	lcl|NZ_AOGZ02000016.1_cds_WP_015682959.1_330	22.872	188	314
WP_004421442.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682453.1_529	34.677	124	185
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_002988752.1_2359	30.892	314	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681993.1_1791	29.450	309	329
WP_004421375.1	lcl|NZ_AOGZ02000016.1_cds_WP_015682959.1_330	28.152	341	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681103.1_1961	28.173	323	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681154.1_2333	27.974	311	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680175.1_3193	27.306	271	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680127.1_3174	25.949	316	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679926.1_3206	27.899	276	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681799.1_2020	26.800	250	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679965.1_3203	24.111	253	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680095.1_3215	23.228	254	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_015680113.1_3246	24.528	265	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682510.1_2412	28.994	169	329
WP_004421375.1	lcl|NZ_AOGZ02000016.1_cds_WP_198012817.1_319	26.407	231	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682335.1_2696	26.257	179	329
WP_004421375.1	lcl|NZ_AOGZ02000008.1_cds_WP_198012763.1_3201	29.747	158	329
WP_004421375.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682752.1_2012	21.402	271	329
WP_004421408.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679908.1_3307	24.060	266	267
WP_004421408.1	lcl|NZ_AOGZ02000008.1_cds_WP_015679951.1_3210	24.880	209	267
WP_004421408.1	lcl|NZ_AOGZ02000014.1_cds_WP_015682227.1_2049	35.345	116	267
WP_004421408.1	lcl|NZ_AOGZ02000014.1_cds_WP_084597410.1_1897	27.684	177	267
WP_004421408.1	lcl|NZ_AOGZ02000016.1_cds_WP_015683043.1_331	27.411	197	267
WP_004420971.1	lcl|NZ_AOGZ02000014.1_cds_WP_015680896.1_507	23.476	328	510
WP_004420971.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681983.1_506	29.245	106	510
WP_004420971.1	lcl|NZ_AOGZ02000014.1_cds_WP_015680896.1_507	23.476	328	510
WP_004420971.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681983.1_506	29.245	106	510
WP_004421253.1	lcl|NZ_AOGZ02000014.1_cds_WP_015681799.1_2020	27.757	263	330
