WP_004421256.1	lcl|NZ_AHPX01000291.1_cds_WP_000340713.1_59	94.186	86	106
WP_004421326.1	lcl|NZ_AHPX01000291.1_cds_WP_000412665.1_60	98.071	311	314
WP_004421326.1	lcl|NZ_AHPX01000291.1_cds_WP_000699347.1_64	23.871	310	314
WP_004421326.1	lcl|NZ_AHPX01000139.1_cds_WP_000744700.1_1752	25.926	324	314
WP_004421326.1	lcl|NZ_AHPX01000291.1_cds_WP_000723077.1_73	21.300	277	314
WP_004421326.1	lcl|NZ_AHPX01000049.1_cds_WP_000723094.1_3433	23.264	288	314
WP_004421442.1	lcl|NZ_AHPX01000176.1_cds_WP_000351733.1_1154	39.286	140	185
WP_004421375.1	lcl|NZ_AHPX01000139.1_cds_WP_000744700.1_1752	32.381	315	329
WP_004421375.1	lcl|NZ_AHPX01000291.1_cds_WP_000699347.1_64	30.086	349	329
WP_004421375.1	lcl|NZ_AHPX01000049.1_cds_WP_000723094.1_3433	30.746	335	329
WP_004421375.1	lcl|NZ_AHPX01000291.1_cds_WP_000723077.1_73	31.788	302	329
WP_004421375.1	lcl|NZ_AHPX01000052.1_cds_WP_001984071.1_3282	31.935	310	329
WP_004421375.1	lcl|NZ_AHPX01000048.1_cds_WP_000649923.1_3474	30.031	323	329
WP_004421375.1	lcl|NZ_AHPX01000169.1_cds_WP_000709511.1_1242	28.788	330	329
WP_004421375.1	lcl|NZ_AHPX01000052.1_cds_WP_000688695.1_3302	29.091	275	329
WP_004421375.1	lcl|NZ_AHPX01000291.1_cds_WP_000412665.1_60	25.157	318	329
WP_004421375.1	lcl|NZ_AHPX01000291.1_cds_WP_000377753.1_106	24.432	352	329
WP_004421375.1	lcl|NZ_AHPX01000135.1_cds_WP_001074783.1_1845	27.925	265	329
WP_004421375.1	lcl|NZ_AHPX01000087.1_cds_WP_001003558.1_2443	24.251	334	329
WP_004421375.1	lcl|NZ_AHPX01000291.1_cds_WP_000048849.1_83	23.361	244	329
WP_004421408.1	lcl|NZ_AHPX01000291.1_cds_WP_000432841.1_78	30.472	233	267
WP_004421408.1	lcl|NZ_AHPX01000049.1_cds_WP_000842260.1_3434	26.842	190	267
WP_004421408.1	lcl|NZ_AHPX01000140.1_cds_WP_000667727.1_1723	33.636	110	267
WP_004421408.1	lcl|NZ_AHPX01000291.1_cds_WP_000869621.1_105	21.912	251	267
WP_004421408.1	lcl|NZ_AHPX01000070.1_cds_WP_000805359.1_2678	34.314	102	267
WP_004420971.1	lcl|NZ_AHPX01000135.1_cds_WP_000291586.1_1917	27.077	325	510
WP_004420971.1	lcl|NZ_AHPX01000135.1_cds_WP_000364507.1_1916	31.111	90	510
WP_004420971.1	lcl|NZ_AHPX01000135.1_cds_WP_000291586.1_1917	27.077	325	510
WP_004420971.1	lcl|NZ_AHPX01000135.1_cds_WP_000364507.1_1916	31.111	90	510
WP_004421253.1	lcl|NZ_AHPX01000052.1_cds_WP_001984071.1_3282	26.199	271	330
WP_004421253.1	lcl|NZ_AHPX01000291.1_cds_WP_000723077.1_73	23.792	269	330
WP_004421253.1	lcl|NZ_AHPX01000139.1_cds_WP_000744700.1_1752	26.899	316	330
WP_004421253.1	lcl|NZ_AHPX01000049.1_cds_WP_000723094.1_3433	24.398	332	330
WP_004421253.1	lcl|NZ_AHPX01000087.1_cds_WP_001003558.1_2443	29.218	243	330
WP_004421253.1	lcl|NZ_AHPX01000291.1_cds_WP_000048849.1_83	30.233	129	330
WP_004421253.1	lcl|NZ_AHPX01000291.1_cds_WP_000699347.1_64	24.609	256	330
WP_004421253.1	lcl|NZ_AHPX01000048.1_cds_WP_000649923.1_3474	29.688	256	330
WP_004421253.1	lcl|NZ_AHPX01000052.1_cds_WP_000688695.1_3302	26.577	222	330
WP_004421253.1	lcl|NZ_AHPX01000291.1_cds_WP_000697617.1_108	25.197	254	330
WP_004421253.1	lcl|NZ_AHPX01000291.1_cds_WP_000377753.1_106	23.770	244	330
WP_004421253.1	lcl|NZ_AHPX01000169.1_cds_WP_000709511.1_1242	28.000	150	330
WP_004421253.1	lcl|NZ_AHPX01000208.1_cds_WP_000457972.1_691	25.000	128	330
WP_004434729.1	lcl|NZ_AHPX01000134.1_cds_WP_001002663.1_1940	40.741	243	265
WP_004434524.1	lcl|NZ_AHPX01000088.1_cds_WP_000501205.1_2404	36.964	303	310
WP_004434524.1	lcl|NZ_AHPX01000062.1_cds_WP_001183723.1_2892	28.571	273	310
WP_004434524.1	lcl|NZ_AHPX01000053.1_cds_WP_000279894.1_3256	27.068	133	310
WP_004434524.1	lcl|NZ_AHPX01000088.1_cds_WP_000501205.1_2404	36.964	303	310
WP_004434524.1	lcl|NZ_AHPX01000062.1_cds_WP_001183723.1_2892	28.571	273	310
WP_004434524.1	lcl|NZ_AHPX01000053.1_cds_WP_000279894.1_3256	27.068	133	310
WP_004434893.1	lcl|NZ_AHPX01000016.1_cds_WP_000739277.1_3695	43.750	48	144
WP_004434893.1	lcl|NZ_AHPX01000284.1_cds_WP_002069656.1_271	41.071	56	144
WP_004421361.1	lcl|NZ_AHPX01000139.1_cds_WP_001082178.1_1780	29.487	78	221
WP_004421361.1	lcl|NZ_AHPX01000059.1_cds_WP_001069832.1_3014	28.440	109	221
WP_004421361.1	lcl|NZ_AHPX01000291.1_cds_WP_000862006.1_113	26.667	90	221
WP_004434567.1	lcl|NZ_AHPX01000069.1_cds_WP_000840860.1_2704	30.037	273	318
WP_004434567.1	lcl|NZ_AHPX01000070.1_cds_WP_000868621.1_2656	30.047	213	318
WP_004434567.1	lcl|NZ_AHPX01000053.1_cds_WP_000728674.1_3230	26.778	239	318
WP_004434567.1	lcl|NZ_AHPX01000049.1_cds_WP_000282884.1_3429	33.333	93	318
WP_004434810.1	lcl|NZ_AHPX01000055.1_cds_WP_000402846.1_3175	25.773	97	242
WP_004434810.1	lcl|NZ_AHPX01000059.1_cds_WP_000347683.1_3013	25.157	159	242
