WP_004421256.1	lcl|NZ_AHQF01000076.1_cds_WP_000340713.1_3070	94.186	86	106
WP_004421326.1	lcl|NZ_AHQF01000076.1_cds_WP_000412665.1_3069	98.071	311	314
WP_004421326.1	lcl|NZ_AHQF01000076.1_cds_WP_000699347.1_3065	23.871	310	314
WP_004421326.1	lcl|NZ_AHQF01000163.1_cds_WP_000744700.1_1660	25.926	324	314
WP_004421326.1	lcl|NZ_AHQF01000076.1_cds_WP_000723077.1_3056	21.300	277	314
WP_004421326.1	lcl|NZ_AHQF01000157.1_cds_WP_000723094.1_1777	23.264	288	314
WP_004421442.1	lcl|NZ_AHQF01000186.1_cds_WP_000351733.1_1254	39.286	140	185
WP_004421375.1	lcl|NZ_AHQF01000163.1_cds_WP_000744700.1_1660	32.381	315	329
WP_004421375.1	lcl|NZ_AHQF01000076.1_cds_WP_000699347.1_3065	30.086	349	329
WP_004421375.1	lcl|NZ_AHQF01000157.1_cds_WP_000723094.1_1777	30.746	335	329
WP_004421375.1	lcl|NZ_AHQF01000076.1_cds_WP_000723077.1_3056	31.788	302	329
WP_004421375.1	lcl|NZ_AHQF01000108.1_cds_WP_001984071.1_2267	31.935	310	329
WP_004421375.1	lcl|NZ_AHQF01000081.1_cds_WP_000649923.1_2893	30.031	323	329
WP_004421375.1	lcl|NZ_AHQF01000319.1_cds_WP_000709511.1_35	28.788	330	329
WP_004421375.1	lcl|NZ_AHQF01000310.1_cds_WP_000688695.1_96	29.091	275	329
WP_004421375.1	lcl|NZ_AHQF01000076.1_cds_WP_000412665.1_3069	25.157	318	329
WP_004421375.1	lcl|NZ_AHQF01000076.1_cds_WP_000377753.1_3023	24.432	352	329
WP_004421375.1	lcl|NZ_AHQF01000104.1_cds_WP_001074783.1_2391	27.925	265	329
WP_004421375.1	lcl|NZ_AHQF01000175.1_cds_WP_001003558.1_1430	24.251	334	329
WP_004421375.1	lcl|NZ_AHQF01000076.1_cds_WP_000048849.1_3046	23.361	244	329
WP_004421408.1	lcl|NZ_AHQF01000076.1_cds_WP_000432841.1_3051	30.472	233	267
WP_004421408.1	lcl|NZ_AHQF01000157.1_cds_WP_000842260.1_1778	26.842	190	267
WP_004421408.1	lcl|NZ_AHQF01000083.1_cds_WP_000667727.1_2749	33.636	110	267
WP_004421408.1	lcl|NZ_AHQF01000076.1_cds_WP_000869621.1_3024	21.912	251	267
WP_004421408.1	lcl|NZ_AHQF01000067.1_cds_WP_000805359.1_3346	34.314	102	267
WP_004420971.1	lcl|NZ_AHQF01000104.1_cds_WP_000291586.1_2463	27.077	325	510
WP_004420971.1	lcl|NZ_AHQF01000104.1_cds_WP_000364507.1_2462	31.111	90	510
WP_004420971.1	lcl|NZ_AHQF01000104.1_cds_WP_000291586.1_2463	27.077	325	510
WP_004420971.1	lcl|NZ_AHQF01000104.1_cds_WP_000364507.1_2462	31.111	90	510
WP_004421253.1	lcl|NZ_AHQF01000108.1_cds_WP_001984071.1_2267	26.199	271	330
