WP_004421256.1	lcl|NZ_RQGD01000023.1_cds_WP_135623430.1_374	56.410	78	106
WP_004421326.1	lcl|NZ_RQGD01000046.1_cds_WP_135625458.1_1894	81.290	310	314
WP_004421326.1	lcl|NZ_RQGD01000022.1_cds_WP_135623212.1_2184	23.529	323	314
WP_004421326.1	lcl|NZ_RQGD01000023.1_cds_WP_210412795.1_373	24.476	286	314
WP_004421326.1	lcl|NZ_RQGD01000014.1_cds_WP_135622782.1_2970	24.118	170	314
WP_004421326.1	lcl|NZ_RQGD01000014.1_cds_WP_210412779.1_2959	24.638	138	314
WP_243829361.1	lcl|NZ_RQGD01000023.1_cds_WP_135623417.1_359	60.274	365	365
WP_004421442.1	lcl|NZ_RQGD01000023.1_cds_WP_135623434.1_380	33.129	163	185
WP_004421442.1	lcl|NZ_RQGD01000035.1_cds_WP_135624491.1_2491	36.054	147	185
WP_004421375.1	lcl|NZ_RQGD01000022.1_cds_WP_135623212.1_2184	31.861	317	329
WP_004421375.1	lcl|NZ_RQGD01000022.1_cds_WP_135623094.1_2056	29.582	311	329
WP_004421375.1	lcl|NZ_RQGD01000014.1_cds_WP_135622782.1_2970	29.191	346	329
WP_004421375.1	lcl|NZ_RQGD01000023.1_cds_WP_210412795.1_373	29.552	335	329
WP_004421375.1	lcl|NZ_RQGD01000022.1_cds_WP_135623235.1_2210	30.519	308	329
WP_004421375.1	lcl|NZ_RQGD01000046.1_cds_WP_135625074.1_1617	26.708	322	329
WP_004421375.1	lcl|NZ_RQGD01000023.1_cds_WP_135623450.1_396	30.534	262	329
WP_004421375.1	lcl|NZ_RQGD01000035.1_cds_WP_135624324.1_2315	25.466	322	329
WP_004421375.1	lcl|NZ_RQGD01000046.1_cds_WP_135625458.1_1894	24.367	316	329
WP_004421375.1	lcl|NZ_RQGD01000035.1_cds_WP_135624331.1_2322	27.240	279	329
WP_004421375.1	lcl|NZ_RQGD01000035.1_cds_WP_135624345.1_2337	24.809	262	329
WP_004421375.1	lcl|NZ_RQGD01000034.1_cds_WP_135624177.1_1262	28.966	290	329
WP_004421375.1	lcl|NZ_RQGD01000035.1_cds_WP_246047356.1_2311	24.709	344	329
WP_004421375.1	lcl|NZ_RQGD01000014.1_cds_WP_210412779.1_2959	25.974	231	329
WP_004421408.1	lcl|NZ_RQGD01000035.1_cds_WP_135624400.1_2397	24.436	266	267
WP_004421408.1	lcl|NZ_RQGD01000023.1_cds_WP_135623432.1_377	26.486	185	267
WP_004421408.1	lcl|NZ_RQGD01000023.1_cds_WP_135623426.1_369	24.599	187	267
