WP_004421256.1	lcl|NZ_JQPC01000060.1_cds_WP_000340715.1_3094	98.837	86	106
WP_004421326.1	lcl|NZ_JQPC01000060.1_cds_WP_000410268.1_3095	94.839	310	314
WP_004421326.1	lcl|NZ_JQPC01000032.1_cds_WP_000744695.1_1657	25.926	324	314
WP_004421326.1	lcl|NZ_JQPC01000060.1_cds_WP_000723079.1_3148	22.662	278	314
WP_004421326.1	lcl|NZ_JQPC01000060.1_cds_WP_000723082.1_3170	22.917	288	314
WP_004421326.1	lcl|NZ_JQPC01000060.1_cds_WP_000567886.1_3150	23.478	230	314
WP_004421442.1	lcl|NZ_JQPC01000063.1_cds_WP_000351733.1_3479	39.286	140	185
WP_004421442.1	lcl|NZ_JQPC01000060.1_cds_WP_001047906.1_3128	34.463	177	185
WP_004421375.1	lcl|NZ_JQPC01000032.1_cds_WP_000744695.1_1657	32.381	315	329
WP_004421375.1	lcl|NZ_JQPC01000060.1_cds_WP_000723079.1_3148	30.841	321	329
WP_004421375.1	lcl|NZ_JQPC01000060.1_cds_WP_000723082.1_3170	30.448	335	329
WP_004421375.1	lcl|NZ_JQPC01000037.1_cds_WP_002123515.1_2043	31.935	310	329
WP_004421375.1	lcl|NZ_JQPC01000032.1_cds_WP_000649924.1_1495	30.031	323	329
WP_004421375.1	lcl|NZ_JQPC01000060.1_cds_WP_000567886.1_3150	29.180	305	329
WP_004421375.1	lcl|NZ_JQPC01000037.1_cds_WP_000709511.1_2033	28.788	330	329
WP_004421375.1	lcl|NZ_JQPC01000037.1_cds_WP_000688698.1_2063	29.348	276	329
WP_004421375.1	lcl|NZ_JQPC01000060.1_cds_WP_000410268.1_3095	25.786	318	329
WP_004421375.1	lcl|NZ_JQPC01000060.1_cds_WP_000475907.1_3153	27.917	240	329
WP_004421375.1	lcl|NZ_JQPC01000003.1_cds_WP_001074779.1_81	27.925	265	329
WP_004421375.1	lcl|NZ_JQPC01000033.1_cds_WP_001003560.1_1787	23.964	338	329
WP_004421408.1	lcl|NZ_JQPC01000060.1_cds_WP_002108504.1_3149	26.016	246	267
WP_004421408.1	lcl|NZ_JQPC01000060.1_cds_WP_000842260.1_3171	26.842	190	267
WP_004421408.1	lcl|NZ_JQPC01000038.1_cds_WP_000667727.1_2087	33.636	110	267
WP_004421408.1	lcl|NZ_JQPC01000027.1_cds_WP_000805357.1_1273	33.333	102	267
WP_004420971.1	lcl|NZ_JQPC01000006.1_cds_WP_000291581.1_154	27.077	325	510
