WP_004421256.1	lcl|NZ_SORO01000001.1_cds_WP_035983633.1_122	60.256	78	106
WP_004421326.1	lcl|NZ_SORO01000001.1_cds_WP_004783745.1_125	80.645	310	314
WP_004421326.1	lcl|NZ_SORO01000001.1_cds_WP_004785219.1_2402	27.445	317	314
WP_004421326.1	lcl|NZ_SORO01000001.1_cds_WP_004786772.1_2429	24.528	318	314
WP_004421326.1	lcl|NZ_SORO01000001.1_cds_WP_004783859.1_124	22.353	255	314
WP_004421326.1	lcl|NZ_SORO01000002.1_cds_WP_004788049.1_3036	22.872	188	314
WP_004421442.1	lcl|NZ_SORO01000001.1_cds_WP_004788859.1_573	35.484	124	185
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004786772.1_2429	30.573	314	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004783859.1_124	27.778	342	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_020776625.1_1830	30.769	312	329
WP_004421375.1	lcl|NZ_SORO01000002.1_cds_WP_004788049.1_3036	28.152	341	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004787140.1_2016	26.646	319	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004785219.1_2402	28.481	316	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004785041.1_2081	30.350	257	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004783745.1_125	25.157	318	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004783890.1_178	26.296	270	329
WP_004421375.1	lcl|NZ_SORO01000002.1_cds_WP_208325413.1_3047	24.026	308	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004783983.1_126	25.410	244	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004785143.1_2758	25.414	181	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_004786178.1_2073	23.420	269	329
WP_004421375.1	lcl|NZ_SORO01000001.1_cds_WP_040917166.1_2482	27.219	169	329
WP_004421408.1	lcl|NZ_SORO01000001.1_cds_WP_020777677.1_239	24.436	266	267
WP_004421408.1	lcl|NZ_SORO01000001.1_cds_WP_004784495.1_2109	35.652	115	267
WP_004421408.1	lcl|NZ_SORO01000001.1_cds_WP_081581548.1_1942	27.485	171	267
WP_004421408.1	lcl|NZ_SORO01000001.1_cds_WP_004783685.1_123	25.397	189	267
WP_004421408.1	lcl|NZ_SORO01000002.1_cds_WP_004787917.1_3035	27.835	194	267
WP_004420971.1	lcl|NZ_SORO01000001.1_cds_WP_004788872.1_551	24.390	328	510
WP_004420971.1	lcl|NZ_SORO01000001.1_cds_WP_004788552.1_550	27.358	106	510
WP_004420971.1	lcl|NZ_SORO01000001.1_cds_WP_004788872.1_551	24.390	328	510
WP_004420971.1	lcl|NZ_SORO01000001.1_cds_WP_004788552.1_550	27.358	106	510
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_020776625.1_1830	24.820	278	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004786772.1_2429	28.832	274	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004785041.1_2081	29.915	234	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004785219.1_2402	26.126	333	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004783859.1_124	26.174	298	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004786178.1_2073	25.581	258	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004783983.1_126	31.250	128	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004785143.1_2758	31.319	182	330
WP_004421253.1	lcl|NZ_SORO01000002.1_cds_WP_004788049.1_3036	23.432	303	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_040917166.1_2482	26.087	207	330
WP_004421253.1	lcl|NZ_SORO01000001.1_cds_WP_004787140.1_2016	28.000	150	330
WP_004434729.1	lcl|NZ_SORO01000001.1_cds_WP_004785686.1_1561	37.891	256	265
WP_004434729.1	lcl|NZ_SORO01000004.1_cds_WP_004786843.1_3718	25.882	170	265
