WP_004421256.1	lcl|NZ_RQEX01000018.1_cds_WP_040913380.1_1761	94.186	86	106
WP_004421326.1	lcl|NZ_RQEX01000018.1_cds_WP_135582571.1_1762	90.968	310	314
WP_004421326.1	lcl|NZ_RQEX01000018.1_cds_WP_135582583.1_1775	24.028	283	314
WP_004421326.1	lcl|NZ_RQEX01000005.1_cds_WP_118954467.1_767	23.853	327	314
WP_004421326.1	lcl|NZ_RQEX01000018.1_cds_WP_135582610.1_1825	23.158	285	314
WP_004421326.1	lcl|NZ_RQEX01000015.1_cds_WP_118957901.1_3213	22.941	170	314
WP_004421326.1	lcl|NZ_RQEX01000005.1_cds_WP_135581677.1_1063	22.028	286	314
WP_004421442.1	lcl|NZ_RQEX01000018.1_cds_WP_135570167.1_2072	37.671	146	185
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_135582610.1_1825	32.239	335	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_118954467.1_767	31.111	315	329
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_135582583.1_1775	31.773	299	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_135581677.1_1063	30.000	310	329
WP_004421375.1	lcl|NZ_RQEX01000015.1_cds_WP_118957901.1_3213	27.273	341	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_118954096.1_1175	29.503	322	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_135581617.1_922	30.650	323	329
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_135582592.1_1802	23.922	255	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_135581259.1_406	26.979	341	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_118964479.1_567	28.395	243	329
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_135582571.1_1762	27.239	268	329
WP_004421375.1	lcl|NZ_RQEX01000017.1_cds_WP_135582321.1_2611	26.336	262	329
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_118957343.1_1809	26.667	240	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_135581479.1_675	25.649	308	329
WP_004421375.1	lcl|NZ_RQEX01000010.1_cds_WP_118957095.1_2867	24.627	268	329
WP_004421375.1	lcl|NZ_RQEX01000005.1_cds_WP_118964890.1_1226	30.952	126	329
WP_004421375.1	lcl|NZ_RQEX01000018.1_cds_WP_118957365.1_1786	22.314	242	329
