WP_004421256.1	lcl|NZ_JADDVE010000005.1_cds_WP_002725873.1_2799	90.698	86	106
WP_004421326.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733579.1_2798	91.401	314	314
WP_004421326.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733534.1_2795	25.746	268	314
WP_004421326.1	lcl|NZ_JADDVE010000018.1_cds_WP_002722638.1_706	23.385	325	314
WP_004421326.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740024.1_2704	24.138	290	314
WP_004421326.1	lcl|NZ_JADDVE010000014.1_cds_WP_002743770.1_451	22.941	170	314
WP_004421326.1	lcl|NZ_JADDVE010000006.1_cds_IQA72_RS03900_3053	25.311	241	314
WP_004421326.1	lcl|NZ_JADDVE010000005.1_cds_WP_016749081.1_2766	25.658	152	314
WP_243829361.1	lcl|NZ_JADDVE010000005.1_cds_WP_026054882.1_2797	87.397	365	365
WP_004421442.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733646.1_2796	95.135	185	185
WP_004421442.1	lcl|NZ_JADDVE010000003.1_cds_WP_002721790.1_2088	35.616	146	185
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733534.1_2795	96.353	329	329
WP_004421375.1	lcl|NZ_JADDVE010000018.1_cds_WP_002722638.1_706	30.159	315	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740024.1_2704	30.746	335	329
WP_004421375.1	lcl|NZ_JADDVE010000006.1_cds_IQA72_RS03900_3053	30.519	308	329
WP_004421375.1	lcl|NZ_JADDVE010000006.1_cds_WP_002728316.1_3050	28.485	330	329
WP_004421375.1	lcl|NZ_JADDVE010000014.1_cds_WP_002743770.1_451	26.686	341	329
WP_004421375.1	lcl|NZ_JADDVE010000076.1_cds_WP_002741146.1_3109	29.467	319	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733638.1_2758	27.826	345	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733546.1_2729	26.296	270	329
WP_004421375.1	lcl|NZ_JADDVE010000007.1_cds_WP_002732331.1_3216	26.549	339	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_IQA72_RS03310_2792	28.990	307	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733579.1_2798	27.309	249	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002744551.1_2764	29.520	271	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733698.1_2721	27.007	274	329
WP_004421375.1	lcl|NZ_JADDVE010000059.1_cds_WP_002740236.1_2682	27.170	265	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_016749081.1_2766	23.344	317	329
WP_004421375.1	lcl|NZ_JADDVE010000004.1_cds_WP_002739935.1_2471	29.412	170	329
WP_004421375.1	lcl|NZ_JADDVE010000004.1_cds_WP_002721725.1_2384	24.702	336	329
WP_004421375.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733757.1_2731	31.034	174	329
WP_004421408.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733627.1_2794	94.007	267	267
WP_004421408.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740926.1_2753	26.178	191	267
WP_004421408.1	lcl|NZ_JADDVE010000005.1_cds_WP_002738295.1_2732	25.481	208	267
WP_004421408.1	lcl|NZ_JADDVE010000005.1_cds_WP_002727921.1_2703	26.984	189	267
WP_004421408.1	lcl|NZ_JADDVE010000024.1_cds_WP_002729040.1_1199	32.727	110	267
WP_004421408.1	lcl|NZ_JADDVE010000002.1_cds_WP_002766579.1_1573	37.209	86	267
WP_004421408.1	lcl|NZ_JADDVE010000014.1_cds_IQA72_RS07435_452	24.868	189	267
WP_004420971.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740779.1_2793	95.686	510	510
WP_004420971.1	lcl|NZ_JADDVE010000010.1_cds_WP_002728536.1_72	27.134	328	510
WP_004420971.1	lcl|NZ_JADDVE010000010.1_cds_WP_002728534.1_71	31.111	90	510
WP_004420971.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740779.1_2793	95.686	510	510
WP_004420971.1	lcl|NZ_JADDVE010000010.1_cds_WP_002728536.1_72	27.134	328	510
WP_004420971.1	lcl|NZ_JADDVE010000010.1_cds_WP_002728534.1_71	31.111	90	510
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_IQA72_RS03310_2792	95.455	330	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_002744551.1_2764	27.491	291	330
WP_004421253.1	lcl|NZ_JADDVE010000006.1_cds_IQA72_RS03900_3053	26.937	271	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733534.1_2795	28.990	307	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_002740024.1_2704	26.582	316	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_016749081.1_2766	29.412	221	330
WP_004421253.1	lcl|NZ_JADDVE010000018.1_cds_WP_002722638.1_706	28.520	277	330
WP_004421253.1	lcl|NZ_JADDVE010000004.1_cds_WP_002721725.1_2384	25.403	248	330
WP_004421253.1	lcl|NZ_JADDVE010000076.1_cds_WP_002741146.1_3109	28.920	287	330
WP_004421253.1	lcl|NZ_JADDVE010000007.1_cds_WP_002732331.1_3216	26.407	231	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733546.1_2729	24.723	271	330
WP_004421253.1	lcl|NZ_JADDVE010000005.1_cds_WP_002733638.1_2758	24.653	288	330
WP_004421253.1	lcl|NZ_JADDVE010000014.1_cds_WP_002743770.1_451	24.648	142	330
WP_004421253.1	lcl|NZ_JADDVE010000059.1_cds_WP_002740236.1_2682	25.620	242	330
WP_004421253.1	lcl|NZ_JADDVE010000037.1_cds_WP_002739707.1_1873	26.562	128	330
WP_004421253.1	lcl|NZ_JADDVE010000006.1_cds_WP_002728316.1_3050	28.000	150	330
