WP_017214669.1	lcl|NZ_JASEXK010000008.1_cds_WP_004462903.1_1762	94.186	86	106
WP_017214670.1	lcl|NZ_JASEXK010000008.1_cds_WP_061205762.1_1763	92.038	314	314
WP_017214670.1	lcl|NZ_JASEXK010000001.1_cds_WP_004471108.1_171	25.545	321	314
WP_017214670.1	lcl|NZ_JASEXK010000008.1_cds_WP_282962390.1_1784	22.022	277	314
WP_017214670.1	lcl|NZ_JASEXK010000008.1_cds_WP_004465060.1_1844	24.199	281	314
WP_017214670.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_737	24.519	208	314
WP_017214670.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_614	24.519	208	314
WP_017214672.1	lcl|NZ_JASEXK010000005.1_cds_WP_004460143.1_1435	36.301	146	185
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_004462894.1_1767	31.548	336	329
WP_017214673.1	lcl|NZ_JASEXK010000001.1_cds_WP_004471108.1_171	30.159	315	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_282962390.1_1784	31.438	299	329
WP_017214673.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_737	31.833	311	329
WP_017214673.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_614	31.833	311	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_004465060.1_1844	30.240	334	329
WP_017214673.1	lcl|NZ_JASEXK010000001.1_cds_WP_004472946.1_55	30.650	323	329
WP_017214673.1	lcl|NZ_JASEXK010000002.1_cds_WP_004467290.1_734	27.950	322	329
WP_017214673.1	lcl|NZ_JASEXK010000002.1_cds_WP_004467290.1_617	27.950	322	329
WP_017214673.1	lcl|NZ_JASEXK010000021.1_cds_WP_004466638.1_2932	27.419	310	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_061205836.1_1818	24.497	298	329
WP_017214673.1	lcl|NZ_JASEXK010000001.1_cds_WP_282962081.1_414	26.393	341	329
WP_017214673.1	lcl|NZ_JASEXK010000027.1_cds_WP_282962781.1_3199	27.985	268	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_061205762.1_1763	25.843	267	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_004479697.1_1826	27.917	240	329
WP_017214673.1	lcl|NZ_JASEXK010000001.1_cds_WP_004467130.1_359	27.875	287	329
WP_017214673.1	lcl|NZ_JASEXK010000001.1_cds_WP_282962048.1_265	23.636	330	329
WP_017214673.1	lcl|NZ_JASEXK010000008.1_cds_WP_282962404.1_1816	30.460	174	329
WP_017214674.1	lcl|NZ_JASEXK010000008.1_cds_WP_004462133.1_1789	25.773	194	267
WP_017214674.1	lcl|NZ_JASEXK010000008.1_cds_WP_004477718.1_1815	26.316	209	267
WP_017214674.1	lcl|NZ_JASEXK010000013.1_cds_WP_282962572.1_2377	35.455	110	267
WP_017214674.1	lcl|NZ_JASEXK010000008.1_cds_WP_282962416.1_1845	26.842	190	267
WP_017214674.1	lcl|NZ_JASEXK010000002.1_cds_WP_016754360.1_767	37.931	87	267
WP_017214674.1	lcl|NZ_JASEXK010000002.1_cds_WP_016754360.1_584	37.931	87	267
WP_017214674.1	lcl|NZ_JASEXK010000021.1_cds_WP_004466593.1_2931	25.389	193	267
WP_017214675.1	lcl|NZ_JASEXK010000014.1_cds_WP_004463881.1_2449	26.300	327	510
WP_017214675.1	lcl|NZ_JASEXK010000014.1_cds_WP_004460640.1_2450	32.609	92	510
WP_017214675.1	lcl|NZ_JASEXK010000014.1_cds_WP_004463881.1_2449	26.300	327	510
WP_017214675.1	lcl|NZ_JASEXK010000014.1_cds_WP_004460640.1_2450	32.609	92	510
WP_017214676.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_737	26.374	273	330
WP_017214676.1	lcl|NZ_JASEXK010000002.1_cds_WP_004461234.1_614	26.374	273	330
WP_017214676.1	lcl|NZ_JASEXK010000001.1_cds_WP_004471108.1_171	28.623	276	330
WP_017214676.1	lcl|NZ_JASEXK010000008.1_cds_WP_282962390.1_1784	24.907	269	330
WP_017214676.1	lcl|NZ_JASEXK010000008.1_cds_WP_004465060.1_1844	26.647	334	330
