WP_017214669.1	lcl|NZ_JADDVY010000006.1_cds_WP_002725873.1_2941	90.698	86	106
WP_017214670.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733579.1_2942	92.038	314	314
WP_017214670.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733534.1_2945	25.746	268	314
WP_017214670.1	lcl|NZ_JADDVY010000018.1_cds_WP_002722638.1_639	23.765	324	314
WP_017214670.1	lcl|NZ_JADDVY010000006.1_cds_WP_002740024.1_3036	24.138	290	314
WP_017214670.1	lcl|NZ_JADDVY010000006.1_cds_WP_016749081.1_2974	27.815	151	314
WP_017214670.1	lcl|NZ_JADDVY010000007.1_cds_WP_002728309.1_3198	25.311	241	314
WP_017214670.1	lcl|NZ_JADDVY010000013.1_cds_WP_002743770.1_338	22.353	170	314
WP_017214671.1	lcl|NZ_JADDVY010000006.1_cds_WP_026054882.1_2943	87.945	365	365
WP_017214672.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733646.1_2944	96.216	185	185
WP_017214672.1	lcl|NZ_JADDVY010000003.1_cds_WP_002721790.1_1931	36.986	146	185
WP_017214673.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733534.1_2945	94.225	329	329
WP_017214673.1	lcl|NZ_JADDVY010000018.1_cds_WP_002722638.1_639	30.476	315	329
WP_017214673.1	lcl|NZ_JADDVY010000006.1_cds_WP_002740024.1_3036	30.539	334	329
WP_017214673.1	lcl|NZ_JADDVY010000007.1_cds_WP_002728309.1_3198	29.904	311	329
WP_017214673.1	lcl|NZ_JADDVY010000013.1_cds_WP_002743770.1_338	27.859	341	329
WP_017214673.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733638.1_2982	28.000	350	329
WP_017214673.1	lcl|NZ_JADDVY010000074.1_cds_WP_002741146.1_3070	29.781	319	329
WP_017214673.1	lcl|NZ_JADDVY010000007.1_cds_WP_002728316.1_3195	27.576	330	329
WP_017214673.1	lcl|NZ_JADDVY010000006.1_cds_WP_002733546.1_3011	23.129	294	329
