WP_017214669.1	lcl|NZ_RQGK01000015.1_cds_WP_135573185.1_2424	94.186	86	106
WP_017214670.1	lcl|NZ_RQGK01000015.1_cds_WP_135750114.1_2449	60.577	312	314
WP_017214670.1	lcl|NZ_RQGK01000029.1_cds_WP_118954467.1_2602	24.000	325	314
WP_017214670.1	lcl|NZ_RQGK01000003.1_cds_WP_135572641.1_2685	26.994	326	314
WP_017214670.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	23.345	287	314
WP_017214670.1	lcl|NZ_RQGK01000072.1_cds_WP_118957901.1_13	23.529	170	314
WP_017214672.1	lcl|NZ_RQGK01000042.1_cds_WP_135570167.1_1613	39.041	146	185
WP_017214673.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	32.335	334	329
WP_017214673.1	lcl|NZ_RQGK01000029.1_cds_WP_118954467.1_2602	31.429	315	329
WP_017214673.1	lcl|NZ_RQGK01000072.1_cds_WP_118957901.1_13	28.152	341	329
WP_017214673.1	lcl|NZ_RQGK01000003.1_cds_WP_135572641.1_2685	30.960	323	329
WP_017214673.1	lcl|NZ_RQGK01000074.1_cds_WP_118954096.1_3735	28.571	322	329
WP_017214673.1	lcl|NZ_RQGK01000036.1_cds_WP_135571314.1_3113	27.426	237	329
WP_017214673.1	lcl|NZ_RQGK01000027.1_cds_WP_135574219.1_656	26.686	341	329
WP_017214673.1	lcl|NZ_RQGK01000015.1_cds_WP_135750114.1_2449	25.949	316	329
WP_017214673.1	lcl|NZ_RQGK01000023.1_cds_WP_135571634.1_1553	27.984	243	329
WP_017214673.1	lcl|NZ_RQGK01000060.1_cds_WP_135572425.1_3356	35.398	113	329
WP_017214673.1	lcl|NZ_RQGK01000054.1_cds_WP_135573672.1_1372	26.718	262	329
WP_017214673.1	lcl|NZ_RQGK01000028.1_cds_WP_135572989.1_2335	26.220	328	329
WP_017214673.1	lcl|NZ_RQGK01000058.1_cds_WP_135570412.1_258	24.254	268	329
WP_017214673.1	lcl|NZ_RQGK01000071.1_cds_WP_135571063.1_2705	29.457	129	329
WP_017214673.1	lcl|NZ_RQGK01000019.1_cds_WP_135571478.1_2887	24.793	121	329
WP_017214674.1	lcl|NZ_RQGK01000019.1_cds_WP_135571464.1_2894	26.316	190	267
WP_017214674.1	lcl|NZ_RQGK01000007.1_cds_WP_135573916.1_1801	38.636	88	267
WP_017214674.1	lcl|NZ_RQGK01000027.1_cds_WP_135574095.1_572	32.353	102	267
WP_017214674.1	lcl|NZ_RQGK01000072.1_cds_WP_135571791.1_12	24.631	203	267
WP_017214675.1	lcl|NZ_RQGK01000070.1_cds_WP_135570038.1_3489	26.036	338	510
WP_017214675.1	lcl|NZ_RQGK01000070.1_cds_WP_135570040.1_3490	32.222	90	510
WP_017214675.1	lcl|NZ_RQGK01000070.1_cds_WP_135570038.1_3489	26.036	338	510
WP_017214675.1	lcl|NZ_RQGK01000070.1_cds_WP_135570040.1_3490	32.222	90	510
WP_017214676.1	lcl|NZ_RQGK01000029.1_cds_WP_118954467.1_2602	28.986	276	330
WP_017214676.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	26.852	324	330
WP_017214676.1	lcl|NZ_RQGK01000028.1_cds_WP_135572989.1_2335	28.340	247	330
WP_017214676.1	lcl|NZ_RQGK01000023.1_cds_WP_135571634.1_1553	27.848	237	330
WP_017214676.1	lcl|NZ_RQGK01000027.1_cds_WP_135574219.1_656	28.821	229	330
WP_017214676.1	lcl|NZ_RQGK01000015.1_cds_WP_135573493.1_2426	29.134	127	330
WP_017214676.1	lcl|NZ_RQGK01000036.1_cds_WP_135571314.1_3113	26.263	198	330
WP_017214676.1	lcl|NZ_RQGK01000003.1_cds_WP_135572641.1_2685	28.322	286	330
WP_017214676.1	lcl|NZ_RQGK01000060.1_cds_WP_135572425.1_3356	33.019	106	330
WP_017214676.1	lcl|NZ_RQGK01000072.1_cds_WP_118957901.1_13	24.540	163	330
WP_017214676.1	lcl|NZ_RQGK01000054.1_cds_WP_135573672.1_1372	27.309	249	330
WP_017214678.1	lcl|NZ_RQGK01000072.1_cds_WP_135571935.1_109	41.152	243	264
WP_020981179.1	lcl|NZ_RQGK01000011.1_cds_WP_135574902.1_1974	37.075	294	310
WP_020981179.1	lcl|NZ_RQGK01000065.1_cds_WP_135573406.1_1101	24.516	310	310
WP_020981179.1	lcl|NZ_RQGK01000042.1_cds_WP_135570244.1_1664	26.244	221	310
WP_020981179.1	lcl|NZ_RQGK01000011.1_cds_WP_135574902.1_1974	37.075	294	310
WP_020981179.1	lcl|NZ_RQGK01000065.1_cds_WP_135573406.1_1101	24.516	310	310
WP_020981179.1	lcl|NZ_RQGK01000042.1_cds_WP_135570244.1_1664	26.244	221	310
WP_017214683.1	lcl|NZ_RQGK01000033.1_cds_WP_118955411.1_3507	41.071	56	144
WP_017214684.1	lcl|NZ_RQGK01000077.1_cds_WP_135572809.1_3767	27.632	76	221
WP_017214684.1	lcl|NZ_RQGK01000072.1_cds_WP_135571844.1_46	26.582	158	221
WP_017214685.1	lcl|NZ_RQGK01000027.1_cds_WP_135574095.1_572	35.849	53	260
WP_017214685.1	lcl|NZ_RQGK01000019.1_cds_WP_135571464.1_2894	20.388	206	260
WP_017214685.1	lcl|NZ_RQGK01000010.1_cds_WP_135574647.1_798	28.387	155	260
WP_017214686.1	lcl|NZ_RQGK01000019.1_cds_WP_135571467.1_2893	28.115	313	374
