WP_017214669.1	lcl|NZ_AHMO02000004.1_cds_WP_010569342.1_3562	63.529	85	106
WP_017214670.1	lcl|NZ_AHMO02000004.1_cds_WP_010569365.1_3584	61.935	310	314
WP_017214670.1	lcl|NZ_AHMO02000008.1_cds_WP_040911307.1_1792	25.076	327	314
WP_017214670.1	lcl|NZ_AHMO02000008.1_cds_WP_010571486.1_1934	23.242	327	314
WP_017214670.1	lcl|NZ_AHMO02000004.1_cds_WP_010569370.1_3589	22.456	285	314
WP_017214672.1	lcl|NZ_AHMO02000011.1_cds_WP_010569898.1_264	35.000	140	185
WP_017214673.1	lcl|NZ_AHMO02000008.1_cds_WP_010571486.1_1934	32.278	316	329
WP_017214673.1	lcl|NZ_AHMO02000008.1_cds_WP_040911307.1_1792	32.381	315	329
WP_017214673.1	lcl|NZ_AHMO02000008.1_cds_WP_010571222.1_1667	30.818	318	329
WP_017214673.1	lcl|NZ_AHMO02000004.1_cds_WP_010569370.1_3589	28.205	351	329
WP_017214673.1	lcl|NZ_AHMO02000008.1_cds_WP_010571101.1_1541	30.041	243	329
WP_017214673.1	lcl|NZ_AHMO02000008.1_cds_WP_010571156.1_1595	25.826	333	329
WP_017214673.1	lcl|NZ_AHMO02000011.1_cds_WP_010570062.1_429	27.686	242	329
WP_017214673.1	lcl|NZ_AHMO02000004.1_cds_WP_010569578.1_3814	26.070	257	329
WP_017214673.1	lcl|NZ_AHMO02000004.1_cds_WP_010569365.1_3584	24.723	271	329
WP_017214673.1	lcl|NZ_AHMO02000004.1_cds_WP_010569170.1_3392	28.902	173	329
WP_017214673.1	lcl|NZ_AHMO02000007.1_cds_WP_040911087.1_2969	23.784	185	329
WP_017214673.1	lcl|NZ_AHMO02000004.1_cds_WP_232225635.1_3598	24.138	232	329
WP_017214674.1	lcl|NZ_AHMO02000004.1_cds_WP_010569371.1_3590	24.194	186	267
WP_017214674.1	lcl|NZ_AHMO02000008.1_cds_WP_010571098.1_1538	25.506	247	267
WP_017214674.1	lcl|NZ_AHMO02000008.1_cds_WP_010570925.1_1369	29.762	84	267
WP_017214675.1	lcl|NZ_AHMO02000011.1_cds_WP_020987974.1_82	28.349	321	510
WP_017214675.1	lcl|NZ_AHMO02000011.1_cds_WP_020987974.1_82	28.349	321	510
WP_017214676.1	lcl|NZ_AHMO02000008.1_cds_WP_010571222.1_1667	25.368	272	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_010569370.1_3589	24.355	349	330
WP_017214676.1	lcl|NZ_AHMO02000008.1_cds_WP_010571486.1_1934	25.899	278	330
WP_017214676.1	lcl|NZ_AHMO02000008.1_cds_WP_040911307.1_1792	29.889	271	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_010569170.1_3392	23.420	269	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_232225635.1_3598	27.753	227	330
WP_017214676.1	lcl|NZ_AHMO02000011.1_cds_WP_010570062.1_429	24.342	304	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_010569172.1_3394	24.815	270	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_010569344.1_3564	26.190	126	330
WP_017214676.1	lcl|NZ_AHMO02000004.1_cds_WP_010569578.1_3814	33.333	132	330
WP_017214678.1	lcl|NZ_AHMO02000008.1_cds_WP_010572031.1_2483	41.797	256	264
WP_020981179.1	lcl|NZ_AHMO02000004.1_cds_WP_010569429.1_3651	35.017	297	310
WP_020981179.1	lcl|NZ_AHMO02000004.1_cds_WP_010569253.1_3469	28.065	310	310
WP_020981179.1	lcl|NZ_AHMO02000011.1_cds_WP_010569939.1_305	22.624	221	310
WP_020981179.1	lcl|NZ_AHMO02000004.1_cds_WP_010569429.1_3651	35.017	297	310
WP_020981179.1	lcl|NZ_AHMO02000004.1_cds_WP_010569253.1_3469	28.065	310	310
WP_020981179.1	lcl|NZ_AHMO02000011.1_cds_WP_010569939.1_305	22.624	221	310
WP_017214683.1	lcl|NZ_AHMO02000008.1_cds_WP_040911610.1_1582	25.664	113	144
WP_017214683.1	lcl|NZ_AHMO02000008.1_cds_WP_010570509.1_924	41.071	56	144
WP_017214683.1	lcl|NZ_AHMO02000008.1_cds_WP_040911271.1_1518	40.000	45	144
WP_017214684.1	lcl|NZ_AHMO02000008.1_cds_WP_040911170.1_650	28.926	121	221
WP_017214684.1	lcl|NZ_AHMO02000008.1_cds_WP_040911655.1_1907	31.034	58	221
WP_017214686.1	lcl|NZ_AHMO02000004.1_cds_WP_010569370.1_3589	27.852	298	374
