WP_017214669.1	lcl|NZ_JQQH01000069.1_cds_WP_000340715.1_1584	97.674	86	106
WP_017214670.1	lcl|NZ_JQQH01000069.1_cds_WP_000410266.1_1585	94.268	314	314
WP_017214670.1	lcl|NZ_JQQH01000024.1_cds_WP_000744698.1_510	25.776	322	314
WP_017214670.1	lcl|NZ_JQQH01000069.1_cds_WP_000646254.1_1588	26.119	268	314
WP_017214670.1	lcl|NZ_JQQH01000171.1_cds_WP_000723091.1_3129	24.306	288	314
WP_017214671.1	lcl|NZ_JQQH01000069.1_cds_WP_000604525.1_1586	90.959	365	365
WP_017214672.1	lcl|NZ_JQQH01000069.1_cds_WP_000884059.1_1587	96.757	185	185
WP_017214672.1	lcl|NZ_JQQH01000031.1_cds_WP_000351733.1_693	40.714	140	185
WP_017214673.1	lcl|NZ_JQQH01000069.1_cds_WP_000646254.1_1588	95.137	329	329
WP_017214673.1	lcl|NZ_JQQH01000024.1_cds_WP_000744698.1_510	32.063	315	329
WP_017214673.1	lcl|NZ_JQQH01000171.1_cds_WP_000723091.1_3129	31.343	335	329
WP_017214673.1	lcl|NZ_JQQH01000048.1_cds_WP_002072074.1_1127	30.945	307	329
WP_017214673.1	lcl|NZ_JQQH01000100.1_cds_WP_000649924.1_2156	30.341	323	329
WP_017214673.1	lcl|NZ_JQQH01000236.1_cds_WP_000709508.1_3603	27.576	330	329
WP_017214673.1	lcl|NZ_JQQH01000069.1_cds_WP_001067557.1_1591	30.196	255	329
WP_017214673.1	lcl|NZ_JQQH01000048.1_cds_WP_000688696.1_1107	28.623	276	329
WP_017214673.1	lcl|NZ_JQQH01000122.1_cds_WP_000475901.1_2546	28.467	274	329
WP_017214673.1	lcl|NZ_JQQH01000069.1_cds_WP_000410266.1_1585	27.530	247	329
WP_017214673.1	lcl|NZ_JQQH01000068.1_cds_WP_001074779.1_1556	27.547	265	329
WP_017214673.1	lcl|NZ_JQQH01000112.1_cds_WP_001003560.1_2331	23.669	338	329
WP_017214673.1	lcl|NZ_JQQH01000178.1_cds_WP_000378097.1_3216	25.581	172	329
WP_017214674.1	lcl|NZ_JQQH01000069.1_cds_WP_000774259.1_1589	94.382	267	267
WP_017214674.1	lcl|NZ_JQQH01000171.1_cds_WP_000842260.1_3130	26.842	190	267
WP_017214674.1	lcl|NZ_JQQH01000152.1_cds_WP_000667727.1_2962	32.727	110	267
WP_017214674.1	lcl|NZ_JQQH01000173.1_cds_WP_000805357.1_3159	33.333	102	267
WP_017214675.1	lcl|NZ_JQQH01000069.1_cds_WP_002072162.1_1590	95.294	510	510
WP_017214675.1	lcl|NZ_JQQH01000054.1_cds_WP_000291581.1_1236	26.154	325	510
WP_017214675.1	lcl|NZ_JQQH01000054.1_cds_WP_000364504.1_1237	31.111	90	510
WP_017214675.1	lcl|NZ_JQQH01000069.1_cds_WP_002072162.1_1590	95.294	510	510
WP_017214675.1	lcl|NZ_JQQH01000054.1_cds_WP_000291581.1_1236	26.154	325	510
WP_017214675.1	lcl|NZ_JQQH01000054.1_cds_WP_000364504.1_1237	31.111	90	510
WP_017214676.1	lcl|NZ_JQQH01000069.1_cds_WP_001067557.1_1591	96.364	330	330
WP_017214676.1	lcl|NZ_JQQH01000069.1_cds_WP_000646254.1_1588	28.852	305	330
WP_017214676.1	lcl|NZ_JQQH01000048.1_cds_WP_002072074.1_1127	25.912	274	330
WP_017214676.1	lcl|NZ_JQQH01000024.1_cds_WP_000744698.1_510	26.582	316	330
