WP_017214669.1	lcl|NZ_JQRP01000082.1_cds_WP_002614501.1_2452	88.372	86	106
WP_017214670.1	lcl|NZ_JQRP01000082.1_cds_WP_004503085.1_2451	90.415	313	314
WP_017214670.1	lcl|NZ_JQRP01000082.1_cds_JF82_RS21710_2431	62.903	62	314
WP_017214670.1	lcl|NZ_JQRP01000082.1_cds_WP_004503081.1_2448	26.908	249	314
WP_017214670.1	lcl|NZ_JQRP01000009.1_cds_WP_061234938.1_198	23.692	325	314
WP_017214670.1	lcl|NZ_JQRP01000052.1_cds_WP_016759276.1_1873	24.911	281	314
WP_017214670.1	lcl|NZ_JQRP01000052.1_cds_WP_004503537.1_1847	21.338	314	314
WP_017214670.1	lcl|NZ_JQRP01000065.1_cds_WP_004495474.1_2124	24.896	241	314
WP_017214670.1	lcl|NZ_JQRP01000134.1_cds_WP_004503074.1_3198	23.684	152	314
WP_017214671.1	lcl|NZ_JQRP01000082.1_cds_WP_004503038.1_2450	86.301	365	365
WP_017214672.1	lcl|NZ_JQRP01000082.1_cds_WP_004503080.1_2449	95.676	185	185
WP_017214672.1	lcl|NZ_JQRP01000023.1_cds_WP_002630958.1_634	35.616	146	185
WP_017214673.1	lcl|NZ_JQRP01000082.1_cds_WP_004503081.1_2448	94.225	329	329
WP_017214673.1	lcl|NZ_JQRP01000009.1_cds_WP_061234938.1_198	31.111	315	329
WP_017214673.1	lcl|NZ_JQRP01000052.1_cds_WP_016759276.1_1873	30.539	334	329
WP_017214673.1	lcl|NZ_JQRP01000065.1_cds_WP_004495474.1_2124	30.225	311	329
WP_017214673.1	lcl|NZ_JQRP01000076.1_cds_WP_004503054.1_2361	30.218	321	329
WP_017214673.1	lcl|NZ_JQRP01000037.1_cds_WP_004498401.1_1331	30.094	319	329
WP_017214673.1	lcl|NZ_JQRP01000163.1_cds_WP_004495537.1_3504	27.463	335	329
WP_017214673.1	lcl|NZ_JQRP01000100.1_cds_WP_004495465.1_2727	27.950	322	329
WP_017214673.1	lcl|NZ_JQRP01000052.1_cds_WP_004503537.1_1847	23.810	294	329
WP_017214673.1	lcl|NZ_JQRP01000082.1_cds_WP_004503082.1_2445	29.139	302	329
WP_017214673.1	lcl|NZ_JQRP01000090.1_cds_WP_002619620.1_2606	26.254	339	329
WP_017214673.1	lcl|NZ_JQRP01000134.1_cds_WP_004503074.1_3198	24.290	317	329
WP_017214673.1	lcl|NZ_JQRP01000134.1_cds_WP_004503138.1_3196	28.889	270	329
WP_017214673.1	lcl|NZ_JQRP01000082.1_cds_WP_004503085.1_2451	28.000	250	329
WP_017214673.1	lcl|NZ_JQRP01000026.1_cds_WP_004496193.1_847	27.376	263	329
WP_017214673.1	lcl|NZ_JQRP01000052.1_cds_WP_004503588.1_1856	27.372	274	329
WP_017214673.1	lcl|NZ_JQRP01000095.1_cds_WP_004494996.1_2646	22.561	328	329
WP_017214673.1	lcl|NZ_JQRP01000052.1_cds_WP_004503611.1_1845	30.460	174	329
WP_017214673.1	lcl|NZ_JQRP01000037.1_cds_WP_004495316.1_1371	27.888	251	329
WP_017214674.1	lcl|NZ_JQRP01000082.1_cds_WP_061235142.1_2447	93.633	267	267
WP_017214674.1	lcl|NZ_JQRP01000076.1_cds_WP_061235122.1_2352	25.210	238	267
WP_017214674.1	lcl|NZ_JQRP01000052.1_cds_WP_004503495.1_1844	25.100	251	267
WP_017214674.1	lcl|NZ_JQRP01000020.1_cds_WP_004503803.1_545	35.455	110	267
WP_017214674.1	lcl|NZ_JQRP01000052.1_cds_WP_002620407.1_1874	26.842	190	267
