WP_017214669.1	lcl|NC_008510.1_cds_WP_002725873.1_1139	90.698	86	106
WP_017214670.1	lcl|NC_008510.1_cds_WP_011669917.1_1140	91.935	310	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_011671202.1_43	23.457	324	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_011669955.1_1189	22.680	291	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_011671706.1_1215	24.138	290	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_011669957.1_1191	25.269	186	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_011670961.1_427	25.311	241	314
WP_017214670.1	lcl|NC_008510.1_cds_WP_002729504.1_653	22.353	170	314
WP_017214672.1	lcl|NC_008510.1_cds_WP_002750963.1_1962	36.986	146	185
WP_017214672.1	lcl|NC_008510.1_cds_WP_011669938.1_1171	34.463	177	185
WP_017214673.1	lcl|NC_008510.1_cds_WP_011669955.1_1189	31.153	321	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011671202.1_43	31.111	315	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011671706.1_1215	30.838	334	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011670961.1_427	30.225	311	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011669957.1_1191	29.180	305	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_002729504.1_653	27.859	341	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011671143.1_175	30.094	319	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_002754065.1_430	27.576	330	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011671074.1_268	25.369	339	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011669917.1_1140	27.799	259	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_002751102.1_1332	27.170	265	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011669959.1_1193	26.354	277	329
WP_017214673.1	lcl|NC_008510.1_cds_WP_011669202.1_3036	23.171	328	329
WP_017214674.1	lcl|NC_008510.1_cds_WP_011669956.1_1190	27.919	197	267
WP_017214674.1	lcl|NC_008510.1_cds_WP_011669974.1_1216	26.984	189	267
WP_017214674.1	lcl|NC_008510.1_cds_WP_011670832.1_626	32.727	110	267
WP_017214674.1	lcl|NC_008510.1_cds_WP_002766579.1_2665	37.209	86	267
WP_017214674.1	lcl|NC_008510.1_cds_WP_011671577.1_654	24.868	189	267
WP_017214675.1	lcl|NC_008510.1_cds_WP_011670269.1_1487	26.689	296	510
