WP_017214669.1	lcl|NZ_AHQU01000009.1_cds_WP_000340715.1_3517	97.674	86	106
WP_017214670.1	lcl|NZ_AHQU01000009.1_cds_WP_000410273.1_3518	94.268	314	314
WP_017214670.1	lcl|NZ_AHQU01000009.1_cds_WP_000093099.1_3538	59.677	62	314
WP_017214670.1	lcl|NZ_AHQU01000009.1_cds_WP_000646250.1_3521	26.493	268	314
WP_017214670.1	lcl|NZ_AHQU01000042.1_cds_WP_000744700.1_2781	25.776	322	314
WP_017214670.1	lcl|NZ_AHQU01000009.1_cds_WP_000723090.1_3600	23.958	288	314
WP_017214670.1	lcl|NZ_AHQU01000009.1_cds_WP_000600889.1_3547	24.599	187	314
WP_017214671.1	lcl|NZ_AHQU01000009.1_cds_WP_000604524.1_3519	91.507	365	365
WP_017214672.1	lcl|NZ_AHQU01000009.1_cds_WP_000884059.1_3520	96.757	185	185
WP_017214672.1	lcl|NZ_AHQU01000040.1_cds_WP_000351733.1_2889	40.714	140	185
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000646250.1_3521	94.529	329	329
WP_017214673.1	lcl|NZ_AHQU01000042.1_cds_WP_000744700.1_2781	32.063	315	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000600889.1_3547	32.595	316	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000723090.1_3600	31.045	335	329
WP_017214673.1	lcl|NZ_AHQU01000043.1_cds_WP_001984071.1_2746	31.270	307	329
WP_017214673.1	lcl|NZ_AHQU01000145.1_cds_WP_000649925.1_730	30.341	323	329
WP_017214673.1	lcl|NZ_AHQU01000151.1_cds_WP_000709511.1_627	27.879	330	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000601375.1_3574	25.333	300	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_001067557.1_3524	30.196	255	329
WP_017214673.1	lcl|NZ_AHQU01000043.1_cds_WP_000688695.1_2726	28.623	276	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000475904.1_3583	28.467	274	329
WP_017214673.1	lcl|NZ_AHQU01000009.1_cds_WP_000410273.1_3518	27.530	247	329
WP_017214673.1	lcl|NZ_AHQU01000051.1_cds_WP_001074785.1_2433	27.925	265	329
WP_017214673.1	lcl|NZ_AHQU01000160.1_cds_WP_001003555.1_548	23.964	338	329
