WP_017214669.1	lcl|NZ_RQET01000008.1_cds_WP_135768329.1_2016	64.706	85	106
WP_017214670.1	lcl|NZ_RQET01000008.1_cds_WP_135768307.1_1993	60.968	310	314
WP_017214670.1	lcl|NZ_RQET01000004.1_cds_WP_135766981.1_248	25.893	336	314
WP_017214670.1	lcl|NZ_RQET01000004.1_cds_WP_135767110.1_382	23.457	324	314
WP_017214670.1	lcl|NZ_RQET01000008.1_cds_WP_135768304.1_1990	20.833	288	314
WP_017214670.1	lcl|NZ_RQET01000004.1_cds_WP_135766898.1_152	23.511	319	314
WP_017214670.1	lcl|NZ_RQET01000014.1_cds_WP_135769310.1_1773	22.993	274	314
WP_017214672.1	lcl|NZ_RQET01000001.1_cds_WP_135766220.1_1409	33.333	165	185
WP_017214673.1	lcl|NZ_RQET01000004.1_cds_WP_135767110.1_382	33.333	318	329
WP_017214673.1	lcl|NZ_RQET01000004.1_cds_WP_135766898.1_152	31.875	320	329
WP_017214673.1	lcl|NZ_RQET01000004.1_cds_WP_135766981.1_248	30.312	320	329
WP_017214673.1	lcl|NZ_RQET01000008.1_cds_WP_135768304.1_1990	27.164	335	329
WP_017214673.1	lcl|NZ_RQET01000004.1_cds_WP_135766837.1_81	26.727	333	329
WP_017214673.1	lcl|NZ_RQET01000004.1_cds_WP_246028118.1_30	30.000	240	329
WP_017214673.1	lcl|NZ_RQET01000008.1_cds_WP_135768307.1_1993	25.478	314	329
WP_017214673.1	lcl|NZ_RQET01000014.1_cds_WP_135769310.1_1773	27.559	254	329
WP_017214673.1	lcl|NZ_RQET01000001.1_cds_WP_135766359.1_1565	27.092	251	329
WP_017214673.1	lcl|NZ_RQET01000008.1_cds_WP_135768296.1_1981	25.373	268	329
WP_017214674.1	lcl|NZ_RQET01000004.1_cds_WP_135766788.1_27	29.518	166	267
WP_017214674.1	lcl|NZ_RQET01000004.1_cds_WP_135767592.1_920	34.831	89	267
WP_017214674.1	lcl|NZ_RQET01000008.1_cds_WP_210409360.1_1989	23.784	185	267
WP_017214675.1	lcl|NZ_RQET01000010.1_cds_WP_135768863.1_3202	26.048	334	510
WP_017214675.1	lcl|NZ_RQET01000010.1_cds_WP_246028324.1_3201	28.261	92	510
WP_017214675.1	lcl|NZ_RQET01000010.1_cds_WP_135768863.1_3202	26.048	334	510
WP_017214675.1	lcl|NZ_RQET01000010.1_cds_WP_246028324.1_3201	28.261	92	510
WP_017214676.1	lcl|NZ_RQET01000004.1_cds_WP_135766898.1_152	27.957	279	330
WP_017214676.1	lcl|NZ_RQET01000004.1_cds_WP_135766981.1_248	28.704	324	330
WP_017214676.1	lcl|NZ_RQET01000004.1_cds_WP_135767110.1_382	26.642	274	330
WP_017214676.1	lcl|NZ_RQET01000008.1_cds_WP_135768304.1_1990	28.261	276	330
WP_017214676.1	lcl|NZ_RQET01000008.1_cds_WP_135768296.1_1981	22.759	290	330
WP_017214676.1	lcl|NZ_RQET01000004.1_cds_WP_246028118.1_30	26.000	250	330
WP_017214676.1	lcl|NZ_RQET01000008.1_cds_WP_135768327.1_2014	25.397	126	330
WP_017214676.1	lcl|NZ_RQET01000001.1_cds_WP_135766359.1_1565	21.296	216	330
WP_017214676.1	lcl|NZ_RQET01000014.1_cds_WP_135769310.1_1773	31.613	155	330
WP_017214676.1	lcl|NZ_RQET01000001.1_cds_WP_135766342.1_1548	25.170	147	330
WP_017214678.1	lcl|NZ_RQET01000012.1_cds_WP_135768940.1_3276	44.033	243	264
WP_017214678.1	lcl|NZ_RQET01000008.1_cds_WP_135768408.1_2107	28.402	169	264
WP_020981179.1	lcl|NZ_RQET01000008.1_cds_WP_135768252.1_1929	35.354	297	310
WP_020981179.1	lcl|NZ_RQET01000008.1_cds_WP_135768408.1_2107	27.692	325	310
WP_020981179.1	lcl|NZ_RQET01000001.1_cds_WP_135766262.1_1452	24.286	140	310
WP_020981179.1	lcl|NZ_RQET01000008.1_cds_WP_135768252.1_1929	35.354	297	310
WP_020981179.1	lcl|NZ_RQET01000008.1_cds_WP_135768408.1_2107	27.692	325	310
WP_020981179.1	lcl|NZ_RQET01000001.1_cds_WP_135766262.1_1452	24.286	140	310
WP_017214683.1	lcl|NZ_RQET01000007.1_cds_WP_135768130.1_3038	49.123	57	144
WP_017214684.1	lcl|NZ_RQET01000004.1_cds_WP_135767546.1_869	31.532	111	221
WP_017214684.1	lcl|NZ_RQET01000002.1_cds_WP_135766524.1_2748	29.630	108	221
WP_017214684.1	lcl|NZ_RQET01000008.1_cds_WP_246028289.1_2148	27.711	83	221
WP_017214684.1	lcl|NZ_RQET01000012.1_cds_WP_135768970.1_3313	25.882	85	221
WP_017214685.1	lcl|NZ_RQET01000008.1_cds_WP_210409360.1_1989	20.388	206	260
WP_017214685.1	lcl|NZ_RQET01000004.1_cds_WP_135766788.1_27	35.849	53	260
WP_017214686.1	lcl|NZ_RQET01000004.1_cds_WP_135766981.1_248	26.897	290	374
WP_017214686.1	lcl|NZ_RQET01000008.1_cds_WP_135768304.1_1990	29.434	265	374
WP_017214686.1	lcl|NZ_RQET01000004.1_cds_WP_135766837.1_81	24.483	290	374
WP_017214686.1	lcl|NZ_RQET01000004.1_cds_WP_135767110.1_382	23.167	341	374
WP_017214686.1	lcl|NZ_RQET01000008.1_cds_WP_135768327.1_2014	25.926	135	374
WP_017214686.1	lcl|NZ_RQET01000004.1_cds_WP_246028118.1_30	25.843	178	374
WP_017214686.1	lcl|NZ_RQET01000009.1_cds_WP_135768623.1_2320	23.121	173	374
WP_017214689.1	lcl|NZ_RQET01000002.1_cds_WP_135766525.1_2749	27.684	177	413
WP_017214689.1	lcl|NZ_RQET01000004.1_cds_WP_246028162.1_652	29.167	144	413
WP_020981159.1	lcl|NZ_RQET01000007.1_cds_WP_135768162.1_3076	33.654	312	324
WP_020981159.1	lcl|NZ_RQET01000003.1_cds_WP_135766711.1_3333	32.847	137	324
WP_020981159.1	lcl|NZ_RQET01000014.1_cds_WP_135769258.1_1715	30.952	126	324
WP_020981159.1	lcl|NZ_RQET01000008.1_cds_WP_135768298.1_1983	30.000	100	324
