WP_017214669.1	lcl|NZ_AOWU01000073.1_cds_WP_000340715.1_911	97.674	86	106
WP_017214670.1	lcl|NZ_AOWU01000073.1_cds_WP_000410266.1_910	94.268	314	314
WP_017214670.1	lcl|NZ_AOWU01000070.1_cds_WP_000744698.1_849	25.776	322	314
WP_017214670.1	lcl|NZ_AOWU01000073.1_cds_WP_000646254.1_907	26.119	268	314
WP_017214670.1	lcl|NZ_AOWU01000078.1_cds_WP_000723091.1_962	24.306	288	314
WP_017214671.1	lcl|NZ_AOWU01000073.1_cds_WP_000604525.1_909	90.959	365	365
WP_017214672.1	lcl|NZ_AOWU01000073.1_cds_WP_000884059.1_908	96.757	185	185
WP_017214672.1	lcl|NZ_AOWU01000079.1_cds_WP_000351733.1_971	40.714	140	185
WP_017214673.1	lcl|NZ_AOWU01000073.1_cds_WP_000646254.1_907	95.137	329	329
WP_017214673.1	lcl|NZ_AOWU01000070.1_cds_WP_000744698.1_849	32.063	315	329
WP_017214673.1	lcl|NZ_AOWU01000078.1_cds_WP_000723091.1_962	31.343	335	329
WP_017214673.1	lcl|NZ_AOWU01000182.1_cds_WP_002072074.1_2866	30.945	307	329
WP_017214673.1	lcl|NZ_AOWU01000142.1_cds_WP_000649924.1_1965	30.341	323	329
WP_017214673.1	lcl|NZ_AOWU01000181.1_cds_WP_000709508.1_2856	27.576	330	329
WP_017214673.1	lcl|NZ_AOWU01000073.1_cds_WP_001067557.1_904	30.196	255	329
WP_017214673.1	lcl|NZ_AOWU01000143.1_cds_WP_000688696.1_2010	28.623	276	329
WP_017214673.1	lcl|NZ_AOWU01000047.1_cds_WP_000475901.1_563	28.467	274	329
WP_017214673.1	lcl|NZ_AOWU01000073.1_cds_WP_000410266.1_910	27.530	247	329
WP_017214673.1	lcl|NZ_AOWU01000195.1_cds_WP_001074779.1_3244	27.547	265	329
WP_017214673.1	lcl|NZ_AOWU01000086.1_cds_WP_001003560.1_1058	23.669	338	329
WP_017214673.1	lcl|NZ_AOWU01000074.1_cds_WP_000378097.1_923	25.581	172	329
WP_017214674.1	lcl|NZ_AOWU01000073.1_cds_WP_000774259.1_906	94.382	267	267
WP_017214674.1	lcl|NZ_AOWU01000078.1_cds_WP_000842260.1_961	26.842	190	267
WP_017214674.1	lcl|NZ_AOWU01000144.1_cds_WP_000667727.1_2029	32.727	110	267
