WP_017214669.1	lcl|NZ_JADDVD010000025.1_cds_WP_002725873.1_1197	90.698	86	106
WP_017214670.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733579.1_1198	92.038	314	314
WP_017214670.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733534.1_1201	25.746	268	314
WP_017214670.1	lcl|NZ_JADDVD010000018.1_cds_WP_002722638.1_677	23.765	324	314
WP_017214670.1	lcl|NZ_JADDVD010000023.1_cds_WP_002740024.1_1128	24.138	290	314
WP_017214670.1	lcl|NZ_JADDVD010000025.1_cds_WP_016749081.1_1230	27.815	151	314
WP_017214670.1	lcl|NZ_JADDVD010000005.1_cds_WP_002728309.1_2785	25.311	241	314
WP_017214670.1	lcl|NZ_JADDVD010000013.1_cds_WP_002743770.1_309	22.353	170	314
WP_017214671.1	lcl|NZ_JADDVD010000025.1_cds_WP_026054882.1_1199	87.945	365	365
WP_017214672.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733646.1_1200	96.216	185	185
WP_017214672.1	lcl|NZ_JADDVD010000003.1_cds_WP_002721790.1_1940	36.986	146	185
WP_017214673.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733534.1_1201	94.225	329	329
WP_017214673.1	lcl|NZ_JADDVD010000018.1_cds_WP_002722638.1_677	30.476	315	329
WP_017214673.1	lcl|NZ_JADDVD010000023.1_cds_WP_002740024.1_1128	30.539	334	329
WP_017214673.1	lcl|NZ_JADDVD010000005.1_cds_WP_002728309.1_2785	29.904	311	329
WP_017214673.1	lcl|NZ_JADDVD010000013.1_cds_WP_002743770.1_309	27.859	341	329
WP_017214673.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733638.1_1238	28.000	350	329
WP_017214673.1	lcl|NZ_JADDVD010000077.1_cds_WP_002741146.1_3110	29.781	319	329
WP_017214673.1	lcl|NZ_JADDVD010000005.1_cds_WP_002728316.1_2782	27.576	330	329
WP_017214673.1	lcl|NZ_JADDVD010000023.1_cds_WP_002733546.1_1103	23.129	294	329
WP_017214673.1	lcl|NZ_JADDVD010000025.1_cds_WP_002740721.1_1204	28.808	302	329
WP_017214673.1	lcl|NZ_JADDVD010000006.1_cds_WP_002732331.1_2951	25.959	339	329
WP_017214673.1	lcl|NZ_JADDVD010000025.1_cds_WP_016749081.1_1230	23.975	317	329
WP_017214673.1	lcl|NZ_JADDVD010000025.1_cds_WP_002733579.1_1198	27.530	247	329
WP_017214673.1	lcl|NZ_JADDVD010000023.1_cds_WP_002733698.1_1111	27.737	274	329
WP_017214673.1	lcl|NZ_JADDVD010000060.1_cds_WP_002740236.1_2803	27.170	265	329
