WP_017214669.1	lcl|NZ_JADDXA010000021.1_cds_WP_002725873.1_1021	90.698	86	106
WP_017214670.1	lcl|NZ_JADDXA010000021.1_cds_WP_011669917.1_1022	91.935	310	314
WP_017214670.1	lcl|NZ_JADDXA010000071.1_cds_WP_011671202.1_2890	23.457	324	314
WP_017214670.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669955.1_2464	22.680	291	314
WP_017214670.1	lcl|NZ_JADDXA010000060.1_cds_WP_011669973.1_2612	24.138	290	314
WP_017214670.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669957.1_2462	25.269	186	314
WP_017214670.1	lcl|NZ_JADDXA010000035.1_cds_WP_011670961.1_1652	25.311	241	314
WP_017214670.1	lcl|NZ_JADDXA010000092.1_cds_WP_011670813.1_3307	22.353	170	314
WP_017214672.1	lcl|NZ_JADDXA010000001.1_cds_WP_002750963.1_866	36.986	146	185
WP_017214672.1	lcl|NZ_JADDXA010000021.1_cds_WP_011669938.1_1053	34.463	177	185
WP_017214673.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669955.1_2464	31.153	321	329
WP_017214673.1	lcl|NZ_JADDXA010000071.1_cds_WP_011671202.1_2890	31.111	315	329
WP_017214673.1	lcl|NZ_JADDXA010000060.1_cds_WP_011669973.1_2612	30.838	334	329
WP_017214673.1	lcl|NZ_JADDXA010000035.1_cds_WP_011670961.1_1652	30.225	311	329
WP_017214673.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669957.1_2462	29.180	305	329
WP_017214673.1	lcl|NZ_JADDXA010000092.1_cds_WP_011670813.1_3307	27.859	341	329
WP_017214673.1	lcl|NZ_JADDXA010000020.1_cds_WP_011671143.1_968	30.094	319	329
WP_017214673.1	lcl|NZ_JADDXA010000035.1_cds_WP_002754065.1_1649	27.576	330	329
WP_017214673.1	lcl|NZ_JADDXA010000003.1_cds_WP_011671074.1_1851	25.369	339	329
WP_017214673.1	lcl|NZ_JADDXA010000021.1_cds_WP_011669917.1_1022	27.799	259	329
WP_017214673.1	lcl|NZ_JADDXA010000012.1_cds_WP_017859386.1_290	27.170	265	329
WP_017214673.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669959.1_2460	26.354	277	329
WP_017214673.1	lcl|NZ_JADDXA010000056.1_cds_WP_011669202.1_2416	23.171	328	329
WP_017214674.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669956.1_2463	27.919	197	267
WP_017214674.1	lcl|NZ_JADDXA010000060.1_cds_WP_011669974.1_2611	26.984	189	267
WP_017214674.1	lcl|NZ_JADDXA010000034.1_cds_WP_011670832.1_1609	32.727	110	267
WP_017214674.1	lcl|NZ_JADDXA010000087.1_cds_WP_002766579.1_3183	37.209	86	267
WP_017214674.1	lcl|NZ_JADDXA010000092.1_cds_WP_011670812.1_3306	24.868	189	267
WP_017214675.1	lcl|NZ_JADDXA010000017.1_cds_WP_011670269.1_638	26.689	296	510
WP_017214675.1	lcl|NZ_JADDXA010000017.1_cds_WP_002751286.1_639	31.111	90	510
WP_017214675.1	lcl|NZ_JADDXA010000017.1_cds_WP_011670269.1_638	26.689	296	510
WP_017214675.1	lcl|NZ_JADDXA010000017.1_cds_WP_002751286.1_639	31.111	90	510
WP_017214676.1	lcl|NZ_JADDXA010000035.1_cds_WP_011670961.1_1652	27.473	273	330
WP_017214676.1	lcl|NZ_JADDXA010000058.1_cds_WP_011669955.1_2464	24.453	274	330
