WP_017214669.1	lcl|NZ_MVIU01000017.1_cds_WP_002725873.1_1005	90.698	86	106
WP_017214670.1	lcl|NZ_MVIU01000017.1_cds_WP_002733579.1_1004	92.038	314	314
WP_017214670.1	lcl|NZ_MVIU01000017.1_cds_WP_002733534.1_1001	25.746	268	314
WP_017214670.1	lcl|NZ_MVIU01000007.1_cds_WP_002722638.1_3036	23.765	324	314
WP_017214670.1	lcl|NZ_MVIU01000029.1_cds_WP_002740024.1_2066	24.138	290	314
WP_017214670.1	lcl|NZ_MVIU01000017.1_cds_WP_016749081.1_972	27.815	151	314
WP_017214670.1	lcl|NZ_MVIU01000006.1_cds_WP_002728309.1_3012	25.311	241	314
WP_017214670.1	lcl|NZ_MVIU01000024.1_cds_WP_002743770.1_1774	22.353	170	314
WP_017214671.1	lcl|NZ_MVIU01000017.1_cds_WP_026054882.1_1003	87.945	365	365
WP_017214672.1	lcl|NZ_MVIU01000017.1_cds_WP_002733646.1_1002	96.216	185	185
WP_017214672.1	lcl|NZ_MVIU01000003.1_cds_WP_002721790.1_2200	36.986	146	185
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_002733534.1_1001	94.225	329	329
WP_017214673.1	lcl|NZ_MVIU01000007.1_cds_WP_002722638.1_3036	30.476	315	329
WP_017214673.1	lcl|NZ_MVIU01000029.1_cds_WP_002740024.1_2066	30.539	334	329
WP_017214673.1	lcl|NZ_MVIU01000006.1_cds_WP_002728309.1_3012	29.904	311	329
WP_017214673.1	lcl|NZ_MVIU01000024.1_cds_WP_002743770.1_1774	27.859	341	329
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_002733638.1_964	28.000	350	329
WP_017214673.1	lcl|NZ_MVIU01000004.1_cds_WP_002741146.1_2620	29.781	319	329
WP_017214673.1	lcl|NZ_MVIU01000006.1_cds_WP_002728316.1_3009	27.576	330	329
WP_017214673.1	lcl|NZ_MVIU01000029.1_cds_WP_002733546.1_2041	23.129	294	329
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_002740721.1_998	28.808	302	329
WP_017214673.1	lcl|NZ_MVIU01000004.1_cds_WP_002732331.1_2531	25.959	339	329
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_016749081.1_972	23.975	317	329
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_002733579.1_1004	27.530	247	329
WP_017214673.1	lcl|NZ_MVIU01000029.1_cds_WP_002733698.1_2049	27.737	274	329
WP_017214673.1	lcl|NZ_MVIU01000004.1_cds_WP_002740236.1_2445	27.170	265	329
WP_017214673.1	lcl|NZ_MVIU01000017.1_cds_WP_002744551.1_970	28.519	270	329
WP_017214673.1	lcl|NZ_MVIU01000013.1_cds_WP_002721725.1_593	23.780	328	329
WP_017214673.1	lcl|NZ_MVIU01000029.1_cds_WP_002733757.1_2039	31.034	174	329
WP_017214673.1	lcl|NZ_MVIU01000011.1_cds_WP_002739935.1_414	28.287	251	329
WP_017214674.1	lcl|NZ_MVIU01000017.1_cds_WP_002733627.1_1000	93.633	267	267
WP_017214674.1	lcl|NZ_MVIU01000017.1_cds_WP_002740926.1_959	25.210	238	267
WP_017214674.1	lcl|NZ_MVIU01000029.1_cds_WP_002738295.1_2038	24.303	251	267
WP_017214674.1	lcl|NZ_MVIU01000029.1_cds_WP_002727921.1_2067	26.984	189	267
WP_017214674.1	lcl|NZ_MVIU01000006.1_cds_WP_002729040.1_2836	32.727	110	267
WP_017214674.1	lcl|NZ_MVIU01000001.1_cds_WP_002766579.1_111	37.209	86	267
WP_017214674.1	lcl|NZ_MVIU01000024.1_cds_WP_002729513.1_1775	24.868	189	267
