WP_020985020.1	lcl|NZ_QHCS01000002.1_cds_WP_100785494.1_2236	91.463	82	106
WP_010578412.1	lcl|NZ_QHCS01000002.1_cds_WP_118968521.1_2244	63.871	310	314
WP_010578412.1	lcl|NZ_QHCS01000001.1_cds_WP_118980350.1_610	23.385	325	314
WP_010578412.1	lcl|NZ_QHCS01000002.1_cds_WP_118981896.1_2237	24.731	186	314
WP_010578412.1	lcl|NZ_QHCS01000002.1_cds_WP_118981941.1_2289	24.390	246	314
WP_010578412.1	lcl|NZ_QHCS01000003.1_cds_WP_118970620.1_2937	20.597	335	314
WP_010578412.1	lcl|NZ_QHCS01000001.1_cds_WP_118980124.1_324	23.502	217	314
WP_010578411.1	lcl|NZ_QHCS01000002.1_cds_WP_118968509.1_2258	40.449	178	185
WP_010578411.1	lcl|NZ_QHCS01000002.1_cds_WP_118982146.1_2538	37.857	140	185
WP_010578410.1	lcl|NZ_QHCS01000002.1_cds_WP_118981896.1_2237	32.107	299	329
WP_010578410.1	lcl|NZ_QHCS01000002.1_cds_WP_118981941.1_2289	29.819	332	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_118980350.1_610	29.524	315	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_118980124.1_324	31.290	310	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_118981399.1_464	30.650	323	329
WP_010578410.1	lcl|NZ_QHCS01000003.1_cds_WP_118970620.1_2937	27.381	336	329
WP_010578410.1	lcl|NZ_QHCS01000003.1_cds_WP_118982527.1_2865	28.916	332	329
WP_010578410.1	lcl|NZ_QHCS01000002.1_cds_WP_118968521.1_2244	25.879	313	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_118980680.1_996	26.523	279	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_241686725.1_818	26.210	248	329
WP_010578410.1	lcl|NZ_QHCS01000004.1_cds_WP_118982869.1_3228	25.379	264	329
WP_010578410.1	lcl|NZ_QHCS01000008.1_cds_WP_118983674.1_4028	26.357	258	329
WP_010578410.1	lcl|NZ_QHCS01000001.1_cds_WP_118980428.1_705	24.896	241	329
WP_010578410.1	lcl|NZ_QHCS01000002.1_cds_WP_118981923.1_2270	26.923	208	329
WP_010578410.1	lcl|NZ_QHCS01000003.1_cds_WP_118982574.1_2914	30.233	129	329
