WP_020985020.1	lcl|NZ_AHMW02000038.1_cds_WP_004753574.1_2150	91.463	82	106
WP_010578412.1	lcl|NZ_AHMW02000038.1_cds_WP_004761722.1_2151	91.401	314	314
WP_010578412.1	lcl|NZ_AHMW02000038.1_cds_WP_004755430.1_2154	27.778	252	314
WP_010578412.1	lcl|NZ_AHMW02000054.1_cds_WP_004753565.1_528	22.256	328	314
WP_010578412.1	lcl|NZ_AHMW02000054.1_cds_WP_004763615.1_202	23.656	186	314
WP_010578412.1	lcl|NZ_AHMW02000054.1_cds_WP_004763603.1_257	22.939	279	314
WP_010578412.1	lcl|NZ_AHMW02000038.1_cds_WP_004762989.1_2157	24.771	327	314
WP_010578412.1	lcl|NZ_AHMW02000030.1_cds_WP_004751543.1_2337	24.272	309	314
WP_020984893.1	lcl|NZ_AHMW02000038.1_cds_WP_004777161.1_2152	85.205	365	365
WP_010578411.1	lcl|NZ_AHMW02000038.1_cds_WP_004753627.1_2153	95.676	185	185
WP_010578411.1	lcl|NZ_AHMW02000042.1_cds_WP_004752075.1_1613	39.286	140	185
WP_010578410.1	lcl|NZ_AHMW02000038.1_cds_WP_004755430.1_2154	93.921	329	329
WP_010578410.1	lcl|NZ_AHMW02000054.1_cds_WP_004763615.1_202	31.034	319	329
WP_010578410.1	lcl|NZ_AHMW02000054.1_cds_WP_004753565.1_528	30.794	315	329
WP_010578410.1	lcl|NZ_AHMW02000030.1_cds_WP_004751543.1_2337	31.494	308	329
WP_010578410.1	lcl|NZ_AHMW02000054.1_cds_WP_004763603.1_257	29.851	335	329
WP_010578410.1	lcl|NZ_AHMW02000048.1_cds_WP_004763391.1_1154	31.024	332	329
WP_010578410.1	lcl|NZ_AHMW02000030.1_cds_WP_004762820.1_2347	29.003	331	329
WP_010578410.1	lcl|NZ_AHMW02000038.1_cds_WP_004762989.1_2157	29.180	305	329
WP_010578410.1	lcl|NZ_AHMW02000048.1_cds_WP_004763321.1_1298	29.455	275	329
WP_010578410.1	lcl|NZ_AHMW02000054.1_cds_WP_004763585.1_230	24.074	270	329
WP_010578410.1	lcl|NZ_AHMW02000038.1_cds_WP_004761722.1_2151	27.391	230	329
WP_010578410.1	lcl|NZ_AHMW02000028.1_cds_WP_004750263.1_2779	26.718	262	329
WP_010578410.1	lcl|NZ_AHMW02000017.1_cds_WP_004751780.1_3196	27.925	265	329
