WP_020985020.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000340715.1_3464	91.463	82	106
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000410273.1_3465	91.083	314	314
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000093099.1_3485	55.556	63	314
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000646250.1_3468	28.175	252	314
WP_010578412.1	lcl|NZ_JAPDQZ010000015.1_cds_WP_000744700.1_861	22.256	328	314
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000600889.1_3494	24.194	186	314
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000723090.1_3547	23.183	289	314
WP_010578412.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001067557.1_3471	25.526	333	314
WP_020984893.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000604524.1_3466	84.932	365	365
WP_010578411.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000884059.1_3467	95.135	185	185
WP_010578411.1	lcl|NZ_JAPDQZ010000001.1_cds_WP_000351733.1_52	38.571	140	185
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000646250.1_3468	93.921	329	329
WP_010578410.1	lcl|NZ_JAPDQZ010000015.1_cds_WP_000744700.1_861	31.429	315	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000600889.1_3494	33.333	255	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000723090.1_3547	29.851	335	329
WP_010578410.1	lcl|NZ_JAPDQZ010000021.1_cds_WP_001984071.1_1575	32.026	306	329
WP_010578410.1	lcl|NZ_JAPDQZ010000002.1_cds_WP_000649925.1_1426	30.091	329	329
WP_010578410.1	lcl|NZ_JAPDQZ010000002.1_cds_WP_000709511.1_1360	28.182	330	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_001067557.1_3471	28.852	305	329
WP_010578410.1	lcl|NZ_JAPDQZ010000021.1_cds_WP_000688695.1_1555	28.832	274	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000601375.1_3521	24.549	277	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000410273.1_3465	27.826	230	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000475904.1_3530	27.007	274	329
WP_010578410.1	lcl|NZ_JAPDQZ010000001.1_cds_WP_001074785.1_256	28.302	265	329
WP_010578410.1	lcl|NZ_JAPDQZ010000017.1_cds_WP_001003555.1_1048	27.200	250	329
WP_010578410.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000487322.1_3519	26.205	332	329
WP_020984930.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000774262.1_3469	88.189	254	267
WP_020984930.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000859505.1_3518	27.315	216	267
WP_020984930.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000800438.1_3499	25.789	190	267
WP_020984930.1	lcl|NZ_JAPDQZ010000008.1_cds_WP_000842260.1_3548	24.569	232	267
WP_020984930.1	lcl|NZ_JAPDQZ010000019.1_cds_WP_000667727.1_1113	33.636	110	267
WP_020984930.1	lcl|NZ_JAPDQZ010000012.1_cds_WP_000805357.1_600	36.047	86	267
