WP_020985020.1	lcl|NZ_JQRU01000088.1_cds_WP_020774736.1_3228	93.902	82	106
WP_010578412.1	lcl|NZ_JQRU01000088.1_cds_WP_020774692.1_3229	91.290	310	314
WP_010578412.1	lcl|NZ_JQRU01000088.1_cds_WP_020774697.1_3232	27.381	252	314
WP_010578412.1	lcl|NZ_JQRU01000088.1_cds_WP_020774725.1_3262	25.806	186	314
WP_010578412.1	lcl|NZ_JQRU01000008.1_cds_WP_020771927.1_591	22.769	325	314
WP_010578412.1	lcl|NZ_JQRU01000002.1_cds_WP_020774296.1_165	21.708	281	314
WP_010578412.1	lcl|NZ_JQRU01000004.1_cds_WP_017808832.1_299	24.885	217	314
WP_010578412.1	lcl|NZ_JQRU01000104.1_cds_WP_020775260.1_3470	21.429	168	314
WP_010578412.1	lcl|NZ_JQRU01000088.1_cds_WP_020774722.1_3235	24.925	333	314
WP_010578412.1	lcl|NZ_JQRU01000035.1_cds_WP_020771874.1_1794	24.022	179	314
WP_020984893.1	lcl|NZ_JQRU01000088.1_cds_WP_020774721.1_3230	83.014	365	365
WP_010578411.1	lcl|NZ_JQRU01000088.1_cds_WP_020774732.1_3231	90.811	185	185
WP_010578411.1	lcl|NZ_JQRU01000038.1_cds_WP_020772754.1_1997	36.301	146	185
WP_010578410.1	lcl|NZ_JQRU01000088.1_cds_WP_020774697.1_3232	90.274	329	329
WP_010578410.1	lcl|NZ_JQRU01000088.1_cds_WP_020774725.1_3262	32.063	315	329
WP_010578410.1	lcl|NZ_JQRU01000008.1_cds_WP_020771927.1_591	30.159	315	329
WP_010578410.1	lcl|NZ_JQRU01000002.1_cds_WP_020774296.1_165	29.254	335	329
WP_010578410.1	lcl|NZ_JQRU01000004.1_cds_WP_017808832.1_299	32.372	312	329
WP_010578410.1	lcl|NZ_JQRU01000089.1_cds_WP_020775061.1_3322	30.303	330	329
WP_010578410.1	lcl|NZ_JQRU01000104.1_cds_WP_020775260.1_3470	27.381	336	329
