WP_020985020.1	lcl|NZ_QHCT01000002.1_cds_WP_100785494.1_2441	91.463	82	106
WP_010578412.1	lcl|NZ_QHCT01000002.1_cds_WP_118968521.1_2433	63.871	310	314
WP_010578412.1	lcl|NZ_QHCT01000002.1_cds_WP_118968527.1_2440	25.806	186	314
WP_010578412.1	lcl|NZ_QHCT01000001.1_cds_WP_118966987.1_896	22.769	325	314
WP_010578412.1	lcl|NZ_QHCT01000002.1_cds_WP_118968483.1_2387	23.600	250	314
WP_010578412.1	lcl|NZ_QHCT01000010.1_cds_WP_118970620.1_55	20.597	335	314
WP_010578411.1	lcl|NZ_QHCT01000002.1_cds_WP_118968509.1_2419	40.449	178	185
WP_010578411.1	lcl|NZ_QHCT01000002.1_cds_WP_118968247.1_2131	37.857	140	185
WP_010578410.1	lcl|NZ_QHCT01000002.1_cds_WP_118968527.1_2440	32.107	299	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118966716.1_598	31.613	310	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118966987.1_896	29.841	315	329
WP_010578410.1	lcl|NZ_QHCT01000002.1_cds_WP_118968483.1_2387	28.614	332	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118967924.1_737	30.341	323	329
WP_010578410.1	lcl|NZ_QHCT01000010.1_cds_WP_118970620.1_55	27.381	336	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118966605.1_479	28.829	333	329
WP_010578410.1	lcl|NZ_QHCT01000002.1_cds_WP_118968521.1_2433	25.879	313	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118967325.1_1282	26.165	279	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_241547814.1_1104	26.122	245	329
WP_010578410.1	lcl|NZ_QHCT01000003.1_cds_WP_118968690.1_2569	25.758	264	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118967070.1_992	26.556	241	329
WP_010578410.1	lcl|NZ_QHCT01000004.1_cds_WP_118969342.1_3216	26.357	258	329
WP_010578410.1	lcl|NZ_QHCT01000002.1_cds_WP_118968498.1_2406	26.923	208	329
WP_010578410.1	lcl|NZ_QHCT01000001.1_cds_WP_118966552.1_429	30.233	129	329
WP_020984930.1	lcl|NZ_QHCT01000002.1_cds_WP_118968523.1_2435	26.122	245	267
WP_020984930.1	lcl|NZ_QHCT01000001.1_cds_WP_118967514.1_1477	37.634	93	267
