WP_020985020.1	lcl|NZ_JAHESA010000041.1_cds_WP_000340715.1_2317	91.463	82	106
WP_010578412.1	lcl|NZ_JAHESA010000041.1_cds_WP_000410266.1_2316	91.083	314	314
WP_010578412.1	lcl|NZ_JAHESA010000041.1_cds_WP_000646254.1_2313	27.778	252	314
WP_010578412.1	lcl|NZ_JAHESA010000058.1_cds_WP_000744698.1_2814	22.256	328	314
WP_010578412.1	lcl|NZ_JAHESA010000045.1_cds_WP_000723091.1_2413	23.529	289	314
WP_010578412.1	lcl|NZ_JAHESA010000041.1_cds_WP_001067557.1_2310	25.526	333	314
WP_010578412.1	lcl|NZ_JAHESA010000110.1_cds_WP_002072074.1_316	23.592	284	314
WP_020984893.1	lcl|NZ_JAHESA010000041.1_cds_WP_000604525.1_2315	84.384	365	365
WP_010578411.1	lcl|NZ_JAHESA010000041.1_cds_WP_000884059.1_2314	95.135	185	185
WP_010578411.1	lcl|NZ_JAHESA010000004.1_cds_WP_000351733.1_2205	38.571	140	185
WP_010578410.1	lcl|NZ_JAHESA010000041.1_cds_WP_000646254.1_2313	94.529	329	329
WP_010578410.1	lcl|NZ_JAHESA010000058.1_cds_WP_000744698.1_2814	31.429	315	329
WP_010578410.1	lcl|NZ_JAHESA010000045.1_cds_WP_000723091.1_2413	30.149	335	329
WP_010578410.1	lcl|NZ_JAHESA010000110.1_cds_WP_002072074.1_316	31.148	305	329
WP_010578410.1	lcl|NZ_JAHESA010000001.1_cds_WP_000649924.1_69	30.091	329	329
WP_010578410.1	lcl|NZ_JAHESA010000110.1_cds_WP_000709508.1_306	27.879	330	329
WP_010578410.1	lcl|NZ_JAHESA010000041.1_cds_WP_001067557.1_2310	28.852	305	329
WP_010578410.1	lcl|NZ_JAHESA010000042.1_cds_WP_000688696.1_2343	28.832	274	329
WP_010578410.1	lcl|NZ_JAHESA010000041.1_cds_WP_000410266.1_2316	27.826	230	329
WP_010578410.1	lcl|NZ_JAHESA010000127.1_cds_WP_000475901.1_562	27.007	274	329
WP_010578410.1	lcl|NZ_JAHESA010000065.1_cds_WP_001074779.1_3015	27.925	265	329
WP_010578410.1	lcl|NZ_JAHESA010000080.1_cds_WP_001003560.1_3392	26.800	250	329
