WP_020985020.1	lcl|NZ_AFKY01000030.1_cds_WP_000340715.1_2920	91.463	82	106
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_000410273.1_2921	91.083	314	314
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_000093099.1_2941	55.556	63	314
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_000646250.1_2924	28.175	252	314
WP_010578412.1	lcl|NZ_AFKY01000066.1_cds_WP_000744700.1_2081	22.256	328	314
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_000600889.1_2950	24.194	186	314
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_000723090.1_3003	23.183	289	314
WP_010578412.1	lcl|NZ_AFKY01000030.1_cds_WP_001067557.1_2927	25.526	333	314
WP_020984893.1	lcl|NZ_AFKY01000030.1_cds_WP_000604524.1_2922	84.932	365	365
WP_010578411.1	lcl|NZ_AFKY01000030.1_cds_WP_000884059.1_2923	95.135	185	185
WP_010578411.1	lcl|NZ_AFKY01000126.1_cds_WP_000351733.1_1293	38.571	140	185
WP_010578410.1	lcl|NZ_AFKY01000030.1_cds_WP_000646250.1_2924	93.921	329	329
WP_010578410.1	lcl|NZ_AFKY01000066.1_cds_WP_000744700.1_2081	31.429	315	329
WP_010578410.1	lcl|NZ_AFKY01000030.1_cds_WP_000600889.1_2950	33.333	255	329
WP_010578410.1	lcl|NZ_AFKY01000030.1_cds_WP_000723090.1_3003	29.851	335	329
WP_010578410.1	lcl|NZ_AFKY01000053.1_cds_WP_001984071.1_2296	32.026	306	329
WP_010578410.1	lcl|NZ_AFKY01000032.1_cds_WP_000649925.1_2836	30.091	329	329
WP_010578410.1	lcl|NZ_AFKY01000271.1_cds_WP_000709511.1_179	28.182	330	329
WP_010578410.1	lcl|NZ_AFKY01000030.1_cds_WP_001067557.1_2927	28.852	305	329
WP_010578410.1	lcl|NZ_AFKY01000053.1_cds_WP_000688695.1_2276	28.832	274	329
