WP_020985020.1	lcl|NZ_JSVJ02000072.1_cds_WP_004753574.1_2956	91.463	82	106
WP_010578412.1	lcl|NZ_JSVJ02000072.1_cds_WP_016751141.1_2955	91.401	314	314
WP_010578412.1	lcl|NZ_JSVJ02000072.1_cds_WP_004755430.1_2952	27.778	252	314
WP_010578412.1	lcl|NZ_JSVJ02000023.1_cds_WP_004753565.1_1620	22.256	328	314
WP_010578412.1	lcl|NZ_JSVJ02000102.1_cds_WP_016750836.1_3376	22.939	279	314
WP_010578412.1	lcl|NZ_JSVJ02000072.1_cds_WP_004755319.1_2949	24.771	327	314
WP_010578412.1	lcl|NZ_JSVJ02000005.1_cds_WP_016561072.1_481	24.272	309	314
WP_020984893.1	lcl|NZ_JSVJ02000072.1_cds_WP_016751140.1_2954	84.932	365	365
WP_010578411.1	lcl|NZ_JSVJ02000072.1_cds_WP_004766667.1_2953	95.135	185	185
WP_010578411.1	lcl|NZ_JSVJ02000013.1_cds_WP_004752075.1_1014	39.286	140	185
WP_010578410.1	lcl|NZ_JSVJ02000072.1_cds_WP_004755430.1_2952	93.921	329	329
WP_010578410.1	lcl|NZ_JSVJ02000023.1_cds_WP_004753565.1_1620	30.794	315	329
WP_010578410.1	lcl|NZ_JSVJ02000102.1_cds_WP_016750836.1_3376	30.149	335	329
WP_010578410.1	lcl|NZ_JSVJ02000005.1_cds_WP_016561072.1_481	31.169	308	329
WP_010578410.1	lcl|NZ_JSVJ02000012.1_cds_WP_004755135.1_990	30.723	332	329
WP_010578410.1	lcl|NZ_JSVJ02000005.1_cds_WP_004751412.1_492	28.788	330	329
WP_010578410.1	lcl|NZ_JSVJ02000072.1_cds_WP_004755319.1_2949	29.180	305	329
WP_010578410.1	lcl|NZ_JSVJ02000008.1_cds_WP_004754991.1_710	29.091	275	329
WP_010578410.1	lcl|NZ_JSVJ02000072.1_cds_WP_016751141.1_2955	24.762	315	329
WP_010578410.1	lcl|NZ_JSVJ02000002.1_cds_WP_016750792.1_220	28.839	267	329
WP_010578410.1	lcl|NZ_JSVJ02000015.1_cds_WP_004750263.1_1196	26.718	262	329
WP_010578410.1	lcl|NZ_JSVJ02000142.1_cds_WP_002733698.1_3648	26.277	274	329
WP_010578410.1	lcl|NZ_JSVJ02000009.1_cds_WP_004755140.1_794	26.639	244	329
WP_010578410.1	lcl|NZ_JSVJ02000049.1_cds_WP_016751119.1_2439	27.459	244	329
WP_020984930.1	lcl|NZ_JSVJ02000072.1_cds_WP_004758405.1_2951	90.157	254	267
WP_020984930.1	lcl|NZ_JSVJ02000008.1_cds_WP_016751285.1_731	27.604	192	267
