WP_020985020.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000340715.1_819	91.463	82	106
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000410273.1_820	91.083	314	314
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000093099.1_840	55.556	63	314
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000646250.1_823	28.175	252	314
WP_010578412.1	lcl|NZ_JAGGCK010000007.1_cds_WP_000744700.1_1199	22.256	328	314
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000600889.1_849	24.194	186	314
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000723090.1_902	23.183	289	314
WP_010578412.1	lcl|NZ_JAGGCK010000005.1_cds_WP_001067557.1_826	25.526	333	314
WP_020984893.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000604524.1_821	84.932	365	365
WP_010578411.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000884059.1_822	95.135	185	185
WP_010578411.1	lcl|NZ_JAGGCK010000003.1_cds_WP_000351733.1_547	38.571	140	185
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000646250.1_823	93.921	329	329
WP_010578410.1	lcl|NZ_JAGGCK010000007.1_cds_WP_000744700.1_1199	31.429	315	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000600889.1_849	33.333	255	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000723090.1_902	29.851	335	329
WP_010578410.1	lcl|NZ_JAGGCK010000048.1_cds_WP_001984071.1_3451	32.026	306	329
WP_010578410.1	lcl|NZ_JAGGCK010000009.1_cds_WP_000649925.1_1475	30.091	329	329
WP_010578410.1	lcl|NZ_JAGGCK010000060.1_cds_WP_000709511.1_3655	28.182	330	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_001067557.1_826	28.852	305	329
WP_010578410.1	lcl|NZ_JAGGCK010000044.1_cds_WP_000688695.1_3373	28.832	274	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000601375.1_876	24.549	277	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000410273.1_820	27.826	230	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000475904.1_885	27.007	274	329
WP_010578410.1	lcl|NZ_JAGGCK010000008.1_cds_WP_001074785.1_1309	28.302	265	329
WP_010578410.1	lcl|NZ_JAGGCK010000019.1_cds_WP_001003555.1_2415	27.200	250	329
WP_010578410.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000487322.1_874	26.205	332	329
WP_020984930.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000774262.1_824	88.189	254	267
WP_020984930.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000859505.1_873	27.315	216	267
WP_020984930.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000800438.1_854	25.789	190	267
WP_020984930.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000842260.1_903	24.569	232	267
WP_020984930.1	lcl|NZ_JAGGCK010000025.1_cds_WP_000667727.1_2726	33.636	110	267
WP_020984930.1	lcl|NZ_JAGGCK010000021.1_cds_WP_000805357.1_2525	36.047	86	267
WP_020984935.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000612797.1_825	87.402	508	509
WP_020984935.1	lcl|NZ_JAGGCK010000008.1_cds_WP_000291591.1_1385	27.329	322	509
WP_020984935.1	lcl|NZ_JAGGCK010000008.1_cds_WP_000364507.1_1384	28.723	94	509
WP_020984935.1	lcl|NZ_JAGGCK010000005.1_cds_WP_000612797.1_825	87.402	508	509
