WP_020985020.1	lcl|NZ_JQOU01000004.1_cds_WP_000340715.1_24	91.463	82	106
WP_010578412.1	lcl|NZ_JQOU01000004.1_cds_WP_000410268.1_25	91.935	310	314
WP_010578412.1	lcl|NZ_JQOU01000004.1_cds_WP_000723079.1_79	22.302	278	314
WP_010578412.1	lcl|NZ_JQOU01000133.1_cds_WP_000744698.1_2713	22.256	328	314
WP_010578412.1	lcl|NZ_JQOU01000004.1_cds_WP_000723081.1_102	23.183	289	314
WP_010578412.1	lcl|NZ_JQOU01000004.1_cds_WP_000567886.1_81	24.725	182	314
WP_010578412.1	lcl|NZ_JQOU01000057.1_cds_WP_002072074.1_1346	23.592	284	314
WP_010578411.1	lcl|NZ_JQOU01000030.1_cds_WP_000351733.1_733	38.571	140	185
WP_010578411.1	lcl|NZ_JQOU01000004.1_cds_WP_001047906.1_58	35.593	177	185
WP_010578410.1	lcl|NZ_JQOU01000004.1_cds_WP_000723079.1_79	30.530	321	329
WP_010578410.1	lcl|NZ_JQOU01000133.1_cds_WP_000744698.1_2713	31.429	315	329
WP_010578410.1	lcl|NZ_JQOU01000004.1_cds_WP_000723081.1_102	29.851	335	329
WP_010578410.1	lcl|NZ_JQOU01000057.1_cds_WP_002072074.1_1346	31.148	305	329
WP_010578410.1	lcl|NZ_JQOU01000112.1_cds_WP_000649924.1_2387	30.091	329	329
WP_010578410.1	lcl|NZ_JQOU01000004.1_cds_WP_000567886.1_81	28.525	305	329
WP_010578410.1	lcl|NZ_JQOU01000148.1_cds_WP_000709508.1_2901	27.879	330	329
WP_010578410.1	lcl|NZ_JQOU01000057.1_cds_WP_061246301.1_1366	28.832	274	329
WP_010578410.1	lcl|NZ_JQOU01000004.1_cds_WP_000410268.1_25	27.686	242	329
WP_010578410.1	lcl|NZ_JQOU01000004.1_cds_WP_002183330.1_84	25.630	238	329
WP_010578410.1	lcl|NZ_JQOU01000031.1_cds_WP_001074779.1_764	27.925	265	329
WP_010578410.1	lcl|NZ_JQOU01000078.1_cds_WP_002105505.1_1684	26.800	250	329
WP_020984930.1	lcl|NZ_JQOU01000004.1_cds_WP_000043899.1_80	28.415	183	267
WP_020984930.1	lcl|NZ_JQOU01000004.1_cds_WP_000842260.1_103	24.569	232	267
WP_020984930.1	lcl|NZ_JQOU01000027.1_cds_WP_000667727.1_635	33.636	110	267
