WP_020985020.1	lcl|NZ_AHOC02000017.1_cds_WP_004753574.1_959	91.463	82	106
WP_010578412.1	lcl|NZ_AHOC02000017.1_cds_WP_004761722.1_960	91.401	314	314
WP_010578412.1	lcl|NZ_AHOC02000017.1_cds_WP_004755430.1_963	27.778	252	314
WP_010578412.1	lcl|NZ_AHOC02000013.1_cds_WP_004753565.1_2191	22.256	328	314
WP_010578412.1	lcl|NZ_AHOC02000017.1_cds_WP_004755262.1_1032	22.939	279	314
WP_010578412.1	lcl|NZ_AHOC02000017.1_cds_WP_004755319.1_966	24.771	327	314
WP_010578412.1	lcl|NZ_AHOC02000010.1_cds_WP_004751543.1_2636	24.272	309	314
WP_020984893.1	lcl|NZ_AHOC02000017.1_cds_WP_004777161.1_961	85.205	365	365
WP_010578411.1	lcl|NZ_AHOC02000017.1_cds_WP_004753627.1_962	95.676	185	185
WP_010578411.1	lcl|NZ_AHOC02000009.1_cds_WP_004752075.1_3028	39.286	140	185
WP_010578410.1	lcl|NZ_AHOC02000017.1_cds_WP_004755430.1_963	93.921	329	329
WP_010578410.1	lcl|NZ_AHOC02000013.1_cds_WP_004753565.1_2191	30.794	315	329
WP_010578410.1	lcl|NZ_AHOC02000010.1_cds_WP_004751543.1_2636	31.494	308	329
WP_010578410.1	lcl|NZ_AHOC02000017.1_cds_WP_004755262.1_1032	30.149	335	329
WP_010578410.1	lcl|NZ_AHOC02000021.1_cds_WP_004755135.1_36	30.723	332	329
WP_010578410.1	lcl|NZ_AHOC02000010.1_cds_WP_004751412.1_2626	28.788	330	329
WP_010578410.1	lcl|NZ_AHOC02000017.1_cds_WP_004755319.1_966	29.180	305	329
WP_010578410.1	lcl|NZ_AHOC02000021.1_cds_WP_004754991.1_178	29.091	275	329
WP_010578410.1	lcl|NZ_AHOC02000017.1_cds_WP_004761722.1_960	27.391	230	329
WP_010578410.1	lcl|NZ_AHOC02000008.1_cds_WP_004767335.1_3119	28.839	267	329
WP_010578410.1	lcl|NZ_AHOC02000005.1_cds_WP_004750263.1_3314	26.718	262	329
WP_010578410.1	lcl|NZ_AHOC02000017.1_cds_WP_002733698.1_1015	26.277	274	329
WP_010578410.1	lcl|NZ_AHOC02000014.1_cds_WP_004755140.1_1825	26.639	244	329
WP_010578410.1	lcl|NZ_AHOC02000013.1_cds_WP_004755281.1_2072	27.869	244	329
WP_020984930.1	lcl|NZ_AHOC02000017.1_cds_WP_004754505.1_964	89.764	254	267
WP_020984930.1	lcl|NZ_AHOC02000017.1_cds_WP_004754191.1_1033	25.000	232	267
WP_020984930.1	lcl|NZ_AHOC02000021.1_cds_WP_004760150.1_200	34.821	112	267
WP_020984930.1	lcl|NZ_AHOC02000010.1_cds_WP_004758210.1_2722	36.471	85	267
