WP_020985020.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000340715.1_367	91.463	82	106
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000410273.1_368	91.083	314	314
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000093099.1_388	55.556	63	314
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000646250.1_371	28.175	252	314
WP_010578412.1	lcl|NZ_JAGGCD010000009.1_cds_WP_000744700.1_1427	22.256	328	314
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000600889.1_397	24.194	186	314
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000723090.1_450	23.183	289	314
WP_010578412.1	lcl|NZ_JAGGCD010000002.1_cds_WP_001067557.1_374	25.526	333	314
WP_020984893.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000604524.1_369	84.932	365	365
WP_010578411.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000884059.1_370	95.135	185	185
WP_010578411.1	lcl|NZ_JAGGCD010000027.1_cds_WP_000351733.1_2789	38.571	140	185
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000646250.1_371	93.921	329	329
WP_010578410.1	lcl|NZ_JAGGCD010000009.1_cds_WP_000744700.1_1427	31.429	315	329
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000600889.1_397	33.333	255	329
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000723090.1_450	29.851	335	329
WP_010578410.1	lcl|NZ_JAGGCD010000028.1_cds_WP_001984071.1_2877	32.026	306	329
WP_010578410.1	lcl|NZ_JAGGCD010000011.1_cds_WP_000649925.1_1654	30.091	329	329
WP_010578410.1	lcl|NZ_JAGGCD010000061.1_cds_WP_000709511.1_3678	28.182	330	329
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_001067557.1_374	28.852	305	329
WP_010578410.1	lcl|NZ_JAGGCD010000028.1_cds_WP_000688695.1_2857	28.832	274	329
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000601375.1_424	24.549	277	329
WP_010578410.1	lcl|NZ_JAGGCD010000002.1_cds_WP_000410273.1_368	27.826	230	329
