WP_020985020.1	lcl|NZ_LIHE01000147.1_cds_WP_000340715.1_865	91.463	82	106
WP_010578412.1	lcl|NZ_LIHE01000147.1_cds_WP_000410273.1_864	91.083	314	314
WP_010578412.1	lcl|NZ_LIHE01000147.1_cds_WP_000646255.1_861	28.175	252	314
WP_010578412.1	lcl|NZ_LIHE01000021.1_cds_WP_000744695.1_1616	22.256	328	314
WP_010578412.1	lcl|NZ_LIHE01000180.1_cds_WP_000600891.1_1273	24.194	186	314
WP_010578412.1	lcl|NZ_LIHE01000006.1_cds_WP_000649929.1_3077	26.606	327	314
WP_010578412.1	lcl|NZ_LIHE01000139.1_cds_WP_000723081.1_730	23.183	289	314
WP_010578412.1	lcl|NZ_LIHE01000147.1_cds_WP_001067557.1_858	25.526	333	314
WP_010578412.1	lcl|NZ_LIHE01000010.1_cds_WP_002064390.1_114	23.239	284	314
WP_020984893.1	lcl|NZ_LIHE01000147.1_cds_WP_000604524.1_863	84.932	365	365
WP_010578411.1	lcl|NZ_LIHE01000147.1_cds_WP_000884059.1_862	95.135	185	185
WP_010578411.1	lcl|NZ_LIHE01000126.1_cds_WP_000351733.1_564	38.571	140	185
WP_010578410.1	lcl|NZ_LIHE01000147.1_cds_WP_000646255.1_861	94.225	329	329
WP_010578410.1	lcl|NZ_LIHE01000021.1_cds_WP_000744695.1_1616	31.429	315	329
WP_010578410.1	lcl|NZ_LIHE01000180.1_cds_WP_000600891.1_1273	33.725	255	329
WP_010578410.1	lcl|NZ_LIHE01000139.1_cds_WP_000723081.1_730	29.851	335	329
WP_010578410.1	lcl|NZ_LIHE01000010.1_cds_WP_002064390.1_114	31.699	306	329
WP_010578410.1	lcl|NZ_LIHE01000006.1_cds_WP_000649929.1_3077	30.091	329	329
WP_010578410.1	lcl|NZ_LIHE01000010.1_cds_WP_000709511.1_124	28.182	330	329
WP_010578410.1	lcl|NZ_LIHE01000147.1_cds_WP_001067557.1_858	28.852	305	329
WP_010578410.1	lcl|NZ_LIHE01000111.1_cds_WP_000601375.1_334	24.549	277	329
WP_010578410.1	lcl|NZ_LIHE01000034.1_cds_WP_000688698.1_2359	28.832	274	329
