WP_020985020.1	lcl|NZ_AHPV01000249.1_cds_WP_000340715.1_453	91.463	82	106
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_000712240.1_452	91.401	314	314
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_000646251.1_449	27.778	252	314
WP_010578412.1	lcl|NZ_AHPV01000080.1_cds_WP_000744700.1_2402	22.256	328	314
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_000600886.1_418	24.194	186	314
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_000723084.1_362	23.529	289	314
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_001067556.1_446	25.526	333	314
WP_010578412.1	lcl|NZ_AHPV01000249.1_cds_WP_000025488.1_424	22.222	324	314
WP_020984893.1	lcl|NZ_AHPV01000249.1_cds_WP_000604524.1_451	84.932	365	365
WP_010578411.1	lcl|NZ_AHPV01000249.1_cds_WP_000884057.1_450	94.595	185	185
WP_010578411.1	lcl|NZ_AHPV01000006.1_cds_WP_000351733.1_3740	38.571	140	185
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000646251.1_449	94.529	329	329
WP_010578410.1	lcl|NZ_AHPV01000080.1_cds_WP_000744700.1_2402	31.429	315	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000600886.1_418	33.333	255	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000723084.1_362	30.149	335	329
WP_010578410.1	lcl|NZ_AHPV01000055.1_cds_WP_001984071.1_2933	32.026	306	329
WP_010578410.1	lcl|NZ_AHPV01000146.1_cds_WP_000649927.1_1413	30.091	329	329
WP_010578410.1	lcl|NZ_AHPV01000059.1_cds_WP_000709512.1_2804	28.485	330	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_001067556.1_446	28.852	305	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000601375.1_389	24.549	277	329
WP_010578410.1	lcl|NZ_AHPV01000055.1_cds_WP_000688700.1_2913	28.467	274	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000707057.1_422	29.259	270	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000025488.1_424	24.765	319	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000712240.1_452	27.826	230	329
WP_010578410.1	lcl|NZ_AHPV01000249.1_cds_WP_000475906.1_379	26.277	274	329
WP_010578410.1	lcl|NZ_AHPV01000134.1_cds_WP_001074785.1_1605	28.302	265	329
