Strain,WP_002733615.1,WP_002733621.1,WP_002733668.1,WP_230456555.1,target
012K,100.0,98.077,94.34782608695652,98.462,1
028K,100.0,98.077,94.34782608695652,98.462,1
080K,100.0,98.077,94.34782608695652,98.462,1
138034,26.553627118644066,40.38461538461539,0.0,0.0,0
1530d,81.07363276836159,36.53861538461539,0.0,0.0,0
158145,26.553627118644066,40.38461538461539,0.0,0.0,0
168079,26.553627118644066,40.38461538461539,0.0,0.0,0
168148,26.553627118644066,38.4615,0.0,0.0,0
178047,26.553627118644066,38.4615,0.0,0.0,0
178101,26.553627118644066,40.38461538461539,0.0,0.0,0
185K,100.0,98.077,94.34782608695652,98.462,1
189K,100.0,98.077,94.34782608695652,98.462,1
198076,80.79105084745763,36.53861538461539,0.0,0.0,0
198085,100.0,98.077,94.34782608695652,98.462,1
200010104,80.79105084745763,30.76903846153846,0.0,0.0,0
2002000634,81.07363276836159,30.76903846153846,0.0,0.0,0
2002009669,81.07363276836159,30.76903846153846,0.0,0.0,0
200201191,80.79105084745763,30.76903846153846,0.0,0.0,0
200202130,80.79105084745763,30.76903846153846,0.0,0.0,0
200208340,80.79105084745763,0.0,0.0,0.0,0
200209405,80.79105084745763,30.76903846153846,0.0,0.0,0
200210329,80.79105084745763,30.76903846153846,0.0,0.0,0
200302438,80.79105084745763,30.76903846153846,0.0,0.0,0
200309516,80.79105084745763,30.76903846153846,0.0,0.0,0
200412424,80.79105084745763,30.76903846153846,0.0,0.0,0
2006006960,26.553627118644066,57.69230769230769,0.0,0.0,0
2006006972,81.07363276836159,30.76903846153846,0.0,0.0,0
2006006973,26.553627118644066,57.69230769230769,0.0,0.0,0
2006006982,81.35621468926554,0.0,0.0,0.0,0
2007005490,81.35621468926554,0.0,0.0,0.0,0
200701182,81.35621468926554,0.0,0.0,0.0,0
200701872,26.553627118644066,57.69230769230769,0.0,0.0,0
200801910,26.553627118644066,67.30797115384615,73.04334782608694,46.92297692307692,0
200804418,80.79105084745763,30.76903846153846,0.0,0.0,0
200901489,26.553627118644066,57.69230769230769,0.0,0.0,0
201100516,81.07363276836159,30.76903846153846,0.0,0.0,0
201203348,26.553627118644066,42.30746153846154,0.0,0.0,0
201300035,80.79105084745763,30.76903846153846,0.0,0.0,0
201401324,80.79105084745763,42.30746153846154,0.0,0.0,0
