Strain,WP_002749093.1,WP_004279997.1,WP_004280040.1,WP_004280058.1,WP_004280060.1,WP_004280227.1,WP_004280359.1,WP_004280426.1,WP_004280660.1,WP_004280777.1,WP_004280842.1,WP_004280867.1,WP_036035035.1,WP_036047963.1,WP_100224632.1,WP_117344670.1,WP_237578347.1,WP_237578348.1,WP_237578349.1,WP_272914456.1,target
112_IZSLER,54.278650366748174,92.35463608562691,0.0,82.698,90.35714285714285,96.429,98.664,96.309,88.704,94.521,89.813,0.0,22.55639097744361,96.8,18.215501858736058,85.4394478021978,39.279432078559736,44.928,0.0,0.0,0
128024,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,10.738187919463087,79.734219269103,68.9495205479452,62.64858743633277,0.0,31.57883458646617,58.66643466666667,40.14883271375465,46.428659340659344,91.48961047463176,36.714806763285026,0.0,0.0,0
128042,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,31.57883458646617,58.66643466666667,40.89234200743494,55.49457692307692,91.48961047463176,36.714806763285026,0.0,0.0,0
138065,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,31.57883458646617,58.66643466666667,40.14883271375465,50.8239065934066,91.48961047463176,36.714806763285026,0.0,0.0,0
148248,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,30.826917293233084,58.66643466666667,47.955643122676584,45.60421978021978,91.48961047463176,36.714806763285026,0.0,0.0,0
148250,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,47.031981735159825,62.64858743633277,0.0,29.32282706766917,58.66643466666667,40.89234200743494,68.40632967032967,91.48961047463176,36.714806763285026,0.0,0.0,0
148333,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,30.82669172932331,58.66643466666667,40.892111524163575,36.263835164835164,91.48961047463176,36.714806763285026,0.0,0.0,0
158128,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,10.738187919463087,79.734219269103,68.9495205479452,62.64858743633277,0.0,29.32282706766917,58.66643466666667,40.89234200743494,45.60421978021978,91.48961047463176,36.714806763285026,0.0,0.0,0
158133,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,30.82669172932331,58.66643466666667,40.14883271375465,65.93411538461538,91.48961047463176,36.714806763285026,0.0,0.0,0
158143,0.0,86.84984097859328,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,30.82669172932331,58.66643466666667,40.892111524163575,51.09896703296703,91.48961047463176,36.714806763285026,0.0,0.0,0
168036,87.775,86.84984097859328,0.0,90.635,48.92847142857143,97.024,97.83,96.644,79.734219269103,68.9495205479452,35.99304753820034,0.0,29.32282706766917,97.867,27.50932342007435,63.73592307692308,39.11614893617021,46.86,0.0,0.0,0
172_IZSLER,28.850911980440095,92.66088073394495,0.0,82.5397761904762,51.42857142857143,65.17871428571429,98.664,23.154496644295303,89.037,94.521,89.643,0.0,33.08312030075189,57.600152,36.80308921933086,33.51627472527473,38.95286579378069,44.928,0.0,0.0,0
178112,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,31.57883458646617,58.66643466666667,40.14883271375465,39.83528571428571,91.48961047463176,36.714806763285026,0.0,0.0,0
178114,0.0,87.15608562691132,0.0,90.952,74.64246428571428,66.0709642857143,97.997,13.08703355704698,79.734219269103,68.9495205479452,62.64858743633277,0.0,29.32282706766917,58.66643466666667,30.483100371747213,89.01128846153847,91.48961047463176,36.714806763285026,0.0,0.0,0
