Strain,WP_004462123.1,WP_004462124.1,WP_004462125.1,WP_004462126.1,WP_004462133.1,WP_004462134.1,WP_004462889.1,WP_004462893.1,WP_004477829.1,WP_004477915.1,WP_004477982.1,WP_004483359.1,WP_004490599.1,WP_004491540.1,WP_016551796.1,WP_016551804.1,WP_230458706.1,WP_230486561.1,WP_233421675.1,WP_233421676.1,target
1342KT,98.87640449438202,99.719,100.0,96.02649006622516,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.573,98.127,100.0,100.0,100.0,100.0,99.539,77.66996116504853,99.874,1
1489,35.95483146067416,15.730369382022472,0.0,36.755006622516554,39.22418965517242,51.16908051948052,36.03891341991341,26.405392271662762,16.278936046511628,17.376484241908006,16.307934602649006,66.23948611111112,30.05642415730337,23.549245535714284,60.48380645161291,32.463,0.0,11.866341013824886,16.504854368932037,0.0,0
1548,35.95483146067416,15.449269662921347,0.0,36.755006622516554,39.368,51.16908051948052,35.497835497835496,25.527096018735364,0.0,19.2504667802385,11.25833774834437,90.17138461538461,31.83497191011236,23.214285714285715,54.838260611205435,32.463,0.0,10.599078341013826,0.0,0.0,0
201502616,35.95483146067416,15.449269662921347,0.0,36.755006622516554,39.368,51.16908051948052,35.497835497835496,25.527096018735364,0.0,19.2504667802385,11.25833774834437,90.17138461538461,28.08998127340824,23.214285714285715,54.668480475382005,32.463,0.0,10.599078341013826,0.0,0.0,0
201700296,0.0,14.887382022471908,0.0,71.52287086092714,91.379,95.844,83.117,78.68854800936768,0.0,79.04576490630323,76.159,79.915,25.093842696629213,94.64314285714286,77.58878777589135,33.44234584013051,32.22235555555555,73.733,15.533980582524272,0.0,0
201801179,35.95483146067416,15.449269662921347,0.0,36.755006622516554,39.368,51.16908051948052,35.497835497835496,25.527096018735364,0.0,19.2504667802385,11.25833774834437,90.17138461538461,19.850367041198503,23.214285714285715,54.668480475382005,32.463,0.0,10.599078341013826,0.0,0.0,0
201801751,35.95483146067416,15.449269662921347,0.0,36.755006622516554,39.368,51.16908051948052,35.497835497835496,25.527096018735364,0.0,19.2504667802385,11.25833774834437,90.17138461538461,19.850209737827715,22.767642857142857,54.49920713073005,32.463,0.0,11.059907834101383,0.0,0.0,0
202100064,0.0,15.730407303370788,0.0,67.21882119205297,81.897,94.286,82.684,79.15687353629976,0.0,79.72724531516184,71.85397350993377,81.624,44.1949063670412,94.64314285714286,75.04269100169779,32.78963295269168,56.66663333333334,66.82027649769586,72.81582524271843,0.0,0
202100065,98.87640449438202,99.719,100.0,92.71549668874172,99.713,99.74,99.567,99.297,100.0,100.0,99.669,98.291,61.423370786516855,99.554,98.981,99.837,100.0,98.618,15.534038834951456,99.622,1
202200045,0.0,16.292224719101124,0.0,82.78184768211919,98.851,99.74,100.0,100.0,98.45,99.83,99.338,97.863,57.67813483146067,99.554,99.321,33.931903752039155,93.333,99.539,86.408,0.0,0
202202775,0.0,15.730137640449438,0.0,69.53637086092715,99.713,99.74,99.567,100.0,74.8065503875969,37.64906303236798,99.669,99.145,60.29973782771535,99.554,99.321,33.44234584013051,100.0,99.078,87.379,0.0,0
202202782,37.07892134831461,15.449269662921347,0.0,36.42416887417218,39.368,51.42840519480519,35.49781818181818,25.29291569086651,0.0,19.420928449744462,10.927079470198676,91.88067521367522,30.337082397003744,22.768035714285716,55.68774533106961,31.974055464926593,0.0,13.824930875576037,0.0,0.0,0
